ME	Reproductive.MetaZ	Non-Reproductive.MetaZ	MetaPval
MEblack	2.13221814461372	-2.13221814461372	0.032988917507724
MEblue	-2.06901575667357	2.06901575667357	0.0385446081290791
MEbrown	3.05712112143269	-3.05712112143269	0.00223473955628317
MEcyan	1.08859023422302	-1.08859023422302	0.276334625220307
MEdarkgreen	-1.26902902950865	1.26902902950865	0.204430710577209
MEdarkgrey	-2.28951636440636	2.28951636440636	0.0220493682058566
MEdarkorange	1.36529265256041	-1.36529265256041	0.172161087369992
MEdarkred	-1.54064203322625	1.54064203322625	0.123403931919906
MEdarkturquoise	-0.805046880091547	0.805046880091547	0.420792627531859
MEgreenyellow	-1.50574053078673	1.50574053078673	0.132133794949909
MEgrey60	2.47727123647439	-2.47727123647439	0.0132391248438517
MElightgreen	0.0839349374716903	-0.0839349374716903	0.933108161473764
MEmagenta	-2.28217849508379	2.28217849508379	0.0224788041916573
MEorange	2.55179033291421	-2.55179033291421	0.0107170990714379
MEpaleturquoise	-1.96682321585373	1.96682321585373	0.0492035951274126
MEpink	-1.32974038729056	1.32974038729056	0.183603823116347
MEpurple	-0.768709958444862	0.768709958444862	0.442065511784971
MEred	1.0843990295679	-1.0843990295679	0.278187913827843
MEroyalblue	2.42796092421496	-2.42796092421496	0.0151839791325985
MEsaddlebrown	-2.59745168717496	2.59745168717496	0.00939183312557043
MEsalmon	4.66981112485848	-4.66981112485848	0.00000301476789214222
MEskyblue	-1.57698374551573	1.57698374551573	0.114799265227081
MEsteelblue	1.49280731188443	-1.49280731188443	0.135487632771513
MEturquoise	-2.11822346158338	2.11822346158338	0.0341561471181022
MEwhite	2.16983114878352	-2.16983114878352	0.0300196397362635
