ME	Reproductive.MetaZ	Non-Reproductive.MetaZ	MetaPval
MEblack	-0.0383018369679816	0.0383018369679817	0.96944702617395
MEblue	2.59202498889897	-2.59202498889897	0.00954128408909019
MEbrown	0.398409871300415	-0.398409871300415	0.690328082672917
MEcyan	1.17676033571579	-1.17676033571579	0.239291178122424
MEdarkgreen	0.0243870916348717	-0.0243870916348715	0.980543844648083
MEdarkgrey	1.94059148937477	-1.94059148937477	0.0523078472087454
MEdarkolivegreen	0.021127331372274	-0.021127331372274	0.98314408247592
MEdarkorange	0.0550017770930341	-0.0550017770930343	0.956137048022303
MEdarkred	-1.06477079985448	1.06477079985448	0.286979662081277
MEdarkturquoise	0.0766231411986086	-0.0766231411986089	0.93892334905609
MEgreen	0.792251196237216	-0.792251196237216	0.428214222198798
MEgreenyellow	0.806672885966718	-0.806672885966718	0.419854969382223
MEgrey60	-0.56173504441814	0.56173504441814	0.574296553860638
MElightcyan	1.23755052010887	-1.23755052010887	0.215882770859211
MElightgreen	1.89286320104512	-1.89286320104512	0.0583760640875806
MElightyellow	2.412850166093	-2.412850166093	0.0158283249687604
MEmagenta	-2.17703624415168	2.17703624415168	0.0294778633036413
MEmidnightblue	2.40392828671239	-2.40392828671239	0.0162199548180558
MEorange	-1.95842594440785	1.95842594440785	0.0501800529035289
MEpaleturquoise	-3.15445702274786	3.15445702274786	0.00160797059568662
MEpink	1.41206618759932	-1.41206618759932	0.157930473491264
MEpurple	0.390181930863274	-0.390181930863274	0.696402021947818
MEred	-1.88497980645624	1.88497980645624	0.0594325642058776
MEroyalblue	-3.72200972488176	3.72200972488176	0.000197643409057956
MEsaddlebrown	2.16853777396425	-2.16853777396425	0.0301177938185399
MEsalmon	1.3593422658822	-1.3593422658822	0.174038156685123
MEskyblue	-0.157372744777158	0.157372744777158	0.874951092302882
MEsteelblue	0.712389574002038	-0.712389574002038	0.476223569915873
MEtan	2.3027160967848	-2.3027160967848	0.0212948219196281
MEturquoise	-2.62511527133359	2.62511527133359	0.00866196370303858
MEviolet	1.09764601648696	-1.09764601648696	0.272359090844543
MEwhite	0.441078927705385	-0.441078927705385	0.659155858212495
MEyellow	-0.00974571869041102	0.00974571869041102	0.992224164613409
