Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata	Tally
OG0001029	1	1	0	0	1	1	4
OG0003467	1	1	0	1	0	1	4
OG0000817	1	1	0	0	1	0	3
OG0000946	0	1	0	0	1	1	3
OG0001401	1	1	0	0	1	0	3
OG0001449	1	0	0	0	1	1	3
OG0001577	1	1	0	0	1	0	3
OG0001897	1	1	0	0	0	1	3
OG0001920	0	0	1	0	1	1	3
OG0001935	1	1	0	0	1	0	3
OG0002158	0	0	1	0	1	1	3
OG0002616	1	0	0	1	1	0	3
OG0003261	1	0	0	0	1	1	3
OG0004230	1	0	1	0	1	0	3
OG0004457	1	0	0	0	1	1	3
OG0004840	1	0	1	0	1	0	3
OG0005009	1	0	1	0	0	1	3
OG0005316	1	1	0	0	1	0	3
OG0000399	1	0	0	0	0	1	2
OG0000451	0	0	0	0	1	1	2
OG0000794	1	0	0	0	0	1	2
OG0000796	1	1	0	0	0	0	2
OG0000798	1	0	1	0	0	0	2
OG0000819	0	0	1	0	1	0	2
OG0000872	0	0	1	0	0	1	2
OG0000879	1	0	0	0	1	0	2
OG0000907	1	0	1	0	0	0	2
OG0000922	1	0	1	0	0	0	2
OG0000925	1	0	0	0	1	0	2
OG0000942	1	1	0	0	0	0	2
OG0000998	0	0	1	0	1	0	2
OG0001006	1	0	0	0	0	1	2
OG0001012	1	0	0	0	1	0	2
OG0001102	0	0	1	0	1	0	2
OG0001143	1	0	1	0	0	0	2
OG0001178	1	1	0	0	0	0	2
OG0001189	0	1	1	0	0	0	2
OG0001190	0	0	1	0	1	0	2
OG0001211	1	0	0	0	1	0	2
OG0001247	0	0	1	0	1	0	2
OG0001273	0	0	1	1	0	0	2
OG0001303	0	1	1	0	0	0	2
OG0001306	1	1	0	0	0	0	2
OG0001334	0	0	0	0	1	1	2
OG0001348	0	0	1	0	1	0	2
OG0001392	1	0	1	0	0	0	2
OG0001433	0	1	0	0	1	0	2
OG0001444	1	0	1	0	0	0	2
OG0001460	1	0	0	0	1	0	2
OG0001474	0	0	1	0	1	0	2
OG0001487	0	1	0	0	1	0	2
OG0001522	1	0	1	0	0	0	2
OG0001562	1	0	0	0	1	0	2
OG0001567	1	0	1	0	0	0	2
OG0001639	1	0	0	0	1	0	2
OG0001677	0	0	1	0	0	1	2
OG0001758	0	0	1	0	1	0	2
OG0001800	1	0	0	1	0	0	2
OG0001869	1	1	0	0	0	0	2
OG0001873	0	1	0	0	1	0	2
OG0001924	0	0	1	0	1	0	2
OG0001942	1	0	0	0	1	0	2
OG0001953	0	0	1	0	1	0	2
OG0001963	0	1	1	0	0	0	2
OG0001981	0	0	1	0	1	0	2
OG0001996	1	0	0	0	1	0	2
OG0001998	0	1	0	0	0	1	2
OG0002009	0	1	0	0	1	0	2
OG0002020	1	1	0	0	0	0	2
OG0002063	0	0	0	0	1	1	2
OG0002096	1	1	0	0	0	0	2
OG0002106	1	0	1	0	0	0	2
OG0002157	1	1	0	0	0	0	2
OG0002180	1	1	0	0	0	0	2
OG0002301	1	0	1	0	0	0	2
OG0002332	0	0	1	0	1	0	2
OG0002355	0	0	1	0	1	0	2
OG0002357	0	1	0	0	1	0	2
OG0002367	1	0	0	0	1	0	2
OG0002375	1	0	0	0	0	1	2
OG0002376	0	0	1	0	1	0	2
OG0002378	1	0	0	0	1	0	2
OG0002387	1	0	0	0	0	1	2
OG0002399	1	0	0	0	0	1	2
OG0002412	0	0	1	0	1	0	2
OG0002420	0	0	1	0	1	0	2
OG0002431	1	0	0	0	1	0	2
OG0002463	1	1	0	0	0	0	2
OG0002470	1	1	0	0	0	0	2
OG0002474	0	0	0	0	1	1	2
OG0002569	0	0	0	0	1	1	2
OG0002576	0	1	0	0	1	0	2
OG0002593	1	0	0	0	0	1	2
OG0002607	1	0	0	0	1	0	2
OG0002625	1	0	0	1	0	0	2
OG0002675	1	1	0	0	0	0	2
OG0002683	1	0	0	0	1	0	2
OG0002701	0	1	0	0	0	1	2
OG0002711	0	0	1	0	0	1	2
OG0002870	1	0	0	0	1	0	2
OG0002906	1	1	0	0	0	0	2
OG0002907	1	0	0	0	1	0	2
OG0002957	1	0	1	0	0	0	2
OG0002980	1	0	0	0	0	1	2
OG0003117	1	0	0	0	0	1	2
OG0003131	0	0	0	0	1	1	2
OG0003159	1	0	0	0	1	0	2
OG0003192	0	1	0	0	1	0	2
OG0003230	1	1	0	0	0	0	2
OG0003299	1	0	0	0	1	0	2
OG0003328	1	0	0	0	1	0	2
OG0003329	0	0	0	0	1	1	2
OG0003338	0	0	0	0	1	1	2
OG0003341	0	0	0	0	1	1	2
OG0003342	0	1	1	0	0	0	2
OG0003357	1	1	0	0	0	0	2
OG0003375	1	0	1	0	0	0	2
OG0003390	1	1	0	0	0	0	2
OG0003474	1	1	0	0	0	0	2
OG0003486	0	0	1	0	1	0	2
OG0003488	0	1	0	0	1	0	2
OG0003500	1	0	1	0	0	0	2
OG0003533	1	0	0	0	0	1	2
OG0003564	1	0	0	0	1	0	2
OG0003566	1	0	0	0	1	0	2
OG0003586	1	0	0	0	0	1	2
OG0003638	0	1	0	0	1	0	2
OG0003658	1	0	0	0	1	0	2
OG0003729	1	0	0	0	1	0	2
OG0003742	1	0	1	0	0	0	2
OG0003775	1	0	0	0	1	0	2
OG0003790	0	0	1	0	0	1	2
OG0003791	1	0	1	0	0	0	2
OG0003813	0	0	1	0	0	1	2
OG0003817	0	0	1	0	1	0	2
OG0003880	1	0	0	0	1	0	2
OG0003896	0	1	0	0	1	0	2
OG0003937	0	0	0	0	1	1	2
OG0003960	1	1	0	0	0	0	2
OG0003987	1	0	0	0	1	0	2
OG0004005	0	1	0	0	1	0	2
OG0004007	1	0	1	0	0	0	2
OG0004029	1	1	0	0	0	0	2
OG0004137	0	1	0	0	1	0	2
OG0004261	1	0	1	0	0	0	2
OG0004278	0	1	0	0	1	0	2
OG0004307	0	0	0	0	1	1	2
OG0004321	0	1	0	0	0	1	2
OG0004325	1	0	0	0	1	0	2
OG0004337	1	0	1	0	0	0	2
OG0004373	0	0	1	0	1	0	2
OG0004445	0	1	0	0	0	1	2
OG0004542	0	1	0	0	1	0	2
OG0004610	0	0	1	0	1	0	2
OG0004664	0	1	0	0	1	0	2
OG0004765	1	0	0	0	1	0	2
OG0004966	1	0	0	0	1	0	2
OG0004975	0	0	0	0	1	1	2
OG0004992	0	0	1	0	1	0	2
OG0005020	1	0	0	0	0	1	2
OG0005052	0	1	0	0	1	0	2
OG0005053	1	0	0	0	0	1	2
OG0005063	0	0	1	0	1	0	2
OG0005086	1	0	0	0	0	1	2
OG0005142	0	0	1	0	0	1	2
OG0005217	1	0	0	0	1	0	2
OG0005240	0	0	0	0	1	1	2
OG0005269	1	0	1	0	0	0	2
OG0005278	1	0	0	0	0	1	2
OG0005286	0	1	0	0	1	0	2
OG0005309	1	0	0	0	1	0	2
OG0005330	1	0	0	0	0	1	2
