Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	TALLY
OG0000719	1	1	1	3
OG0000460	0	1	1	2
OG0000796	1	1	0	2
OG0000798	1	0	1	2
OG0000817	1	1	0	2
OG0000907	1	0	1	2
OG0000922	1	0	1	2
OG0000942	1	1	0	2
OG0001029	1	1	0	2
OG0001143	1	0	1	2
OG0001178	1	1	0	2
OG0001189	0	1	1	2
OG0001293	1	0	1	2
OG0001303	0	1	1	2
OG0001306	1	1	0	2
OG0001392	1	0	1	2
OG0001401	1	1	0	2
OG0001444	1	0	1	2
OG0001468	1	0	1	2
OG0001522	1	0	1	2
OG0001567	1	0	1	2
OG0001577	1	1	0	2
OG0001869	1	1	0	2
OG0001897	1	1	0	2
OG0001935	1	1	0	2
OG0002020	1	1	0	2
OG0002096	1	1	0	2
OG0002106	1	0	1	2
OG0002120	1	1	0	2
OG0002157	1	1	0	2
OG0002301	1	0	1	2
OG0002463	1	1	0	2
OG0002470	1	1	0	2
OG0002906	1	1	0	2
OG0002957	1	0	1	2
OG0003230	1	1	0	2
OG0003342	0	1	1	2
OG0003357	1	1	0	2
OG0003375	1	0	1	2
OG0003390	1	1	0	2
OG0003467	1	1	0	2
OG0003474	1	1	0	2
OG0003500	1	0	1	2
OG0003733	1	0	1	2
OG0003742	1	0	1	2
OG0003791	1	0	1	2
OG0003960	1	1	0	2
OG0004007	1	0	1	2
OG0004029	1	1	0	2
OG0004075	1	1	0	2
OG0004230	1	0	1	2
OG0004261	1	0	1	2
OG0004337	1	0	1	2
OG0004648	1	0	1	2
OG0004840	1	0	1	2
OG0005009	1	0	1	2
OG0005269	1	0	1	2
OG0005316	1	1	0	2
OG0005404	1	0	1	2
OG0006316	1	1	0	2
OG0006318	1	0	1	2
OG0006321	1	1	0	2
OG0006362	1	0	1	2
OG0006597	1	1	0	2
OG0007252	0	1	1	2
OG0007357	1	1	0	2
OG0007476	1	1	0	2
OG0007547	1	0	1	2
OG0007562	1	1	0	2
OG0007868	1	1	0	2
OG0008188	1	0	1	2
OG0009080	1	1	0	2
OG0009210	0	1	1	2
OG0010301	1	0	1	2
OG0010682	1	1	0	2
OG0000229	0	1	0	1
OG0000255	0	0	1	1
OG0000399	1	0	0	1
OG0000432	1	0	0	1
OG0000461	0	0	1	1
OG0000468	1	0	0	1
OG0000550	0	0	1	1
OG0000589	1	0	0	1
OG0000649	1	0	0	1
OG0000657	0	1	0	1
OG0000688	1	0	0	1
OG0000706	1	0	0	1
OG0000712	1	0	0	1
OG0000728	0	0	1	1
OG0000731	1	0	0	1
OG0000771	0	1	0	1
OG0000773	0	0	1	1
OG0000777	0	1	0	1
OG0000785	0	1	0	1
OG0000791	0	1	0	1
OG0000794	1	0	0	1
OG0000819	0	0	1	1
OG0000863	1	0	0	1
OG0000872	0	0	1	1
OG0000879	1	0	0	1
OG0000882	0	1	0	1
OG0000896	1	0	0	1
OG0000900	1	0	0	1
OG0000904	1	0	0	1
OG0000906	1	0	0	1
OG0000916	0	1	0	1
OG0000924	0	0	1	1
OG0000925	1	0	0	1
OG0000930	0	0	1	1
OG0000932	1	0	0	1
OG0000936	1	0	0	1
