Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis
Total Genes	5787	5787	5787
Num Genes with >1 read count	4814	4155	4904
Prop. Genes without Zero Expression	0.8319	0.7180	0.8474
Num Genes with Zero Expression	973	1632	883
Prop. Genes with Zero Expression	0.1681	0.2820	0.1526
Prop. Genes with Low Expression	0.2519	0.3335	0.2322
Num Reads: R Phenotype	9064543	9916449	29205377
Num Reads: NR Phenotype	10837024	16843790	26618942
Total Reads Mapped	19901567	26760239	55824319
N Samples	6	6	16
Mean CPM per Sample	3.32	4.46	3.49
