	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-LOC108630137	486.493808565642	0.797126871113914	0.517337600002152	1.54082531621633	0.123359306222268	0.427320337953713
gene-LOC108630204	293.223365047136	-0.31935637003568	0.274572778580653	-1.16310280897664	0.24478779258403	0.578651459435493
gene-LOC108630428	641.660405856771	0.0268945928515345	0.238545470256208	0.112744093705274	0.910233442369181	0.973575537946811
gene-LOC108625126	201.97196968982	-0.703203051706488	0.975802862930033	-0.720640488382037	0.471130736187673	0.769253892820144
gene-LOC108625517	55.4486615998462	-0.041786094110265	0.936624162034755	-0.0446135128731758	0.964415371669637	0.990213864682754
gene-LOC108625314	691.611521932898	0.347977795778037	0.221640027513791	1.57001332151696	0.116412012124459	0.41329893022949
gene-LOC108625655	690.039894629622	-0.693621322502496	0.438225003044044	-1.58279723357725	0.113467687473362	0.407361026406135
gene-LOC108625598	198.819410268481	-0.288984035136394	0.400819526631357	-0.720982926069316	0.470920019695167	0.769253892820144
gene-LOC108625203	98.3013486065559	0.118173548816553	0.349725807485429	0.337903426876715	0.735435965029918	0.909642584524206
gene-LOC108625396	454.727054430307	0.868677888470616	0.359082969915972	2.41915646591063	0.015556547110521	0.138159544268263
gene-LOC108625064	535.744712142475	0.117759729266741	0.348913369885858	0.33750420428218	0.735736843325785	0.909642584524206
gene-LOC108630323	2126.73624389114	0.70892864828998	0.497330794085063	1.42546702661795	0.154022244992479	0.471507463096483
gene-LOC113463976	9.19906578023483	1.70281429055874	0.947479862933078	1.79720367384633	0.0723032915228228	0.325188774622346
gene-LOC108629901	1120.69780941728	0.593851598438698	0.285430759284294	2.08054520797884	0.0374755535673856	0.229535681492653
gene-LOC108623485	751.548011177807	0.404076000779055	0.211515486872103	1.91038494038684	0.0560836684105822	0.28590570549499
gene-LOC108623319	145.570487598672	0.17961269943885	0.559302816730317	0.321136768966881	0.748106747176577	0.914872959955949
gene-LOC108623244	96487.7000950463	-0.500668875081573	0.42020449267052	-1.1914886294996	0.233461817768959	0.565833031615607
gene-LOC108623171	6148.45361782003	0.262449191488336	0.396032892932908	0.662695438110484	0.507525632064244	0.792638353805939
gene-LOC108629049	876.320538878982	-0.534909455365862	0.693997317136784	-0.770765883609941	0.440845712541497	0.7477449815395
gene-LOC108623909	551.592635784653	-0.536428270932157	0.238912059013977	-2.24529591828086	0.0247491419033387	0.182873659445761
gene-LOC108623975	226.829517157503	-0.187430624249732	0.285945824049542	-0.655475997499647	0.512161335249372	0.795520942159627
gene-LOC113464111	88.1849330826221	0.0167328115286232	0.525975568065377	0.0318129064248539	0.974621254008103	0.991970519506431
gene-LOC108623775	2100.4569949381	-0.357169672491263	0.284721051846041	-1.25445473798122	0.209676767427825	0.540967890936303
gene-LOC108628026	971.739312392462	0.00230604539689351	0.438775661406924	0.00525563653530651	0.995806628055984	0.998979224583992
gene-LOC108621989	50.8731502566166	0.232624794382393	0.660668675546493	0.352105076254705	0.724759461570733	0.905615069432868
gene-LOC108621903	109.684304907647	-0.431714418258465	0.402773148573433	-1.07185501264803	0.283785159247754	0.619655537923315
