	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-LOC107064227	156.753978182252	0.105421584009699	0.206443232234469	0.51065652706874	0.609591586621594	0.791731634618773
gene-LOC107064169	669.242231359057	0.428529740757999	0.156087817395047	2.74544002158362	0.00604298124462586	0.0486848410233019
gene-LOC107064158	4536.48286528872	0.131562384471572	0.0821293702544943	1.60189204013009	0.109179484989271	0.30778189292544
gene-LOC107072482	300.005301304904	0.614433037488343	0.367569962295978	1.67160840252116	0.0946015667872437	0.282167720975516
gene-LOC107071655	2288.6832248733	-0.0663927439717222	0.0840251693155782	-0.790153051907187	0.429438390260403	0.661393295390247
gene-LOC107072269	267.921524384971	0.0218819593798686	0.0647512901569635	0.337938585112738	0.735409469600437	0.870470026443878
gene-LOC107072336	965.826500228434	-0.0246191411026876	0.0811269968333067	-0.303464223546608	0.76153610821902	0.885387492895928
gene-LOC107072717	2278.26950185479	-0.00342937115472922	0.0738547002363538	-0.0464340271337419	0.962964316021626	0.984144558221585
gene-LOC107072883	964.941735777061	0.102351170949271	0.0712522648951995	1.43646200018782	0.150870921801426	0.370316385230095
gene-LOC107072648	308.978740375098	-0.248029095966954	0.0621098587232189	-3.99339333667219	0.0000651343859135967	0.00180802904482755
gene-LOC107072822	279.804884817448	0.113667048949815	0.0738615536242785	1.53892036346839	0.123823739152387	0.332176386813367
gene-LOC107074074	3668.73679785241	0.263011488933022	0.109325095357357	2.40577415526876	0.0161382379996073	0.0947113396495349
gene-LOC107074082	69.372211827959	-0.128219090419816	0.119490843875385	-1.07304531679041	0.283250784101387	0.526774015801051
gene-LOC107074032	1247.94306392161	-0.112534693908121	0.0915741895418499	-1.22889096230213	0.219112690429577	0.458467526405489
gene-LOC107074088	4346.33335302902	-0.0741395195739535	0.0551934040544187	-1.3432677480964	0.179185291438571	0.40674452200595
gene-LOC107074105	2261.29600071199	-0.38187098065764	0.145587238313936	-2.62297015233021	0.00871669085732474	0.0628578105210725
gene-LOC107074112	993.532027598853	0.134938565613808	0.0800096110310668	1.68652945408537	0.0916938668672588	0.276895268496862
gene-LOC107074125	3487.67365993035	0.110757245170327	0.08759454648513	1.26443083062402	0.20607543278964	0.44276802376817
gene-LOC107074116	179.72949241861	0.0171370811019475	0.172379776965484	0.0994146842722674	0.920809024157453	0.965879924544382
gene-LOC107074132	150.18840172879	-0.43108965635294	0.236444303189264	-1.8232186207839	0.0682702859187616	0.232136349224882
gene-LOC107064581	2842.85807260364	-0.252810125815857	0.169245566907906	-1.49374740168776	0.135241653943643	0.349788856654336
gene-LOC107064597	218.571324376097	-0.54947562526608	0.213909462969833	-2.56872986186483	0.0102071992189377	0.0702383137243313
gene-LOC107074670	482.098069758038	-0.225198083682635	0.219451805085716	-1.02618469506174	0.304804534119715	0.551828910069015
gene-LOC107074348	1270.71419346736	0.438533371562608	0.231854068527154	1.89141978119417	0.058568330049839	0.210960479690809
gene-LOC107074685	449.853741001807	-0.269532984511436	0.0905378460541337	-2.97702006683789	0.00291064958467622	0.0293453887843724
gene-LOC107074693	2866.31329600877	-0.108625802243758	0.0811869533600063	-1.33797116098297	0.180905837969012	0.409134131332607
gene-LOC107065609	2.13594209979418	0.0822059302817169	0.655510965158478	0.125407406818653	0.900201024615733	0.958436774286663
gene-LOC107063673	1896.34692162927	-0.0843852933562792	0.060328183852651	-1.39877065688546	0.161881768207508	0.384793251075097
gene-LOC107063696	50.0140386918695	0.0597327848911914	0.128389259644497	0.465247521923472	0.641754210745176	0.813353694947223
gene-LOC107063613	193.146905108812	-0.239888835251359	0.154265757580212	-1.55503618569809	0.11993745150869	0.325158609014942
gene-LOC107065295	28.1466916115721	0.0305569565488052	0.199278159048297	0.153338211747528	0.87813156835736	0.947747128967391
gene-LOC107065289	45.2808351645465	-0.341515845383366	0.163490301180663	-2.08890584283637	0.0367161997907038	0.158220172243247
gene-LOC107063717	5.25250940952125	1.69727709002005	0.490479410412809	3.46044513589581	0.000539283113689459	0.00874334920786763
gene-LOC107063734	23.8724931292551	-0.691605128593705	0.410843394740631	-1.68337896494678	0.092301752685695	0.277416487555558
gene-LOC107063725	1166.43014631353	-0.599984856576483	0.319471756042302	-1.87805289584672	0.0603739292807262	0.215215537766218
gene-LOC107063753	85.0309845835715	-1.22388127428674	0.36206447363656	-3.38028545577567	0.000724105822408745	0.0107929134227089
gene-LOC107063742	43.249179343478	0.0274068263719582	0.175424236519438	0.156231698171999	0.875850391977431	0.946635779229719
gene-LOC107063735	229.137496795696	0.113497128759886	0.0784456711939666	1.44682462438558	0.147946048225301	0.366759317416793
gene-LOC107064754	530.23936984227	-0.0247516940642837	0.120917759362908	-0.20469858352235	0.837807627160904	0.925916418501815
gene-LOC107064846	549.566629434288	0.0881197933136235	0.133618638011592	0.659487288786606	0.509582905943464	0.721217390520169
gene-LOC107064988	30.3951998652728	-0.685355783642151	0.301525987385158	-2.27295759674175	0.0230287353620521	0.117924338674773
gene-LOC107064999	1783.96546435997	-0.133936988502753	0.213772490832865	-0.626539869470245	0.530960894561088	0.735374626263068
gene-LOC107070209	16.3940590541022	0.129067563482921	0.229471635626808	0.562455412540944	0.573805774100906	0.767105313505458
gene-LOC107074068	1.98606310778453	0.0461928191562181	0.492215004333129	0.0938468326840255	0.925230828717328	0.967766561518284
gene-LOC107065217	25.3910538742112	-0.0656838844987728	0.217702460494146	-0.301714019904423	0.762870079730086	0.886269436033854
