Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata
Total Genes	22745	12316	12793	10708	11313	14095
Num Genes with >1 read count	14606	11348	11971	10214	11118	13039
Prop. Genes without Zero Expression	0.6422	0.9214	0.9357	0.9539	0.9828	0.9251
Num Genes with Zero Expression	8139	968	822	494	195	1056
Prop. Genes with Zero Expression	0.3578	0.0786	0.0643	0.0461	0.0172	0.0749
Prop. Genes with Low Expression	0.5914	0.2273	0.2816	0.1669	0.1449	0.2802
Num Reads: R Phenotype	21031691	27827791	59463251	48110419	84012105	135702815
Num Reads: NR Phenotype	24972132	48906086	62244151	58643157	98275294	150850659
Total Reads Mapped	46003823	76733877	121707402	106753576	182287399	286553474
N Samples	6	6	16	10	24	19
Mean CPM per Sample	7.67	12.79	7.61	10.68	7.60	15.08
