Geneid	gene_name	SRR2954866_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam
Caust.v2_010917	NA	0	0
Caust.v2_010918	NA	1	1
Caust.v2_010919	NA	30	35
Caust.v2_010920	NA	7	8
Caust.v2_010921	NA	0	0
Caust.v2_010922	NA	0	0
Caust.v2_010923	NA	1	2
Caust.v2_010924	NA	0	0
Caust.v2_010925	NA	16	31
Caust.v2_010926	NA	159	156
Caust.v2_010927	NA	1082	1160
Caust.v2_010928	NA	2	4
Caust.v2_010929	NA	110	143
Caust.v2_010930	NA	146	159
Caust.v2_010931	NA	16	6
Caust.v2_010932	NA	1	0
Caust.v2_010933	NA	4	2
Caust.v2_010934	NA	0	0
Caust.v2_010935	NA	0	0
Caust.v2_010936	NA	0	0
Caust.v2_010937	NA	0	0
Caust.v2_010938	NA	0	0
Caust.v2_010939	NA	0	0
Caust.v2_010940	NA	0	0
Caust.v2_010941	NA	0	1
Caust.v2_010942	NA	14	21
Caust.v2_010943	NA	3	4
Caust.v2_010944	NA	1	0
Caust.v2_010945	NA	0	0
Caust.v2_010946	NA	0	0
Caust.v2_010947	NA	1	0
Caust.v2_010948	NA	37	61
Caust.v2_010949	NA	600	588
Caust.v2_010950	NA	0	0
Caust.v2_010063	NA	550	551
Caust.v2_010064	NA	5	7
Caust.v2_010065	NA	47	48
Caust.v2_010066	NA	10	6
Caust.v2_010067	NA	6	15
Caust.v2_010068	NA	18	24
Caust.v2_010069	NA	5	6
Caust.v2_010070	NA	29	26
Caust.v2_010071	NA	21	8
Caust.v2_010072	NA	1	0
Caust.v2_010073	NA	0	0
Caust.v2_010074	NA	0	0
Caust.v2_010075	NA	0	0
Caust.v2_010076	NA	4	1
Caust.v2_010077	NA	1	1
Caust.v2_010078	NA	75	88
Caust.v2_010079	NA	229	210
Caust.v2_010080	NA	937	977
Caust.v2_010081	NA	50	43
Caust.v2_010082	NA	0	0
Caust.v2_010083	NA	0	0
Caust.v2_010084	NA	0	0
Caust.v2_010085	NA	0	0
Caust.v2_017138	NA	0	1
Caust.v2_017139	NA	0	0
Caust.v2_017140	NA	3	2
Caust.v2_017141	NA	0	1
Caust.v2_017142	NA	0	2
Caust.v2_011722	NA	184	166
Caust.v2_011723	NA	413	340
Caust.v2_011724	NA	134	134
Caust.v2_011725	NA	257	225
Caust.v2_011726	NA	698	749
Caust.v2_011727	NA	24	26
Caust.v2_011728	NA	3	0
Caust.v2_011729	NA	439	432
Caust.v2_011730	NA	33	29
Caust.v2_011731	NA	258	273
Caust.v2_011732	NA	5	3
Caust.v2_011733	NA	47	55
Caust.v2_011734	NA	4	4
Caust.v2_011735	NA	6	4
Caust.v2_011736	NA	9	9
Caust.v2_011737	NA	967	978
Caust.v2_011738	NA	4	1
Caust.v2_011739	NA	18	18
Caust.v2_011740	NA	0	0
Caust.v2_021764	NA	0	0
Caust.v2_022397	NA	0	0
Caust.v2_022745	NA	0	0
Caust.v2_013489	NA	0	0
Caust.v2_013490	NA	0	0
Caust.v2_013491	NA	0	0
Caust.v2_013492	NA	0	0
Caust.v2_013493	NA	0	0
Caust.v2_013494	NA	0	0
Caust.v2_013495	NA	0	0
Caust.v2_013496	NA	0	0
Caust.v2_013497	NA	0	0
Caust.v2_013498	NA	0	0
Caust.v2_013499	NA	0	0
Caust.v2_013500	NA	0	0
Caust.v2_013501	NA	1	1
Caust.v2_013502	NA	2	1
Caust.v2_013503	NA	3	1
Caust.v2_013504	NA	0	0
Caust.v2_013505	NA	0	0
Caust.v2_013506	NA	0	0
Caust.v2_013507	NA	0	0
Caust.v2_013508	NA	0	0
Caust.v2_013509	NA	0	0
Caust.v2_013510	NA	0	0
Caust.v2_013511	NA	0	0
Caust.v2_021812	NA	0	0
Caust.v2_018962	NA	6	4
Caust.v2_018963	NA	0	0
