Geneid	gene_name	SRR13281991_1Aligned.sortedByCoord.out.bam	SRR13282009_1Aligned.sortedByCoord.out.bam	SRR13282003_1Aligned.sortedByCoord.out.bam	SRR13282004_1Aligned.sortedByCoord.out.bam	SRR13282007_1Aligned.sortedByCoord.out.bam	SRR13281986_1Aligned.sortedByCoord.out.bam	SRR13282000_1Aligned.sortedByCoord.out.bam	SRR13281984_1Aligned.sortedByCoord.out.bam	SRR13282011_1Aligned.sortedByCoord.out.bam	SRR13281989_1Aligned.sortedByCoord.out.bam	SRR13281980_1Aligned.sortedByCoord.out.bam	SRR13282008_1Aligned.sortedByCoord.out.bam	SRR13281979_1Aligned.sortedByCoord.out.bam	SRR13281985_1Aligned.sortedByCoord.out.bam	SRR13281987_1Aligned.sortedByCoord.out.bam	SRR13282005_1Aligned.sortedByCoord.out.bam	SRR13281993_1Aligned.sortedByCoord.out.bam	SRR13282010_1Aligned.sortedByCoord.out.bam	SRR13281988_1Aligned.sortedByCoord.out.bam	SRR13282002_1Aligned.sortedByCoord.out.bam	SRR13281995_1Aligned.sortedByCoord.out.bam	SRR13281983_1Aligned.sortedByCoord.out.bam	SRR13281994_1Aligned.sortedByCoord.out.bam	SRR13281992_1Aligned.sortedByCoord.out.bam	SRR13282001_1Aligned.sortedByCoord.out.bam	SRR13281981_1Aligned.sortedByCoord.out.bam	SRR13281982_1Aligned.sortedByCoord.out.bam	SRR13281997_1Aligned.sortedByCoord.out.bam	SRR13281999_1Aligned.sortedByCoord.out.bam	SRR13281996_1Aligned.sortedByCoord.out.bam	SRR13282006_1Aligned.sortedByCoord.out.bam	SRR13281998_1Aligned.sortedByCoord.out.bam	SRR13281990_1Aligned.sortedByCoord.out.bam
Ccalc.v2_016387	NA	1	0	0	0	1	2	0	1	2	1	1	0	3	0	1	0	0	0	2	1	0	0	1	0	2	1	1	0	1	0	0	0	1
Ccalc.v2_016388	NA	3091	2501	2313	1796	6796	1606	1955	1976	4446	1186	2001	1451	2674	994	1587	1384	1255	1822	1454	1824	1883	1252	4207	2154	2134	3024	878	1860	1794	1665	4196	2592	1579
Ccalc.v2_016389	NA	252	193	118	73	279	78	83	106	224	101	89	101	119	56	116	94	118	115	33	144	169	96	133	118	105	60	82	128	108	87	153	118	59
Ccalc.v2_016390	NA	70	49	30	11	83	21	26	34	66	27	19	35	45	21	28	20	40	32	5	30	44	19	24	22	27	17	14	29	26	19	49	21	14
Ccalc.v2_016391	NA	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccalc.v2_016392	NA	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ccalc.v2_000362	NA	26	44	37	27	48	17	0	14	24	19	17	25	15	5	18	19	0	27	25	17	9	14	8	0	16	4	5	20	17	2	8	24	17
Ccalc.v2_000363	NA	4	5	5	5	11	11	1	4	3	3	7	3	2	1	4	1	2	6	1	2	3	2	1	0	1	3	2	1	2	2	2	7	8
Ccalc.v2_000364	NA	6	5	2	0	1	2	2	2	0	3	2	2	2	1	6	2	0	3	1	2	3	0	2	4	3	2	1	2	0	0	0	3	0
Ccalc.v2_000365	NA	1	4	7	4	2	3	4	2	4	0	5	2	2	0	2	1	3	4	0	1	5	3	3	0	1	3	1	2	3	4	1	1	2
