Geneid	gene_name	SRR1519115_1_cleanedAligned.sortedByCoord.out.bam	SRR1519113_1_cleanedAligned.sortedByCoord.out.bam	SRR1519114_1_cleanedAligned.sortedByCoord.out.bam	SRR1519108_1_cleanedAligned.sortedByCoord.out.bam	SRR1519111_1_cleanedAligned.sortedByCoord.out.bam	SRR1519116_1_cleanedAligned.sortedByCoord.out.bam	SRR1519109_1_cleanedAligned.sortedByCoord.out.bam	SRR1519110_1_cleanedAligned.sortedByCoord.out.bam	SRR1519117_1_cleanedAligned.sortedByCoord.out.bam	SRR1519112_1_cleanedAligned.sortedByCoord.out.bam
gene-LOC106784153	LOC106784153	0	0	0	1	1	3	3	5	7	3
gene-LOC106784085	LOC106784085	5	2	5	1	13	18	13	28	34	14
gene-LOC106783879	LOC106783879	2	0	1	2	6	0	7	2	9	4
gene-LOC106784012	LOC106784012	2	4	3	6	0	0	0	0	0	0
gene-LOC106783940	LOC106783940	4	0	0	0	0	0	0	0	0	0
gene-LOC106783811	LOC106783811	0	0	1	0	1	0	1	5	1	2
gene-LOC106792039	LOC106792039	0	0	0	0	0	1	0	2	3	0
gene-LOC106783577	LOC106783577	0	0	3	0	1	2	2	2	0	1
gene-LOC106792109	LOC106792109	14	9	13	42	16	12	17	16	31	23
gene-LOC106792180	LOC106792180	3	0	1	0	0	0	0	0	0	0
gene-LOC106790239	LOC106790239	0	0	0	0	1	0	0	0	0	0
gene-LOC106793447	LOC106793447	2	2	8	0	1	0	0	2	3	6
gene-LOC106793296	LOC106793296	7	2	17	21	17	3	31	5	21	18
gene-LOC106793534	LOC106793534	2	2	0	4	7	6	4	6	6	6
gene-LOC106785363	LOC106785363	0	4	0	0	3	6	7	6	4	2
gene-LOC106789119	LOC106789119	0	3	0	3	1	1	2	0	1	0
gene-LOC106790448	LOC106790448	0	0	0	5	0	0	0	0	0	4
gene-LOC106790650	LOC106790650	0	1	0	2	0	0	0	3	0	0
gene-LOC106790958	LOC106790958	0	0	0	0	0	0	0	0	1	0
gene-LOC106793585	LOC106793585	1	0	0	0	0	1	0	2	0	0
gene-LOC106793045	LOC106793045	9	4	13	12	12	13	4	3	15	14
gene-LOC106793239	LOC106793239	24	21	9	12	63	22	34	27	70	36
gene-LOC106792958	LOC106792958	28	26	27	26	25	20	31	27	49	33
gene-LOC106792893	LOC106792893	6	14	11	11	29	14	12	24	15	6
gene-LOC106793354	LOC106793354	0	0	0	0	0	1	0	0	1	0
gene-LOC106793152	LOC106793152	0	5	0	0	0	0	0	1	0	0
gene-LOC106793188	LOC106793188	1	0	0	0	0	0	0	0	1	0
gene-LOC106793282	LOC106793282	35	34	34	28	89	56	35	32	185	68
gene-LOC106793092	LOC106793092	9	14	17	8	29	38	31	40	52	19
gene-LOC106785249	LOC106785249	14	10	6	5	14	1	26	6	15	9
gene-LOC106785316	LOC106785316	4	4	8	6	5	2	8	1	10	5
gene-LOC106793297	LOC106793297	0	2	4	0	1	0	1	2	1	0
gene-LOC106793424	LOC106793424	0	0	0	0	0	0	0	0	0	0
gene-LOC106788563	LOC106788563	0	5	2	4	6	1	9	4	9	1
gene-LOC106789066	LOC106789066	0	0	2	0	1	1	0	3	2	3
gene-LOC106793085	LOC106793085	14	29	19	8	1	0	1	1	1	2
gene-LOC106793508	LOC106793508	0	0	1	0	1	3	2	1	1	2
gene-LOC106793065	LOC106793065	0	1	1	1	1	1	5	0	3	0
gene-LOC106794044	LOC106794044	1	0	0	0	0	0	0	0	0	0
gene-LOC106793361	LOC106793361	2	0	1	2	5	1	8	1	0	3
gene-LOC106793683	LOC106793683	0	0	0	0	0	0	0	0	0	0
gene-LOC106783599	LOC106783599	1	10	2	3	0	0	0	0	0	0
gene-LOC106793758	LOC106793758	2	1	0	1	2	0	4	5	1	2
gene-LOC106793617	LOC106793617	24	26	45	45	66	45	72	70	28	47
gene-LOC106793905	LOC106793905	9	17	15	14	12	15	6	14	8	8
gene-LOC106793976	LOC106793976	2	2	0	5	1	1	4	0	0	1
gene-LOC106783662	LOC106783662	160	239	320	359	802	1119	554	714	844	875
gene-LOC106793830	LOC106793830	64	102	71	70	169	128	107	135	198	137
gene-LOC106783736	LOC106783736	7	1	0	3	14	6	14	14	6	6
gene-LOC106783776	LOC106783776	0	1	0	7	10	17	12	10	21	16
gene-LOC106793385	LOC106793385	0	0	0	0	0	0	1	0	0	0
gene-LOC106793548	LOC106793548	20	28	25	32	19	8	56	4	11	5
gene-LOC106793472	LOC106793472	6	11	20	19	30	19	24	16	20	18
gene-LOC106793491	LOC106793491	6	12	14	9	11	16	9	16	27	15
gene-LOC106793486	LOC106793486	10	3	8	11	1	1	0	0	1	2
gene-LOC106793272	LOC106793272	2	0	0	0	0	0	0	1	9	0
gene-LOC106793258	LOC106793258	5	1	2	0	0	0	0	0	1	1
gene-LOC106787496	LOC106787496	1	4	1	3	6	4	11	4	3	6
gene-LOC106787961	LOC106787961	0	3	1	0	0	0	1	1	1	0
gene-LOC106787891	LOC106787891	0	1	4	6	0	0	1	0	0	3
gene-LOC106787688	LOC106787688	2	2	1	2	0	0	0	0	0	0
gene-LOC106793396	LOC106793396	3	3	1	1	0	0	0	0	0	0
gene-LOC106788839	LOC106788839	0	0	0	0	0	0	0	0	1	0
gene-LOC106793500	LOC106793500	0	0	0	0	1	1	6	0	0	0
gene-LOC106792840	LOC106792840	2	0	0	0	0	1	1	0	3	0
gene-LOC106792406	LOC106792406	28	22	32	25	30	18	33	27	25	28
gene-LOC106792589	LOC106792589	3	0	11	0	0	0	0	0	0	0
gene-LOC106792721	LOC106792721	0	2	0	2	0	0	1	0	0	0
gene-LOC106792988	LOC106792988	0	4	1	1	2	0	2	0	1	0
gene-LOC106793028	LOC106793028	4	4	2	2	2	0	3	0	1	2
gene-LOC106793018	LOC106793018	17	5	9	23	0	0	0	0	0	0
gene-LOC106793253	LOC106793253	0	2	1	5	0	1	0	0	1	2
gene-LOC106793468	LOC106793468	0	0	0	0	0	0	0	0	0	0
gene-LOC106793323	LOC106793323	0	0	0	6	0	0	0	0	1	0
gene-LOC106793332	LOC106793332	63	94	70	56	9	7	16	17	24	9
gene-LOC106790725	LOC106790725	3	9	3	8	9	10	9	9	6	9
gene-LOC106790959	LOC106790959	55	85	77	53	125	90	112	99	66	77
gene-LOC106790839	LOC106790839	51	65	83	57	160	140	165	174	155	115
gene-LOC106791151	LOC106791151	0	1	4	5	3	1	2	4	5	3
gene-LOC106791081	LOC106791081	9	10	12	7	14	10	20	14	30	12
gene-LOC106791219	LOC106791219	0	0	0	0	0	0	0	0	0	0
gene-LOC106791448	LOC106791448	1	0	0	1	2	0	0	0	2	3
gene-LOC106783578	LOC106783578	0	0	0	0	0	0	0	0	0	0
gene-LOC106792973	LOC106792973	0	0	0	0	0	0	0	0	0	0
gene-LOC106793476	LOC106793476	0	0	0	0	0	0	0	0	2	0
gene-LOC106784213	LOC106784213	4	0	2	0	6	2	2	4	5	1
gene-LOC106793566	LOC106793566	1	0	0	0	0	0	0	0	0	0
gene-LOC106793125	LOC106793125	0	1	0	1	0	0	1	0	2	0
