"","X","Novogene_ID","BORIS_ID","treatment","queenness","ovaries","elo","finalrole","sampletime","nest","age","size","antennation_rate","agnosticrole"
"1",1,"F01RD","001F-blu","Qc",NA,321.24,1000,"queen","12","001",NA,NA,0,"queen"
"2",2,"F03BL","003F-blu","Qr12",NA,309.33,1000,"queen","0","003",NA,NA,0,"queen"
"3",3,"F06BL","006F-blu","Qc",NA,311.4543333,1055.54600784371,"queen","12","006",NA,13.08367781,0.779331606247902,"queen"
"4",4,"F08YL","008F-yel","Wr",NA,258.2916667,1215.2589525132,"queen","3","008",NA,NA,9.99801705994978,"queen"
"5",5,"F09BL","009F-blu","Wr",NA,329.9886667,1141.21,"queen","3","009",NA,NA,0.953,"queen"
"6",6,"F13GR","013F-grn","Qc",NA,275.229,1000,"queen","12","013",NA,11.27542356,0,"queen"
"7",7,"F14GR","014F-grn","Qr12",NA,315.33,1087.75406687981,"queen","0","014",NA,NA,1.35502910583699,"queen"
"8",8,"F16BL","016F-blu","Qc",NA,298.479,1121.08,"queen","12","016",NA,NA,5.629,"queen"
"9",10,"F28GRGR","028F-grn-grn","Wr",NA,338.4463333,1226.19132698549,"queen","3","028",NA,10.63304767,14.794089898068,"queen"
"10",11,"F31GR","031F-grn","Wr",NA,237.1933333,1083.96498485615,"queen","3","031",NA,NA,1.33196732684147,"queen"
"11",12,"F38BL","038F-blu","Qr3",NA,225.1998333,1000,"queen","0","038",NA,NA,0,"queen"
"12",13,"F42OR","042F-ora","Qr12",NA,319.78,1139.2316301433,"queen","0","042",NA,NA,11.7151995928317,"queen"
"13",14,"F45OR","045F-ora","Qr12",NA,337.8,1093.03290402556,"queen","0","045",NA,NA,2.09159501259169,"queen"
"14",15,"F47RD","047F-red","Qr3",NA,307.5175,1135.23602488805,"queen","0","047",NA,11.49652164,2.66527332100274,"queen"
"15",16,"F48SL","048F-sil","Qr12",NA,327.45,1224.57795416847,"queen","0","048",NA,NA,6.68995887347783,"queen"
"16",17,"F49RD","049F-red","Wr",NA,287.5078333,1191.31730972973,"queen","3","049",NA,12.90991342,6.01337642177377,"queen"
"17",18,"F51RD","051F-red","Qr3",NA,305.82,1135.83090323283,"queen","0","051",NA,NA,3.9993045653728,"queen"
