Geneid	gene_name	PO_Q1_1Aligned.sortedByCoord.out.bam	PO_Q3_1Aligned.sortedByCoord.out.bam	PO_W1_1Aligned.sortedByCoord.out.bam	PO_Q4_1Aligned.sortedByCoord.out.bam	PO_W2_1Aligned.sortedByCoord.out.bam	PO_Q5_1Aligned.sortedByCoord.out.bam	PO_W5_1Aligned.sortedByCoord.out.bam	PO_W4_1Aligned.sortedByCoord.out.bam	PO_Q2_1Aligned.sortedByCoord.out.bam	PO_W3_1Aligned.sortedByCoord.out.bam
Polyb2a004846	NA	184	193	91	209	271	194	75	253	415	155
Polyb2a004876	NA	36	14	14	18	18	19	15	19	28	21
Polyb2a004820	NA	490	429	745	463	716	351	898	788	535	760
Polyb2a004903	NA	646	779	737	758	887	693	885	982	941	815
Polyb2a004804	NA	7	3	5	1	3	1	2	3	4	3
Polyb2a004889	NA	931	1268	604	1652	723	1184	409	821	1455	572
Polyb2a004833	NA	4	1	4	5	4	0	0	1	0	0
Polyb2a004782	NA	210	387	242	450	303	339	238	349	389	306
Polyb2a004857	NA	1094	1538	891	1795	1166	1333	906	1364	1614	1170
Polyb2a004799	NA	278	311	242	316	314	337	233	370	437	296
Polyb2a004866	NA	45	37	27	21	26	33	15	32	30	30
Polyb2a004825	NA	3	0	1	6	1	1	1	3	1	1
Polyb2a004863	NA	286	353	266	447	289	321	249	369	337	252
Polyb2a004912	NA	318	457	340	587	324	422	375	467	522	393
Polyb2a004858	NA	398	306	259	336	447	341	200	559	694	281
Polyb2a004822	NA	550	668	579	620	679	541	653	741	739	764
Polyb2a004811	NA	731	817	660	886	755	793	548	847	980	674
Polyb2a004845	NA	751	1118	647	1453	801	1057	596	958	1155	737
Polyb2a004911	NA	231	219	126	206	192	190	161	243	313	158
Polyb2a004885	NA	20	18	13	17	19	15	20	21	27	19
Polyb2a004894	NA	47	47	58	46	56	24	51	79	64	49
Polyb2a004788	NA	104	132	126	132	192	113	102	146	166	98
Polyb2a004883	NA	2354	2703	3004	3263	3532	2638	3406	3638	2802	3724
Polyb2a004827	NA	726	794	831	1000	789	786	870	863	984	879
Polyb2a004878	NA	1007	1232	626	1713	1088	1328	428	1057	1749	765
Polyb2a004812	NA	4	2	2	4	3	2	0	0	1	3
Polyb2a004853	NA	2	0	1	4	1	2	0	1	2	0
Polyb2a004784	NA	250	327	218	325	291	322	200	370	418	252
Polyb2a004874	NA	779	1063	645	1218	723	1033	543	854	1067	717
Polyb2a004842	NA	1212	1378	930	1465	1282	1371	784	1682	1868	1025
Polyb2a004805	NA	315	436	421	724	4948	499	479	1321	718	557
Polyb2a004910	NA	204	255	243	290	286	235	235	314	344	231
Polyb2a004801	NA	432	673	471	776	654	726	471	744	778	460
Polyb2a004867	NA	132	193	184	218	208	175	221	273	200	186
Polyb2a004847	NA	289	370	297	450	361	312	292	453	365	351
Polyb2a004880	NA	163	237	237	265	275	234	285	296	247	305
Polyb2a004806	NA	264	271	108	152	91	147	67	139	339	116
Polyb2a004855	NA	340	584	184	958	372	682	250	520	555	252
Polyb2a004905	NA	3	4	2	16	1	5	4	5	3	0
Polyb2a004849	NA	718	580	450	587	679	486	374	763	851	594
Polyb2a004915	NA	950	1204	835	1522	1050	1135	585	1091	1331	842
Polyb2a004861	NA	15	11	13	4	17	7	14	26	7	18
Polyb2a004783	NA	122	118	108	162	116	144	85	126	185	116
Polyb2a004879	NA	527	661	381	742	534	583	431	610	682	562
Polyb2a004891	NA	31	14	13	32	28	23	5	39	66	20
Polyb2a004809	NA	208	206	146	223	213	207	58	223	353	142
Polyb2a004864	NA	784	861	426	949	952	828	340	899	1327	552
Polyb2a004886	NA	99	120	145	172	179	139	109	260	216	143
Polyb2a004884	NA	363	421	245	540	363	483	346	389	514	339
Polyb2a004873	NA	263	331	86	331	167	282	100	232	345	94
Polyb2a004893	NA	16	14	40	21	47	11	53	37	31	38
Polyb2a004836	NA	23	26	34	29	32	13	24	36	32	29
Polyb2a004793	NA	95	56	33	107	77	90	30	63	115	36
Polyb2a004882	NA	85	119	90	118	103	132	106	140	128	99
Polyb2a004821	NA	105	121	76	165	113	119	63	154	159	94
Polyb2a004875	NA	305	366	220	409	361	318	146	339	487	239
Polyb2a004839	NA	3	8	0	2	0	0	4	6	2	2
Polyb2a004779	NA	198	105	78	143	143	111	59	199	274	83
Polyb2a004817	NA	3	0	1	3	2	0	2	1	7	0
Polyb2a004907	NA	690	850	607	1147	770	883	600	876	1022	719
Polyb2a004797	NA	373	504	384	658	457	477	456	589	559	457
Polyb2a004869	NA	85	115	113	113	136	109	112	128	114	131
Polyb2a004803	NA	246	268	208	309	291	291	246	342	388	241
Polyb2a004868	NA	173	173	160	218	195	194	160	210	244	189
Polyb2a004913	NA	423	518	404	507	482	400	363	509	612	455
Polyb2a004844	NA	414	480	339	503	391	381	349	573	549	391
Polyb2a004896	NA	4037	4630	3170	5230	4824	4272	2600	5449	6312	3859
Polyb2a004823	NA	617	669	354	777	676	634	245	743	1000	452
Polyb2a004850	NA	50	96	36	118	46	92	32	56	127	38
Polyb2a004780	NA	0	3	1	0	0	0	0	0	2	0
Polyb2a004860	NA	2593	3225	2216	3727	2991	2949	1892	3246	3924	2527
Polyb2a004895	NA	6	3	2	5	8	4	0	7	8	5
Polyb2a004794	NA	70	77	33	89	81	69	11	72	111	41
Polyb2a004871	NA	2289	2262	1895	2582	3412	2007	1885	3181	3316	2235
Polyb2a004796	NA	416	544	420	695	494	565	342	586	660	559
Polyb2a004814	NA	50	34	42	30	66	32	27	72	88	40
Polyb2a004865	NA	476	311	231	311	551	303	104	466	755	218
Polyb2a004904	NA	286	333	271	358	315	286	274	329	354	281
Polyb2a004877	NA	64	92	67	87	119	97	99	138	120	92
Polyb2a004808	NA	483	589	341	662	703	555	341	577	748	488
Polyb2a004786	NA	2	1	0	2	2	0	0	0	1	1
Polyb2a004854	NA	593	710	343	734	590	638	233	676	1026	412
Polyb2a004899	NA	5582	8139	4579	14261	11615	8314	3765	11582	10533	3300
Polyb2a004832	NA	81	120	93	197	122	110	45	157	167	73
Polyb2a004838	NA	45	19	17	26	32	17	4	18	79	52
Polyb2a004802	NA	0	1	0	0	0	0	0	0	0	0
Polyb2a004856	NA	55	66	56	143	82	96	34	71	101	70
Polyb2a004815	NA	5498	5027	3294	14317	1102	6822	1538	4591	9579	1580
Polyb2a004843	NA	0	0	0	1	0	2	0	0	0	0
Polyb2a004787	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004851	NA	2544	1782	1450	5121	1900	2541	1496	3478	4379	1085
Polyb2a004830	NA	843	1108	737	1349	821	958	646	964	1139	813
Polyb2a004870	NA	310	396	353	440	369	340	368	421	436	375
Polyb2a004778	NA	290	226	208	201	286	232	170	308	361	210
Polyb2a004848	NA	579	725	611	787	697	647	609	801	812	682
Polyb2a004781	NA	555	719	458	834	537	643	407	684	764	562
Polyb2a004828	NA	2180	2625	1846	2848	2650	2432	1994	2848	3071	2471
Polyb2a004897	NA	291	334	294	411	339	330	345	410	426	351
Polyb2a004852	NA	169	237	129	319	147	260	111	228	270	154
Polyb2a004790	NA	530	596	429	684	532	563	406	651	729	434
Polyb2a004837	NA	231	247	125	306	285	221	138	263	361	172
Polyb2a004908	NA	376	538	345	646	479	532	387	520	567	386
Polyb2a004824	NA	440	594	370	647	445	547	345	539	664	386
Polyb2a004800	NA	765	953	593	1080	937	800	508	951	1001	693
Polyb2a004792	NA	196	222	167	241	198	204	201	206	210	188
Polyb2a004898	NA	1932	2122	833	2553	1783	1784	636	1811	3017	1040
Polyb2a004881	NA	3375	4155	2923	4655	3873	3477	2763	3664	4376	3135
Polyb2a004826	NA	547	609	520	664	607	527	442	662	662	545
Polyb2a004791	NA	703	842	795	1042	1009	778	783	956	920	865
Polyb2a004902	NA	1220	1405	1319	1622	1574	1347	1420	1763	1578	1624
Polyb2a004818	NA	44	45	20	47	30	44	32	34	44	36
Polyb2a004813	NA	914	1043	1066	1140	1428	958	1157	1452	1383	1286
Polyb2a004862	NA	1332	1615	752	2000	1308	1485	528	1515	2049	1084
Polyb2a004785	NA	360	400	202	496	356	375	167	444	447	374
Polyb2a004892	NA	572	645	648	830	708	690	742	883	778	1022
Polyb2a004887	NA	663	887	559	987	871	822	625	810	1021	729
Polyb2a004909	NA	679	872	501	903	694	756	383	882	969	535
Polyb2a004819	NA	3883	4825	2471	6085	3790	4489	1866	3466	5388	2537
Polyb2a004831	NA	110	120	126	145	151	107	88	103	111	113
Polyb2a004914	NA	378	502	428	573	436	448	396	558	554	504
Polyb2a004807	NA	110	114	71	169	66	142	61	106	171	82
Polyb2a004890	NA	0	0	3	0	2	0	0	2	4	1
Polyb2a004810	NA	9370	16298	4506	29777	7219	20744	9008	5802	12993	7536
Polyb2a004872	NA	699	635	518	720	732	662	437	789	995	597
Polyb2a004900	NA	465	452	479	629	548	471	441	637	657	576
Polyb2a004859	NA	551	723	526	811	692	678	543	827	816	681
Polyb2a004798	NA	215	278	231	315	335	253	183	306	363	266
Polyb2a004888	NA	0	1	0	0	0	1	1	0	0	1
Polyb2a004816	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a004834	NA	417	471	464	596	603	403	391	626	627	492
Polyb2a004906	NA	85	115	98	160	95	125	66	82	125	76
Polyb2a004829	NA	0	0	0	0	0	0	0	0	0	2
Polyb2a004789	NA	0	0	0	0	0	0	0	0	1	0
Polyb2a004840	NA	553	688	522	805	656	663	538	766	760	748
Polyb2a004901	NA	2295	2905	1934	3358	2598	2812	1758	2932	3367	2196
Polyb2a004835	NA	713	722	635	788	781	755	577	877	1003	687
Polyb2a003730	NA	205	244	141	275	209	250	124	275	397	201
Polyb2a003735	NA	188	231	106	282	260	244	42	254	341	81
Polyb2a003724	NA	80	108	69	137	99	89	52	86	113	84
Polyb2a003741	NA	1487	1887	1069	2583	2276	2031	730	2151	2612	1010
Polyb2a003729	NA	1576	2134	1836	2411	2520	2115	2068	2781	2575	2112
Polyb2a003740	NA	78	91	42	140	60	114	67	83	97	73
Polyb2a003721	NA	533	329	270	290	407	342	207	585	829	300
Polyb2a003733	NA	70	96	65	121	58	113	77	91	80	64
Polyb2a003723	NA	1132	1564	911	1786	1198	1368	964	1388	1636	1202
Polyb2a003732	NA	872	1156	819	1500	1003	1134	892	1037	1322	864
Polyb2a003725	NA	753	1301	676	1961	671	1357	722	816	1407	620
Polyb2a003737	NA	62	99	62	116	76	101	58	93	99	82
Polyb2a003731	NA	289	360	278	423	291	358	253	375	462	277
Polyb2a003728	NA	470	743	576	790	624	674	660	729	738	616
Polyb2a003720	NA	27	20	29	27	37	34	38	38	30	45
Polyb2a003722	NA	530	612	390	646	747	444	389	654	696	499
Polyb2a003738	NA	45	46	19	51	79	38	18	49	60	52
Polyb2a003734	NA	40	60	27	40	52	27	16	23	59	33
Polyb2a003727	NA	4523	4596	3606	6370	6695	4635	3373	5018	7152	4116
Polyb2a003726	NA	452	529	408	560	527	518	454	598	641	507
Polyb2a003736	NA	175	245	205	268	217	217	191	234	210	222
Polyb2a003739	NA	371	442	329	533	390	475	298	472	501	412
Polyb2a010296	NA	15	13	8	20	17	14	8	16	23	6
Polyb2a001142	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a012179	NA	159	107	133	112	148	87	108	175	208	142
Polyb2a012184	NA	136	131	62	167	103	122	78	215	258	79
Polyb2a012177	NA	25894	34294	18535	43128	21894	35675	25627	30606	36496	19830
Polyb2a012180	NA	222	323	123	411	171	339	144	168	348	140
Polyb2a012182	NA	939	1359	742	1552	1091	1167	646	1288	1467	1015
Polyb2a012183	NA	301	490	456	623	337	575	559	504	639	504
Polyb2a012181	NA	1157	1658	985	2019	1116	1509	1064	1329	1637	1148
Polyb2a012178	NA	113	105	142	79	166	51	85	113	118	150
Polyb2a004292	NA	776	768	335	932	885	750	234	828	1265	528
Polyb2a004293	NA	93	68	69	53	112	89	66	115	164	72
Polyb2a004299	NA	270	238	307	245	343	216	349	407	369	339
Polyb2a004296	NA	243	299	265	260	337	295	362	413	364	346
Polyb2a004294	NA	587	817	747	820	817	804	852	890	1008	838
Polyb2a004295	NA	779	953	943	1204	967	840	904	1023	1094	883
Polyb2a004297	NA	1733	2390	1414	2905	2164	2314	1247	2361	2736	1978
Polyb2a004302	NA	589	775	670	816	848	753	352	729	853	815
Polyb2a004301	NA	0	0	0	0	1	0	0	0	0	0
Polyb2a004298	NA	0	0	0	0	5	0	1	0	0	0
Polyb2a004303	NA	4	2	1	1	6	2	2	8	7	3
Polyb2a004300	NA	5	1	1	2	6	1	1	1	7	1
Polyb2a011554	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a011553	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a002504	NA	0	1	0	3	0	1	0	2	3	0
Polyb2a002502	NA	2	5	0	8	5	8	3	6	11	5
Polyb2a002503	NA	824	1253	594	1300	625	1169	506	921	1302	710
Polyb2a002501	NA	10	5	1	10	3	4	4	0	11	0
Polyb2a011202	NA	7	13	13	14	17	13	2	17	24	5
Polyb2a011209	NA	1	3	0	4	3	1	0	3	5	1
Polyb2a011204	NA	302	381	189	412	330	345	184	344	558	208
Polyb2a011205	NA	78	106	86	114	128	102	61	103	164	98
Polyb2a011203	NA	1199	1176	1226	1004	1556	806	1321	1716	1699	1433
Polyb2a011207	NA	144	164	97	204	185	143	61	176	251	119
Polyb2a011201	NA	1054	1525	1077	1779	1440	1450	1157	1639	1750	1095
Polyb2a011206	NA	146	177	148	213	203	155	156	243	211	159
