ME	Reproductive.MetaZ	Non-Reproductive.MetaZ	MetaPval
MEantiquewhite4	-1.70812082825282	1.70812082825282	0.0876139249385177
MEbisque4	-2.18815673555457	2.18815673555457	0.0286581873533663
MEblack	-1.58992574445624	1.58992574445624	0.111851543851335
MEblue	-1.68224269803502	1.68224269803502	0.0925217875763858
MEbrown	2.01707016184401	-2.01707016184401	0.04368819193979
MEbrown2	-0.161175485950748	0.161175485950748	0.871955188051458
MEbrown4	-1.23758059015234	1.23758059015234	0.21587161512284
MEcoral1	2.13033106418245	-2.13033106418245	0.0331442906543906
MEcoral2	-3.42670001574975	3.42670001574975	0.00061096361839055
MEcyan	-2.48960712481707	2.48960712481707	0.0127884372629824
MEdarkgreen	3.19345229779097	-3.19345229779097	0.00140582562187185
MEdarkmagenta	0.370632634738104	-0.370632634738104	0.710911171577558
MEdarkolivegreen	-0.563531355548883	0.563531355548883	0.57307311493261
MEdarkolivegreen4	-1.05762094610888	1.05762094610888	0.290228289183294
MEdarkorange	1.3439403951286	-1.3439403951286	0.178967662078052
MEdarkred	1.40790772853051	-1.40790772853051	0.159158394297771
MEdarkseagreen4	0.269093827595495	-0.269093827595494	0.787857480176462
MEdarkslateblue	0.707774868367443	-0.707774868367443	0.479085075483173
MEdarkturquoise	-2.38632064669272	2.38632064669272	0.0170179059887727
MEdarkviolet	-0.0922835734667202	0.0922835734667202	0.926472739148242
MEfirebrick4	1.75903984494954	-1.75903984494954	0.078570741083411
MEfloralwhite	-1.99765253351528	1.99765253351528	0.0457543436089117
MEgreen	-0.576220476928963	0.576220476928963	0.56446616611186
MEgrey60	-1.6017641200932	1.6017641200932	0.109207780054226
MEhoneydew	-0.762209459686554	0.762209459686554	0.445935001110893
MEindianred4	-1.07927245097135	1.07927245097135	0.280466290140937
MEivory	1.72187510432804	-1.72187510432804	0.0850921456994181
MElavenderblush2	-1.16126049204686	1.16126049204686	0.245535981017011
MElavenderblush3	0.483254982386456	-0.483254982386456	0.628914700018098
MElightcoral	-1.02528339004436	1.02528339004436	0.305229490792983
MElightcyan	-0.25532810943687	0.25532810943687	0.798469691064124
MElightgreen	1.12779309126202	-1.12779309126202	0.259407311788313
MElightpink3	-0.885756683164838	0.885756683164838	0.375748656375348
MElightpink4	1.79500223250325	-1.79500223250325	0.0726533442416694
MElightyellow	-0.398242467247771	0.398242467247771	0.690451464908722
MEmagenta4	1.75154852118919	-1.75154852118919	0.0798514710450555
MEmaroon	-1.45105876920631	1.45105876920631	0.146763496213964
MEmediumpurple2	1.19686743387172	-1.19686743387172	0.231358229283278
MEmediumpurple3	1.82694108178755	-1.82694108178755	0.0677086285218265
MEmidnightblue	2.10820078924187	-2.10820078924187	0.035013625055212
MEnavajowhite1	2.47482607989361	-2.47482607989361	0.0133301072262499
MEnavajowhite2	-0.807233419849459	0.807233419849458	0.419532014820063
MEorange	-1.32407235882293	1.32407235882293	0.185479014543152
MEorangered3	-3.25218631463759	3.25218631463759	0.00114520926342553
MEorangered4	-1.61323527162324	1.61323527162324	0.106693403159479
MEpaleturquoise	3.3157791577412	-3.3157791577412	0.000913880162239044
MEpalevioletred2	-1.34018474096313	1.34018474096313	0.180185291207861
MEpalevioletred3	1.67782321619558	-1.67782321619558	0.093381615688269
MEpink	-2.05415974110376	2.05415974110376	0.0399602334886003
MEplum1	2.0486757160887	-2.0486757160887	0.0404938353170555
MEplum3	3.06498298480599	-3.06498298480599	0.00217682381053419
MEpurple	-4.09126231179353	4.09126231179353	0.000042903152157762
MEred	-2.87743948124713	2.87743948124713	0.00400916803369728
MEroyalblue	2.18359999652616	-2.18359999652616	0.0289916538237622
MEsaddlebrown	3.2175583972061	-3.2175583972061	0.00129286705144512
MEsalmon	0.60852378866751	-0.60852378866751	0.54284013335919
MEsalmon2	-1.1663828218015	1.1663828218015	0.243459700715694
MEsalmon4	1.26416522532972	-1.26416522532972	0.206170729495886
MEsienna3	1.17580935341312	-1.17580935341312	0.239671067879329
MEskyblue	0.324895472228269	-0.324895472228269	0.745260183800682
MEskyblue1	2.97596511608245	-2.97596511608245	0.00292068082550259
MEskyblue2	-0.705976161161126	0.705976161161126	0.480202962455325
MEsteelblue	-2.11773534534263	2.11773534534263	0.034197487669032
MEtan	2.27138307032217	-2.27138307032217	0.0231237983673209
MEthistle1	1.19019522879996	-1.19019522879996	0.233969668037079
MEthistle2	-0.880342638335838	0.880342638335838	0.378673720776916
MEthistle3	-3.35360163288036	3.35360163288036	0.000797671136127867
MEturquoise	0.0691082396256739	-0.0691082396256739	0.94490346243857
MEviolet	0.604765652119804	-0.604765652119804	0.54533471890772
MEwhite	1.70880954601399	-1.70880954601399	0.0874862338994173
MEyellow4	-4.73516981898307	4.73516981898307	0.00000218871757151445
MEyellowgreen	-0.417596386613836	0.417596386613836	0.676242239107808
