ME	Num.Genes.Sig.Module	Num.Genes.Sig.Module.Trait	R.Genes.Sig.Module.Trait	NR.Genes.Sig.Module.Trait
MEbisque4	445	86	NA	86
MEbrown	968	222	222	NA
MEcoral1	412	109	109	NA
MEcoral2	334	140	NA	140
MEcyan	650	211	NA	211
MEdarkgreen	451	167	167	NA
MEdarkturquoise	444	158	NA	158
MEfloralwhite	700	148	NA	148
MEmidnightblue	773	195	195	NA
MEnavajowhite1	580	196	196	NA
MEorangered3	301	102	NA	102
MEpaleturquoise	594	213	213	NA
MEpink	765	218	NA	218
MEplum1	556	127	127	NA
MEplum3	788	257	257	NA
MEpurple	621	297	NA	297
MEred	394	107	NA	107
MEroyalblue	311	94	94	NA
MEsaddlebrown	791	251	251	NA
MEskyblue1	402	217	217	NA
MEsteelblue	680	188	NA	188
MEtan	715	249	249	NA
MEthistle3	730	311	NA	311
MEyellow4	645	352	NA	352
