ME	Num.Genes.Sig.Module	Num.Genes.Sig.Module.Trait	R.Genes.Sig.Module.Trait	NR.Genes.Sig.Module.Trait
MEblack	725	288	NA	288
MEbrown	1236	308	NA	308
MEcoral2	1101	336	NA	336
MEfirebrick4	695	175	175	NA
MEfloralwhite	1300	309	309	NA
MEgreen	1496	321	321	NA
MEgreenyellow	1384	277	277	NA
MEgrey60	1079	249	NA	249
MEhoneydew1	1154	355	355	NA
MElightpink4	941	173	NA	173
MEmaroon	1021	328	328	NA
MEmediumorchid	1096	288	NA	288
MEmediumpurple3	1159	382	NA	382
MEpurple	1471	352	352	NA
MEtan	1483	387	NA	387
MEthistle1	1257	335	335	NA
MEviolet	1273	340	340	NA
MEyellow4	879	290	NA	290
Total	20750	5493	2792	2701
