ME	Reproductive.MetaZ	Non-Reproductive.MetaZ	MetaPval
MEblack	1.41168844198279	-1.41168844198279	0.158041718034933
MEblue	2.44540934619937	-2.44540934619937	0.0144687817621516
MEbrown	-0.0144163374898278	0.0144163374898278	0.988497825312592
MEcyan	0.518173911084817	-0.518173911084817	0.604336935489895
MEdarkgreen	-0.24895399271005	0.24895399271005	0.803396369600185
MEdarkred	1.740703245031	-1.740703245031	0.0817356091867377
MEgreen	-0.396555766053185	0.396555766053185	0.691695077077279
MEgreenyellow	-0.556221287463511	0.556221287463511	0.578059588493847
MEgrey60	0.112369604291762	-0.112369604291762	0.910530354919979
MElightcyan	-4.0237764043602	4.0237764043602	0.0000572722951620045
MElightgreen	2.61477140113114	-2.61477140113114	0.00892871923274004
MElightyellow	2.7654709542829	-2.7654709542829	0.00568406668023474
MEmagenta	0.665497374642808	-0.665497374642808	0.505732422184521
MEmidnightblue	-0.0974989471919026	0.0974989471919026	0.922330170267625
MEpink	0.592368903250035	-0.592368903250035	0.553603585057346
MEpurple	-2.68567298781663	2.68567298781663	0.00723838940084661
MEred	-0.916718530695584	0.916718530695584	0.359290153163689
MEroyalblue	0.960967763961266	-0.960967763961266	0.336568376545392
MEsalmon	0.626164720882422	-0.626164720882421	0.531206904571207
MEtan	2.21093670293579	-2.21093670293579	0.0270402206010834
MEturquoise	0.78621343837421	-0.78621343837421	0.43174245448769
MEyellow	-0.93374728802204	0.933747288022041	0.350434265928646
