ME	Reproductive.MetaZ	Non-Reproductive.MetaZ	MetaPval
MEblack	-1.25225458917661	1.25225458917661	0.210477110184428
MEblue	-0.685099624040328	0.685099624040328	0.493281057484013
MEbrown	0.441835262615096	-0.441835262615096	0.658608419384873
MEcyan	3.16569869330993	-3.16569869330993	0.001547109590022
MEdarkgreen	4.96203686777839	-4.96203686777839	0.000000697577500873371
MEdarkgrey	2.4877461441934	-2.4877461441934	0.0128555458860241
MEdarkmagenta	1.03013399154108	-1.03013399154108	0.302947110599209
MEdarkolivegreen	0.828907341683223	-0.828907341683223	0.407156840704615
MEdarkorange	-1.81034969153253	1.81034969153253	0.0702415756388018
MEdarkred	-2.2242209835749	2.2242209835749	0.0261335799298374
MEdarkturquoise	-2.78221997536301	2.78221997536301	0.00539884330297701
MEgreen	0.87013971379195	-0.87013971379195	0.384224056816653
MEgrey60	1.40665298344983	-1.40665298344983	0.159530313792733
MElightcyan	-0.20960361833782	0.209603618337819	0.833977055351518
MElightgreen	0.741781939754497	-0.741781939754498	0.45821946461892
MElightsteelblue1	-0.219618896894267	0.219618896894267	0.826167973102989
MElightyellow	-1.23007996205509	1.23007996205509	0.218667162866243
MEmagenta	-0.473341906510463	0.473341906510463	0.635969268861047
MEmediumpurple3	1.21407224823469	-1.21407224823469	0.224720136327
MEmidnightblue	-2.70344487256146	2.70344487256146	0.0068624830297343
MEorange	2.39411513606151	-2.39411513606151	0.0166605179746294
MEorangered4	-4.22074178036442	4.22074178036442	0.0000243499733821649
MEpaleturquoise	1.30357911661218	-1.30357911661218	0.192377124828942
MEpink	-0.0235235543933566	0.0235235543933568	0.981232649992957
MEplum1	-0.669829033014437	0.669829033014437	0.50296678348795
MEred	-0.220145260958356	0.220145260958356	0.825758026185234
MEroyalblue	2.91575303330007	-2.91575303330007	0.00354831250807505
MEsaddlebrown	1.1574256337903	-1.1574256337903	0.247098506111664
MEsalmon	0.46687056844712	-0.46687056844712	0.640592483388635
MEsienna3	1.57128649218021	-1.57128649218021	0.116116117369098
MEskyblue	0.535268180825434	-0.535268180825434	0.592464425723311
MEskyblue3	-0.848973431631714	0.848973431631714	0.395896076208915
MEsteelblue	2.25197325777657	-2.25197325777657	0.0243239620192562
MEtan	-3.56064286070381	3.56064286070381	0.000369947970352029
MEturquoise	0.518667882101865	-0.518667882101865	0.603992362695564
MEviolet	2.32606175069191	-2.32606175069191	0.0200152566771888
MEwhite	-1.0383440363473	1.0383440363473	0.29910991397215
MEyellow	-0.331014208372362	0.331014208372361	0.740633753259517
MEyellowgreen	-0.760714150537675	0.760714150537675	0.446827820957392
