	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Caust.v2_010917	0	NA	NA	NA	NA	NA
Caust.v2_010918	2.82048090869307	-0.154488418052965	0.803769964318513	-0.192204766178281	0.847581812639353	NA
Caust.v2_010919	67.9249971399061	0.0314226297621236	0.146542074197465	0.214427357700572	0.830213809412953	0.959358308843691
Caust.v2_010920	12.5721333708875	0.520572522880518	0.336807458774594	1.54560865360439	0.122199110015736	0.424010593612796
Caust.v2_010921	0.0746069901853797	-0.386690087798261	3.11653965008542	-0.124076742546068	0.901254512604306	NA
Caust.v2_010922	0	NA	NA	NA	NA	NA
Caust.v2_010923	5.90883694208098	-0.26325560514701	0.567309966118104	-0.464041918650526	0.642617713082097	0.888516271188137
Caust.v2_010924	0.123423235571145	0.0942035882292276	3.11653965008542	0.0302269821039002	0.975886029752534	NA
Caust.v2_010925	36.107668282871	0.245405931150519	0.196026968332637	1.25189882411532	0.210606733307074	0.563379794756159
Caust.v2_010926	263.954237411107	0.0775771821044693	0.0964300892552445	0.804491447675915	0.42111320657708	0.766583100695507
Caust.v2_010927	1751.73964072555	-0.117484950782839	0.0984525323345902	-1.19331568215602	0.23274576301745	0.591090074088823
Caust.v2_010928	2.87327448833444	0.433278630075934	0.766796586301689	0.565050285585733	0.57203956162282	NA
Caust.v2_010929	237.403554206753	0.0823059452844936	0.122742038568837	0.670560357675129	0.502500643653206	0.817947509437296
Caust.v2_010930	294.173139839909	-0.411641739334526	0.132903722002959	-3.0972927855652	0.00195296879407639	0.0240717184572694
Caust.v2_010931	18.377179968644	0.0723101491894225	0.264675429480986	0.273203105143604	0.784697093190239	0.943351660660141
Caust.v2_010932	0.134962604247924	-0.867581428363669	3.11653965008542	-0.278379717819374	0.780720887250441	NA
Caust.v2_010933	3.90716902802505	0.106758579161797	0.59518481624437	0.179370468210943	0.857646818261836	NA
Caust.v2_010934	0	NA	NA	NA	NA	NA
Caust.v2_010935	0	NA	NA	NA	NA	NA
Caust.v2_010936	0.714116277419153	-1.57000460796505	1.56447341726576	-1.00353549676092	0.315602559001569	NA
Caust.v2_010937	0	NA	NA	NA	NA	NA
Caust.v2_010938	0.159830592406001	-0.86758142836367	3.11653965008542	-0.278379717819374	0.780720887250441	NA
Caust.v2_010939	0	NA	NA	NA	NA	NA
Caust.v2_010940	0.293449030634539	0.118349527676248	2.33223165314556	0.0507451854178488	0.959528570251668	NA
Caust.v2_010941	2.64433341968772	-0.179004008590054	0.753549193024581	-0.237547873777917	0.812231783910506	NA
Caust.v2_010942	31.9912917305784	0.0696333374472635	0.203521043463184	0.342143182161209	0.732243141600856	0.924156625624168
Caust.v2_010943	13.4976722782737	-0.662608841756357	0.589038401857059	-1.12489922502056	0.26063174042358	0.622658965987358
Caust.v2_010944	0.321695499564914	0.117978550877026	2.28330093549089	0.0516701714798981	0.958791505189541	NA
Caust.v2_010945	0	NA	NA	NA	NA	NA
Caust.v2_010946	0.0660909328061807	-0.386690087798261	3.11653965008542	-0.124076742546068	0.901254512604306	NA
Caust.v2_010947	0.0743640457943033	0.575094928794637	3.11653965008542	0.184529957377206	0.853597728074683	NA
Caust.v2_010948	81.4284948116671	0.0201167350549546	0.16298103241886	0.123429915471726	0.901766669068612	0.979260147320419
Caust.v2_010949	1091.80539744809	-0.310804267823874	0.123153883727117	-2.52370658900657	0.011612480642455	0.0904238364738716
Caust.v2_010950	0.835626930130881	-0.892650720503596	1.27781030952583	-0.698578430498687	0.484815527345146	NA
Caust.v2_010063	966.723187058779	0.101743988136365	0.086153399104898	1.18096313312589	0.237617369246708	0.595842342573577
Caust.v2_010064	15.9859826963227	0.447488719764787	0.287681848115979	1.55549862702628	0.119827361312157	0.418765094269856
