,SRR13281988,SRR13281982,SRR13281995,SRR13282007,SRR13281993,SRR13282006
Ccalc.v2_016387,3.98009876844869,3.45377844843654,2.83995275887635,3.21450567420826,2.83995275887635,2.83995275887635
Ccalc.v2_016388,11.7473840894572,10.1917485191367,10.1640210995018,11.693715449798,10.3316803802063,12.0261556142829
Ccalc.v2_016389,6.51515262589182,6.92831786017956,6.85256488038652,7.22284733196562,7.06351257423648,7.37133851554983
Ccalc.v2_016390,4.5821548869178,4.95849475545291,5.30367971813432,5.74539036147636,5.7545871852262,5.95498159754609
Ccalc.v2_016391,2.83995275887635,2.83995275887635,2.83995275887635,3.36818389554228,2.83995275887635,2.83995275887635
Ccalc.v2_016392,2.83995275887635,2.83995275887635,2.83995275887635,3.36818389554228,2.83995275887635,2.83995275887635
Ccalc.v2_000362,6.17952521055371,4.17476297129312,4.05812372197247,5.17787738666407,2.83995275887635,4.29526782918335
Ccalc.v2_000363,3.65636495698835,3.70172657971929,3.55694273007681,4.04992100764577,3.5995109009427,3.59036874250921
Ccalc.v2_000364,3.65636495698835,3.45377844843654,3.55694273007681,3.21450567420826,2.83995275887635,2.83995275887635
Ccalc.v2_000365,2.83995275887635,3.45377844843654,3.75949375400625,3.36818389554228,3.7650674811328,3.37353268261496
Ccalc.v2_000366,6.08154331008252,5.34667850627822,5.08176665522512,5.62033113512632,5.04785944916122,5.23750613065397
Ccalc.v2_000367,3.65636495698835,4.29271673622594,3.99202319575592,3.58292660097225,5.37566610365437,3.37353268261496
Ccalc.v2_000368,4.72872694600308,4.82263118496105,4.67531827653838,4.10059777074304,4.12762359007303,4.00774235466764
Ccalc.v2_000369,5.28185236060052,5.13888522549504,4.4753683615966,4.60568999046152,4.46996734867481,4.37621298807614
Ccalc.v2_000370,6.226082576546,7.97887413903249,7.48302522664412,7.42416416785337,7.69355379248684,7.28215059628969
Ccalc.v2_000371,5.45153485695312,4.95849475545291,4.59926800137611,4.43692236578296,4.39370586221222,4.71339096415443
Ccalc.v2_000372,4.21976929142807,4.39924735970616,4.23387946881679,4.14886228771667,5.13765938779091,5.48791515276714
Ccalc.v2_000373,5.18828778739212,6.70902759593605,6.37326854259787,5.13699713562706,4.84731570978373,4.65308426616503
Ccalc.v2_000374,5.86241414042851,6.95926157420226,6.59732959578821,6.30725506131562,6.52282156365085,5.85832989362312
Ccalc.v2_000375,4.72872694600308,6.04827406497238,6.10713485244287,5.15759419671309,5.26192036619808,5.11408706055161
Ccalc.v2_000376,5.92048348647967,4.67043693675469,4.38486054288745,5.53020201864513,5.57810679338757,5.11408706055161
Ccalc.v2_000377,6.84709152799164,7.58260909635357,7.42348864524021,6.57463870967211,6.82505825558282,7.60984652942918
Ccalc.v2_000378,10.7195109950579,9.08878253968765,8.93890283772783,9.97756621442291,9.53395218684214,9.36442754934598
Ccalc.v2_000379,2.83995275887635,4.17476297129312,3.84401040534565,3.66840311838183,3.5995109009427,2.83995275887635
Ccalc.v2_000380,6.78658603423483,7.13208711361274,6.92605238424628,6.47521428766714,6.60079645137203,6.2677999133773
Ccalc.v2_000381,8.04289693735945,7.04827593034902,7.06260462422906,8.30832333687601,7.26791695169772,5.67121798471527
Ccalc.v2_000382,3.65636495698835,2.83995275887635,2.83995275887635,3.21450567420826,2.83995275887635,2.83995275887635
Ccalc.v2_000383,11.9880015060033,11.5949321921436,11.6526718481521,11.8278437647696,11.530464703186,11.5042840101328
Ccalc.v2_000384,9.66623802827894,9.06061352828574,9.10893185810252,9.68949014075199,9.35310496359434,9.47299848071013
Ccalc.v2_000385,3.65636495698835,2.83995275887635,2.83995275887635,3.58292660097225,2.83995275887635,3.37353268261496
Ccalc.v2_000386,8.32316216290607,7.76841993434339,7.98640180087695,8.5498782465271,8.10916631778605,8.54985287433952
Ccalc.v2_000387,10.3955930780244,10.7211008090034,10.6827485390282,10.5888326497641,10.5806193736817,10.3311560676425
Ccalc.v2_000388,2.83995275887635,4.17476297129312,3.84401040534565,3.48513123430939,3.7650674811328,3.59036874250921
Ccalc.v2_000389,3.98009876844869,3.88797158875175,3.92100882631972,3.48513123430939,4.2237632173207,3.75404952081967
Ccalc.v2_000390,5.73849821510975,4.67043693675469,4.94023439844364,5.07321339425737,5.4806221514402,5.19762110594729
Ccalc.v2_000391,5.52906622603457,7.26173673477043,7.25149959303803,4.95950942390858,5.7545871852262,5.78119298684011
Ccalc.v2_000392,7.80517029730604,5.48394219506855,5.88712786953075,7.45247000846595,6.96108566872593,6.50818866075062
Ccalc.v2_000393,5.18828778739212,6.4054647804474,5.69600706572199,4.66707756516256,5.33880283632176,5.69953803191897
Ccalc.v2_000394,9.22449739403828,8.92265824544896,8.82098153222259,9.41781796571584,9.0277718378105,9.10886966238649
Ccalc.v2_000395,3.98009876844869,3.88797158875175,3.42735021312507,3.48513123430939,4.31198433495904,4.37621298807614
Ccalc.v2_000396,5.60245764710938,5.89510655271357,5.9019348515617,6.1369634538946,5.95973068110658,5.83308778125798
Ccalc.v2_000397,5.73849821510975,5.98899411457846,5.98763826618989,6.22466693754028,5.66915301135452,6.10961276036795
Ccalc.v2_000398,5.28185236060052,5.19392971734992,5.39165987716748,5.46665912359334,4.79187537632706,5.23750613065397
Ccalc.v2_000399,9.20159771853143,9.6924926426262,9.81085270269246,10.0467213878705,9.26535401768213,9.81040000219163
Ccalc.v2_000400,5.45153485695312,4.58668941597363,4.51811766169185,3.93993200495794,4.39370586221222,4.45176894247578
Ccalc.v2_000401,2.83995275887635,2.83995275887635,3.25672958265904,2.83995275887635,2.83995275887635,2.83995275887635
Ccalc.v2_000402,2.83995275887635,3.45377844843654,3.75949375400625,3.21450567420826,2.83995275887635,2.83995275887635
Ccalc.v2_000403,2.83995275887635,2.83995275887635,3.55694273007681,3.74507741722199,3.38010562249059,4.00774235466764
Ccalc.v2_000404,2.83995275887635,2.83995275887635,3.42735021312507,2.83995275887635,2.83995275887635,2.83995275887635
Ccalc.v2_000405,2.83995275887635,3.70172657971929,2.83995275887635,2.83995275887635,3.38010562249059,2.83995275887635
Ccalc.v2_000406,3.65636495698835,4.29271673622594,4.23387946881679,3.36818389554228,2.83995275887635,3.37353268261496
Ccalc.v2_000407,3.98009876844869,4.82263118496105,5.1343706191582,4.10059777074304,2.83995275887635,3.37353268261496
Ccalc.v2_000408,5.73849821510975,3.70172657971929,3.99202319575592,3.21450567420826,3.7650674811328,4.92924539410139
Ccalc.v2_000409,3.65636495698835,3.70172657971929,3.55694273007681,3.66840311838183,3.5995109009427,3.37353268261496
Ccalc.v2_000410,4.5821548869178,4.17476297129312,4.12009290612242,4.2816364143783,3.90240730664581,3.75404952081967
Ccalc.v2_000411,2.83995275887635,2.83995275887635,2.83995275887635,3.21450567420826,2.83995275887635,3.37353268261496
