Run,SAMN,RehanCode,Phenotype,AdditionalPhenotype,NumReads,NestStageDescr,NestStageNum,BehaviorGroup,Link
SRR13281979,SAMN08567770,Q1_FB,,,23430174,Autumn Young,1,Nesting,https://www.ncbi.nlm.nih.gov/sra/SRX9711396[accn]
SRR13281980,SAMN08567771,A3_FN,,,31684228,Full Brood,4,,https://www.ncbi.nlm.nih.gov/sra/SRX9711395[accn]
SRR13281981,SAMN08567787,W38-1_MB,,,24193922,Full Brood,4,,https://www.ncbi.nlm.nih.gov/sra/SRX9711394[accn]
SRR13281982,SAMN08567766,F95_AB,,,21364298,Full Brood,4,,https://www.ncbi.nlm.nih.gov/sra/SRX9711393[accn]
SRR13281983,SAMN08567795,K14-GM,Reproductive,,39587238,Active Brood,3,,https://www.ncbi.nlm.nih.gov/sra/SRX9711392[accn]
SRR13281984,SAMN08567772,K103-Mo,Reproductive,,17576418,Active Brood,3,,https://www.ncbi.nlm.nih.gov/sra/SRX9711391[accn]
SRR13281985,SAMN08567778,K68-FD,,,21681132,Autumn Old,5,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711390[accn]
SRR13281986,SAMN08567783,Q4_FB,,,25377506,Autumn Old,5,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711389[accn]
SRR13281987,SAMN08567777,Q2_FB,,,24234142,Autumn Old,5,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711388[accn]
SRR13281988,SAMN08567768,F91_AB,Reproductive,,28369158,Active Brood,3,,https://www.ncbi.nlm.nih.gov/sra/SRX9711387[accn]
SRR13281989,SAMN08567780,K69-Mom,,,22789624,Autumn Old,5,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711386[accn]
SRR13281990,SAMN08567789,K69-2_MB,,,25493782,Autumn Old,5,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711385[accn]
SRR13281991,SAMN08567784,K68-GD,,,42739888,Autumn Old,5,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711384[accn]
SRR13281992,SAMN08567790,W46-FM,,,26477326,Autumn Old,5,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711383[accn]
SRR13281993,SAMN08567786,K86-FD,Nonreproductive,,25338890,Autumn Old,5,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711382[accn]
SRR13281994,SAMN08567776,W38-Mom,,,25621602,Autumn Old,5,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711381[accn]
SRR13281995,SAMN08567767,F99_AB,Nonreproductive,,20735348,Autumn Old,5,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711380[accn]
SRR13281996,SAMN08567796,K86-GM,,,63807866,Autumn Young,1,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711379[accn]
SRR13281997,SAMN08567798,K92-GM,,,56625166,Autumn Young,1,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711378[accn]
SRR13281998,SAMN08567769,A2_FN,,,32239834,Autumn Young,1,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711377[accn]
SRR13281999,SAMN08567797,K70-GM,,,42062002,Founding Nest,2,,https://www.ncbi.nlm.nih.gov/sra/SRX9711376[accn]
SRR13282000,SAMN08567791,K24-FM,,,28561676,Autumn Young,1,Guarding,https://www.ncbi.nlm.nih.gov/sra/SRX9711375[accn]
SRR13282001,SAMN08567794,K80-GM,,,65731794,Autumn Young,1,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711374[accn]
SRR13282002,SAMN08567793,K92-GD,,,33515850,Autumn Young,1,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711373[accn]
SRR13282003,SAMN08567773,A4_FN,,,38746820,Autumn Young,1,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711372[accn]
SRR13282004,SAMN08567774,K103-2_MB,,,28189274,Autumn Young,1,Foraging,https://www.ncbi.nlm.nih.gov/sra/SRX9711371[accn]
SRR13282005,SAMN08567782,K114-FM,,,28020358,Autumn Old,5,Nesting,https://www.ncbi.nlm.nih.gov/sra/SRX9711370[accn]
SRR13282006,SAMN08567792,W46-FD,Nonreproductive,,22916518,Autumn Old,5,Nesting,https://www.ncbi.nlm.nih.gov/sra/SRX9711369[accn]
SRR13282007,SAMN08567779,K70-FD,Nonreproductive,,27392380,Autumn Old,5,Nesting,https://www.ncbi.nlm.nih.gov/sra/SRX9711368[accn]
SRR13282008,SAMN08567788,K47-FM,,,30887356,Autumn Young,1,Nesting,https://www.ncbi.nlm.nih.gov/sra/SRX9711367[accn]
SRR13282009,SAMN08567781,K18-FM,,,27300844,Autumn Young,1,Nesting,https://www.ncbi.nlm.nih.gov/sra/SRX9711366[accn]
SRR13282010,SAMN08567775,K14-GD,,,42641090,Founding Nest,2,,https://www.ncbi.nlm.nih.gov/sra/SRX9711365[accn]
SRR13282011,SAMN08567785,K80-GD,,,34508216,Founding Nest,2,,https://www.ncbi.nlm.nih.gov/sra/SRX9711364[accn]
,,,,,,,,,
,,,,,,,,,
SOMETHING IS WRONG WITH THE SORT.,,,,,,,,,
