,F91_AB,F99_AB,F95_AB,K70.FD,W46.FD,K86.FD
Ccalc.v2_000001,7.47247841557448,7.80638607699463,7.60309415524578,7.96457190814474,8.16270001376784,8.12416266905654
Ccalc.v2_000002,10.0422391842788,10.6666309165823,10.8798576841458,10.4620032026851,11.0936887769861,10.5870370296466
Ccalc.v2_000003,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000004,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000005,4.14051246390383,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000006,3.43206671026667,3.91516116237677,3.93480485110319,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000007,4.9597788401945,7.18983813640163,7.46889421561292,5.82594488131979,6.46457011205851,6.60339864017025
Ccalc.v2_000008,3.43206671026667,3.43206671026667,3.43206671026667,3.72911007037435,3.43206671026667,3.43206671026667
Ccalc.v2_000009,3.43206671026667,4.02237576871225,3.93480485110319,4.09168920199658,4.38289888812623,4.05176811201316
Ccalc.v2_000010,3.43206671026667,4.38533942133473,4.63463961130814,4.02306237450024,3.86342117844263,4.18820683026486
Ccalc.v2_000011,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000012,3.43206671026667,3.43206671026667,3.43206671026667,3.72911007037435,3.43206671026667,3.43206671026667
Ccalc.v2_000013,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000014,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000015,3.43206671026667,3.77446014578627,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000016,9.50204610062091,8.99260375334673,8.91315415146604,8.9993211999427,8.933468677608,9.08511849721376
Ccalc.v2_000017,9.76241977874354,8.20372455949234,8.45501720337995,9.18041459147471,9.15637292921075,9.92920735313706
Ccalc.v2_000018,4.63623659398936,5.39316596121567,5.36707603378061,4.62471990576708,5.02652836222529,4.64498135058582
Ccalc.v2_000019,6.64507388081689,7.1529535607334,7.05799494836589,7.4144331910316,7.16246258183753,7.07661905436874
Ccalc.v2_000020,8.78422395582205,9.28457455216617,9.10581796270926,8.43415861785796,8.00760141538078,8.38231096424213
Ccalc.v2_000021,11.6617275174512,10.4793269817453,10.4712918927971,11.2428699044907,11.4485934909237,10.9268325528931
Ccalc.v2_000022,9.61385503447758,9.39080794770646,9.30019376170907,9.03639629500906,9.40009456173418,9.54578349106976
Ccalc.v2_000023,8.90107949045142,8.61486099306922,8.49795608160052,8.32878951102931,8.2013829414418,8.42116883486889
Ccalc.v2_000024,4.81023447513599,4.19070873202364,4.95781641137162,4.65738039527687,5.43268459508354,4.18820683026486
Ccalc.v2_000025,10.0922326840142,10.064501463915,9.95987977592908,9.18611407247177,10.0898598376135,10.4550418913462
Ccalc.v2_000026,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000027,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000028,3.43206671026667,3.77446014578627,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000029,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000030,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000031,11.487228178478,10.3278080511962,10.1849713493928,10.9242030755158,10.6228392683551,10.2546815034962
Ccalc.v2_000032,8.70376770694081,8.81998171401611,8.90520404849727,8.78014979986786,8.55119944683971,8.37353158262489
Ccalc.v2_000033,8.74008175752881,9.88321158728247,10.0291605541117,8.09649334241827,8.43026713507896,8.1397861248385
Ccalc.v2_000034,3.43206671026667,3.91516116237677,4.29435475319598,3.72911007037435,3.43206671026667,4.05176811201316
Ccalc.v2_000035,7.312284592302,7.33402381720295,7.67983974239539,7.31766213956463,7.21085993062696,7.70103876959395
Ccalc.v2_000036,3.43206671026667,3.43206671026667,3.93480485110319,4.02306237450024,3.43206671026667,3.87193261766169
Ccalc.v2_000037,8.56893603332587,9.3960504248578,9.24142880626032,8.89320098764907,8.87489852788248,9.13008805736353
Ccalc.v2_000038,5.59659066486324,4.90242458589996,4.88565466453658,4.26221679171865,4.54944120989684,4.05176811201316
Ccalc.v2_000039,8.81007443945739,9.86158629362222,10.2254239077627,9.30821135151638,10.3729158215645,10.0511021632751
Ccalc.v2_000040,9.42051770041085,8.05237870210031,8.46587255103332,8.35940162583543,8.30713201597623,6.99837128478862
Ccalc.v2_000041,3.43206671026667,3.43206671026667,3.93480485110319,3.43206671026667,3.43206671026667,3.87193261766169
Ccalc.v2_000042,9.69004956423405,9.87478808799748,9.99399974080817,10.5839810387341,10.252761173777,11.0336816605653
