	F91_AB	F99_AB	F95_AB	K70.FD	W46.FD	K86.FD
Ccalc.v2_000001	156.668158323121	202.783403758092	173.440797064824	228.669735441422	265.381198503044	257.838894910204
Ccalc.v2_000002	1032.94768792702	1603.94342852033	1862.83359900921	1389.00793114519	2163.87746471713	1516.69938182473
Ccalc.v2_000003	0	0	0	0	0	0
Ccalc.v2_000004	0	0	0	0	0	0
Ccalc.v2_000005	2.65539251395121	0	0	0	0	0
Ccalc.v2_000006	0	1.22158676962706	1.32397555011316	0	0	0
Ccalc.v2_000007	13.2769625697561	125.212643886774	156.229114913353	37.1932702224	68.0464611546267	76.8461020124531
Ccalc.v2_000008	0	0	0	0.459176175585186	0	0
Ccalc.v2_000009	0	1.83238015444059	1.32397555011316	2.29588087792593	4.86046151104476	2.02226584243298
Ccalc.v2_000010	0	4.88634707850824	7.94385330067895	1.83670470234074	0.972092302208952	3.03339876364946
Ccalc.v2_000011	0	0	0	0	0	0
Ccalc.v2_000012	0	0	0	0.459176175585186	0	0
Ccalc.v2_000013	0	0	0	0	0	0
Ccalc.v2_000014	0	0	0	0	0	0
Ccalc.v2_000015	0	0.61079338481353	0	0	0	0
Ccalc.v2_000016	703.679016197071	488.023914466011	460.743491439379	490.400155524978	467.576397362506	521.744587347708
Ccalc.v2_000017	847.070211950436	273.635436396462	329.669911978176	558.817405687171	549.232150748058	953.498344707148
Ccalc.v2_000018	7.96617754185363	23.2101486229142	22.5075843519237	7.80599498494816	14.5813845331343	8.0890633697319
Ccalc.v2_000019	79.6617754185363	121.547883577893	112.537921759618	149.69143324077	122.483630078328	114.258020097463
Ccalc.v2_000020	419.552017204291	602.242277426141	529.590220045263	324.637556138726	236.218429436775	312.440072655895
Ccalc.v2_000021	3218.33572690887	1406.04637184075	1398.1181809195	2401.95057448611	2773.37933820214	1925.19708199619
Ccalc.v2_000022	762.097651503998	649.884161441596	609.028753052053	503.716264616949	654.218119386625	725.993437433438
Ccalc.v2_000023	456.727512399608	370.751584581813	340.261716379082	300.301218832711	273.157936920716	321.540268946843
Ccalc.v2_000024	10.6215700558048	3.05396692406765	13.2397555011316	8.26517116053334	24.3023075552238	3.03339876364946
Ccalc.v2_000025	1070.12318312234	1049.34303510964	974.446004883285	561.113286565097	1068.32944012764	1382.21870330294
Ccalc.v2_000026	0	0	0	0	0	0
Ccalc.v2_000027	0	0	0	0	0	0
Ccalc.v2_000028	0	0.61079338481353	0	0	0	0
Ccalc.v2_000029	0	0	0	0	0	0
Ccalc.v2_000030	0	0	0	0	0	0
Ccalc.v2_000031	2849.23616746965	1263.73151317919	1142.59089974766	1921.652294824	1555.34768353432	1200.21477748397
Ccalc.v2_000032	395.65348457873	430.609336293539	458.095540339153	418.309495958104	353.841598004059	310.417806813462
Ccalc.v2_000033	406.275054634535	922.908804453244	1023.43310023747	252.546896571852	323.706736635581	260.872293673854
Ccalc.v2_000034	0	1.22158676962706	3.97192665033948	0.459176175585186	0	2.02226584243298
Ccalc.v2_000035	138.080410725463	140.482478507112	184.032601465729	138.671205026726	127.344091589373	187.05959042505
Ccalc.v2_000036	0	0	1.32397555011316	1.83670470234074	0	1.01113292121649
Ccalc.v2_000037	358.477989383413	652.32733498085	583.873217599903	454.125237653749	448.134551318327	538.933847008388
Ccalc.v2_000038	29.2093176534633	12.2158676962706	11.9157799510184	3.67340940468148	6.80464611546267	2.02226584243298
Ccalc.v2_000039	427.518194746145	908.860556602533	1175.69028850048	612.541018230638	1304.54786956441	1039.44464301055
Ccalc.v2_000040	663.848128487803	244.317353925412	332.317863078403	307.188861466489	295.516059871522	107.180089648948
