	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9
Lflavo2a009221	6.08791628720096	11.9968676381618	3.0041677979114	8.79609912082188	2.6881185471864	5.16607454039063	3.97197601471846	8.79966216909166	6.31620564853258	9.36344209536379	5.50179634164542	3.808326861463	9.48607013231005	19.4406718975762	5.40149065346727	2.28311714902674	5.15223222914008	9.64405677910509	2.15514051661994
Lflavo2a009208	505.29705183768	485.327827180181	581.807163528842	624.523037578353	514.326682028332	558.797062785586	468.693169736779	520.780006552607	545.900631051744	564.927673086949	596.944903068528	484.926953692955	480.232300448196	580.56915621398	503.11027229438	633.565008854921	490.492508214136	509.929502195182	689.644965318382
Lflavo2a009247	184.666794045096	176.681141580201	206.286188789916	180.808704150227	224.0098789322	161.009323175508	154.90706457402	157.593949755551	239.113499551591	168.541957716548	238.411174804635	135.830324725514	144.662569517728	159.943709702786	210.658135485224	224.887039179134	154.566966874202	236.279391088075	230.600035278334
Lflavo2a009191	126.831589316687	118.878052050876	149.2070006296	137.805552892876	163.079191862642	141.206037437344	143.984130533544	122.395301079184	140.761154453012	141.492013885497	148.548501224426	118.058132705353	133.990740618879	136.968370187469	139.667115468225	128.996118920011	130.866698620158	144.660851686576	187.497224945935
Lflavo2a009199	617.923503150897	563.852778993604	537.746035826141	569.791754159906	550.168262657484	446.004435320391	549.125684034827	635.175614750798	744.409951434197	604.462206378485	464.901790869038	509.046357148887	603.551212168227	531.96747647004	470.701328373577	553.655908638985	580.141349001173	670.261946147804	463.355211073288
Lflavo2a009214	1019.72597810616	939.027548768845	982.362869917029	971.480280677438	933.67317538941	849.819261894259	876.813705249101	809.568919556433	899.608147369569	1060.14972168619	953.644699218539	789.593102609995	1094.45534151527	958.778591312281	1011.62203524223	987.448166954066	830.539835337381	927.034957891477	949.339397571085
Lflavo2a009203	1025.81389439336	1017.55250058227	585.812720592724	807.286430422097	837.796947206429	712.918286573907	624.593228314478	867.166708299578	584.700180035587	891.607763969641	574.020751645005	670.265527617487	1065.99713111834	738.745532107896	692.934086687659	591.327341597926	741.921440996171	902.924815943714	787.703858824589
Lflavo2a009201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a009194	28.4102760069378	31.6281055915174	18.0250067874684	22.4789199754337	21.5049483774912	30.1354348189453	37.7337721398254	20.7992014905803	24.3625075014828	23.9287964659297	19.256287195759	17.7721920201607	36.7585217627015	31.8120085596701	20.0626795700213	13.6987028941605	15.4566966874202	16.8770993634339	5.38785129154986
Lflavo2a009198	7165.47747003553	6626.63343358827	7460.35003147998	6652.78296838161	6760.6181461738	6295.72283988938	7168.42371256315	6447.75246207989	6854.88775884314	6817.62622787988	6615.91010082861	7531.60108968665	6058.04153824651	7000.4092169363	6871.4677527323	7033.14237757688	6712.32814812369	6583.27425883661	6014.99718188626
