,SRR3948522,SRR3948580,SRR3948532,SRR3948545,SRR3948559,SRR3948571,SRR3948576,SRR3948523,SRR3948530,SRR3948535,SRR3948538,SRR3948546,SRR3948551,SRR3948569
gene-LOC117217331,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117218034,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117218713,-1.33439576041047,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,1.11140866979995,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.16352879469648,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117221120,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-0.580537814214136,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117220716,2.22740788136635,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,3.33411297072553,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.87329732881078,-2.81332833899805,2.86380031100594,-2.81332833899805
gene-LOC117221797,3.25957731410356,3.06617894821268,-2.81332833899805,-2.81332833899805,0.888455334994212,-2.81332833899805,2.68623502408497,-2.81332833899805,2.12386181828631,-2.81332833899805,2.74533457818026,-2.81332833899805,2.73587182527399,-2.81332833899805
gene-LOC117222501,0.656449219997939,2.81273567612173,2.90361321483593,3.553146362999,3.28510826815532,2.56981243454503,0.90259737846973,1.15141959652673,2.6779416765196,2.4667825339403,0.598853365007372,2.53050328000024,-0.186168438801056,2.12450750571176
gene-LOC117224661,-1.33439576041047,5.39574740330624,2.50635718287939,3.08144283780603,5.19253397685804,2.56981243454503,-1.09119353283647,4.78274506113677,1.21110056130131,2.4667825339403,-1.16352879469648,5.34316539018341,-1.16862411898254,3.86447530183318
gene-LOC117225180,2.45913668183582,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.6341842468683,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.78926314420888,-2.81332833899805,3.45744011701193,-2.81332833899805
gene-LOC117225892,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117226313,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-0.580537814214136,-2.81332833899805,-1.16862411898254,-2.81332833899805
gene-LOC117226949,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.12386181828631,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117227604,-0.421564528425683,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.713654830279292,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.16352879469648,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117229484,-0.128695296956924,6.98960493710222,6.75891121945435,6.94276446708687,7.10365448296755,6.98420331113504,-0.489992950870752,6.66492668296819,6.73241257331744,7.113338573088,-0.580537814214136,7.23388392463071,-1.16862411898254,6.61794384221115
gene-LOC117229422,4.08029819130828,3.06617894821268,1.95601702562275,3.90800764582966,2.32575325514523,2.56981243454503,4.51423029103273,2.06056098888214,1.21110056130131,1.01692856570151,4.0577964504597,1.97961174318594,4.27975714957534,2.67860095475685
