	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117217331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218034	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218713	0.1630632096362	0	0	0	0	1.88539916521993	0	0	0	0	0.207223762791151	0	0	0
gene-LOC117221120	0	0	0	0	0	0	0	0	0	0	0.414447525582302	0	0	0
gene-LOC117220716	4.40270666017741	0	0	0	0	0	9.80229001696345	0	0	0	7.04560793489913	0	6.99754968997832	0
gene-LOC117221797	9.29460294926343	8.09340387567768	0	0	1.57759269863899	0	6.15492628972123	0	4.07870088929925	0	6.42393664652568	0	6.38011883498024	0
gene-LOC117222501	1.3045056770896	6.7445032297314	7.20115257572632	11.4554480731016	9.46555619183392	5.65619749565978	1.59572163066847	1.94590150692027	6.11805133394888	5.24722300903127	1.24334257674691	5.49670131299606	0.617430854998087	4.08064996341268
gene-LOC117224661	0.1630632096362	41.8159200243347	5.40086443179474	8.18246290935827	36.2846320686967	5.65619749565978	0.227960232952638	27.2426210968837	2.03935044464963	5.24722300903127	0.207223762791151	40.3091429619711	0.205810284999362	14.2822748719444
gene-LOC117225180	5.21802270835842	0	0	0	0	0	5.9269660567686	0	0	0	6.63116040931683	0	10.7021348199668	0
gene-LOC117225892	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117226313	0	0	0	0	0	0	0	0	0	0	0.414447525582302	0	0.205810284999362	0
gene-LOC117226949	0	0	0	0	0	0	0	0	4.07870088929925	0	0	0	0	0
gene-LOC117227604	0.489189628908602	0	0	0	0	0	1.36776139771583	0	0	0	0.207223762791151	0	0	0
gene-LOC117229484	0.652252838544802	126.79666071895	108.017288635895	122.736943640374	137.250564781592	126.321744069735	0.455920465905277	101.186878359854	106.046223121781	138.176872571157	0.414447525582302	150.243169221892	0.205810284999362	97.9355991219043
gene-LOC117229422	16.6324473828925	8.09340387567768	3.60057628786316	14.7284332368449	4.73277809591696	5.65619749565978	22.5680630623112	3.89180301384053	2.03935044464963	1.74907433634376	16.3706772605009	3.66446754199737	19.1403565049407	6.12097494511902
gene-LOC117229831	0.1630632096362	32.3736155027107	23.4037458711105	22.9108961462032	29.9742612741408	13.1977941565395	0.683880698857915	38.9180301384053	18.3541540018466	41.9777840722502	2.27946139070266	54.9670131299606	0	30.6048747255951
gene-LOC117229331	92.6199030733619	1.34890064594628	0	0	0	3.77079833043985	77.7344394368497	0	0	0	102.368538818829	0	104.963245349675	0
gene-LOC117229605	2.60901135417921	4.04670193783884	3.60057628786316	4.90947774561496	3.15518539727797	3.77079833043985	3.19144326133694	7.78360602768106	0	6.99629734537503	2.07223762791151	3.66446754199737	4.32201598498661	2.04032498170634
gene-LOC117229529	60.4964507750304	0	0	0	0	0	53.1147342779647	0	0	0	68.591065483871	1.83223377099869	76.9730465897616	0
gene-LOC117229782	0	0	0	0	0	0	0	0	0	0	0	0	0.411620569998725	0
gene-LOC117229883	0	0	0	0	1.57759269863899	0	0	7.78360602768106	0	0	0	0	0	0
gene-LOC117229950	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117230013	321.723712612224	0	0	0	0	0	252.351977878571	0	0	0	209.710447944645	0	151.270559474531	0
gene-LOC117230074	145.126256576218	0	1.80028814393158	1.63649258187165	0	0	175.529379373531	0	0	0	192.303651870188	0	183.582774219431	2.04032498170634
gene-LOC117217749	0.1630632096362	0	0	0	0	0	0.683880698857915	0	0	0	0	0	0.205810284999362	0
gene-LOC117217425	104.849643796077	1.34890064594628	0	0	0	0	88.6765306185763	0	2.03935044464963	0	207.430986553942	0	178.025896524449	2.04032498170634
