	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-LOC106784153	2.11638830370615	0.359635542842467	1.20489971126026	0.298477574093123	0.765338689787362	0.999116878497745
gene-LOC106784085	12.4675740150053	0.186052156969479	0.813844688238646	0.228608922142308	0.819172889333321	0.999116878497745
gene-LOC106783879	2.8671486952672	0.729379433402158	0.987471182926403	0.738633639151492	0.460129491834615	0.999116878497745
gene-LOC106784012	1.54493851729405	-0.105772506497889	1.8797771873016	-0.0562686403539792	0.955127800612293	0.999116878497745
gene-LOC106783940	0.463632440142207	-2.1290483800488	3.18909014317657	-0.667603700260449	0.504386595107571	0.999116878497745
gene-LOC106783811	1.08336269282535	1.49698794422503	1.51844301917704	0.985870345688941	0.324196740393581	0.999116878497745
gene-LOC106792039	0.543084735400658	-0.153932942298409	2.46348025606442	-0.0624859655032621	0.950175838005102	0.999116878497745
gene-LOC106783577	1.11192194161278	0.215275552129869	1.47043024188337	0.146403104341855	0.883603176806627	0.999116878497745
gene-LOC106792109	18.3187076233468	0.431748432720539	0.474761859930369	0.909399994312645	0.363139024816077	0.999116878497745
gene-LOC106792180	0.44879636876713	-2.08481272232538	3.03777928600541	-0.686294995798345	0.492527103960688	0.999116878497745
gene-LOC106790239	0.0811157726306241	0.652343101938263	3.22592523907346	0.202218915068728	0.839745586502373	0.999116878497745
gene-LOC106793447	2.33108623161367	-2.23310922556635	1.26551691304236	-1.76458267965606	0.0776339285347129	0.999116878497745
gene-LOC106793296	13.0306303156553	0.692838115093905	0.658338434886019	1.05240417144088	0.292614155651014	0.999116878497745
gene-LOC106793534	4.10494171219483	0.479725904897386	0.751371048652807	0.638467380074764	0.52316948163069	0.999116878497745
gene-LOC106785363	3.116438060144	0.541854577161359	1.10105474663923	0.492123192616236	0.622632257600617	0.999116878497745
gene-LOC106789119	1.05569195676632	0.759780906197911	1.47243173441642	0.516004164022613	0.605851500940948	0.999116878497745
gene-LOC106790448	0.872700098011684	0.933809313594133	2.73967395005854	0.340846878357251	0.733218857467447	0.999116878497745
gene-LOC106790650	0.632624592205481	2.35394744200148	2.25181607943599	1.04535510848251	0.295858876428384	0.999116878497745
gene-LOC106790958	0.068844785091552	-0.549888252209325	3.22592523907346	-0.170459081180462	0.864649111851828	0.999116878497745
gene-LOC106793585	0.452458490161554	0.501048378135733	2.52518737317275	0.198420277029263	0.842716254052129	0.999116878497745
gene-LOC106793045	9.49457225688455	-0.62843942349572	0.566767294239983	-1.10881384632195	0.267510495982001	0.999116878497745
gene-LOC106793239	29.0250446272087	0.143628835617481	0.522378199438177	0.274951817996913	0.783353255717243	0.999116878497745
gene-LOC106792958	27.893316821738	-0.188252167809994	0.31174677151315	-0.603862445459371	0.545935098601518	0.999116878497745
gene-LOC106792893	13.6657936407294	0.726335322707335	0.494405859638933	1.46910743177231	0.141803652329413	0.999116878497745
gene-LOC106793354	0.18471364763256	-1.02575008935868	3.22547100566734	-0.31801559758447	0.750473105471306	0.999116878497745
gene-LOC106793152	0.635836927580265	-1.60571320058769	2.90434727774956	-0.552865427935974	0.580355562335188	0.999116878497745
gene-LOC106793188	0.184752895127104	-1.02575008935868	3.22547100566734	-0.31801559758447	0.750473105471306	0.999116878497745
gene-LOC106793282	53.4239992425519	-0.560528991061402	0.490912294461413	-1.14181086394743	0.253532645588988	0.999116878497745
gene-LOC106793092	24.3666422616464	0.137573736359917	0.563396645380215	0.244186289513801	0.80708654510531	0.999116878497745
gene-LOC106785249	9.913379965213	0.398039386729348	0.657162020502955	0.605694447199963	0.544717671996938	0.999116878497745
gene-LOC106785316	4.91426396815446	-0.177419671448654	0.663712507084753	-0.26731403967049	0.789227377874116	0.999116878497745
gene-LOC106793297	1.07503380352659	-0.246533798796172	1.52032007696161	-0.162159141704472	0.871180534080951	0.999116878497745
gene-LOC106793424	0	NA	NA	NA	NA	NA
gene-LOC106788563	3.6886825623389	0.978924372803262	0.831149606873369	1.17779562753545	0.238878092223557	0.999116878497745
gene-LOC106789066	1.15392235367987	-0.341477544951494	1.46090800294188	-0.233743359789836	0.815184223779474	0.999116878497745
gene-LOC106793085	7.91790000129241	-2.10090406329382	1.18572694691393	-1.77182788057723	0.0764231329519036	0.999116878497745
