,SRR1519108,SRR1519109,SRR1519110,SRR1519111,SRR1519112,SRR1519113,SRR1519114,SRR1519115,SRR1519116,SRR1519117
gene-LOC106784153,2.37469004298843,2.88653360510676,3.40090729355101,2.30109566647131,2.9237417511242,1.55036294903436,1.55036294903436,1.55036294903436,3.05317637653584,3.29303936519985
gene-LOC106784085,2.37469004298843,4.09103198788946,5.19054845897286,3.98750708825098,4.22888019718086,2.73866932628577,3.33035222977142,3.44142551406006,4.72187212736164,4.8564337639014
gene-LOC106783879,2.70129639917341,3.5107821652809,2.76633852234805,3.30074193922847,3.1184325809273,1.55036294903436,2.38612241165812,2.79490606166717,1.55036294903436,3.49752353702523
gene-LOC106784012,3.45562077855378,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,3.1892384662706,2.96135531545208,2.79490606166717,1.55036294903436,1.55036294903436
gene-LOC106783940,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,3.2631249830028,1.55036294903436,1.55036294903436
gene-LOC106783811,1.55036294903436,2.33978499918959,3.40090729355101,2.30109566647131,2.6850709394235,1.55036294903436,2.38612241165812,1.55036294903436,1.55036294903436,2.24313850179021
gene-LOC106792039,1.55036294903436,1.55036294903436,2.76633852234805,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.44344762885824,2.72881094319821
gene-LOC106783577,1.55036294903436,2.65367086676609,2.76633852234805,2.30109566647131,2.36278714605673,1.55036294903436,2.96135531545208,1.55036294903436,2.79470749797331,1.55036294903436
gene-LOC106792109,5.55276780917094,4.3734964948951,4.53241933994666,4.19922778717848,4.78023475882429,3.8811304916732,4.21212864511962,4.43892066285901,4.27187474635103,4.74849159213889
gene-LOC106792180,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.38612241165812,3.05341010703165,1.55036294903436,1.55036294903436
gene-LOC106790239,1.55036294903436,1.55036294903436,1.55036294903436,2.30109566647131,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106793447,1.55036294903436,1.55036294903436,2.76633852234805,2.30109566647131,3.43081585461389,2.73866932628577,3.73319235245415,2.79490606166717,1.55036294903436,2.72881094319821
gene-LOC106793296,4.7094422845889,5.0648876399451,3.40090729355101,4.26308830318038,4.50104926227541,2.73866932628577,4.50217230882693,3.73635869377601,3.05317637653584,4.31352080559029
gene-LOC106793534,3.13990663968015,3.07677847833739,3.55435009718552,3.42451235375536,3.43081585461389,2.73866932628577,1.55036294903436,2.79490606166717,3.59705936401288,3.17624323726476
gene-LOC106785363,1.55036294903436,3.5107821652809,3.55435009718552,2.82365999581145,2.6850709394235,3.1892384662706,1.55036294903436,1.55036294903436,3.59705936401288,2.89955836900596
gene-LOC106789119,2.94294464255601,2.65367086676609,1.55036294903436,2.30109566647131,1.55036294903436,2.98711331322804,1.55036294903436,1.55036294903436,2.44344762885824,2.24313850179021
gene-LOC106790448,3.30804768718225,1.55036294903436,1.55036294903436,1.55036294903436,3.1184325809273,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106790650,2.70129639917341,1.55036294903436,3.019757251372,1.55036294903436,1.55036294903436,2.40215135198713,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106790958,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.24313850179021
gene-LOC106793585,1.55036294903436,1.55036294903436,2.76633852234805,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.4435942176797,2.44344762885824,1.55036294903436
gene-LOC106793045,4.09994576602609,3.07677847833739,3.019757251372,3.90886985302055,4.22888019718086,3.1892384662706,4.21212864511962,3.97679398336036,4.35771758044293,3.96678965020404
gene-LOC106793239,4.09994576602609,5.17745947797723,5.14598479771501,5.82806662330401,5.32095482552654,4.78753919550242,3.8436599922063,5.06259958766565,4.9575844900368,5.75194515596578
gene-LOC106792958,4.96012363044907,5.0648876399451,5.14598479771501,4.68954042467795,5.21317459624943,5.04102630271052,5.03941980795026,5.25122113738421,4.84463822603983,5.29916727765344
gene-LOC106792893,4.01201213389522,4.01024883627017,5.00324795185595,4.86227577760182,3.43081585461389,4.33241363734194,4.04040065085578,3.5973575464833,4.43854834232345,3.96678965020404
gene-LOC106793354,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.44344762885824,2.24313850179021
gene-LOC106793152,1.55036294903436,1.55036294903436,2.42252340761974,1.55036294903436,1.55036294903436,3.36150764634174,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106793188,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.4435942176797,1.55036294903436,2.24313850179021
gene-LOC106793282,5.04915807406244,5.21308809341165,5.35605257352682,6.2843066416069,6.14121783098433,5.37101049166977,5.3222126078489,5.5310736761689,6.14206436702119,7.05697627520111
gene-LOC106793092,3.70720934804381,5.0648876399451,5.63870919452895,4.86227577760182,4.5615115617894,4.33241363734194,4.50217230882693,3.97679398336036,5.63562183661084,5.3733052433831
gene-LOC106785249,3.30804768718225,4.85482780947485,3.55435009718552,4.06180664862867,3.78863533201226,3.9841953466114,3.47935618466609,4.43892066285901,2.44344762885824,3.96678965020404
gene-LOC106785316,3.45562077855378,3.62713324686978,2.42252340761974,3.16281035434708,3.28475141788974,3.1892384662706,3.73319235245415,3.2631249830028,2.79470749797331,3.58846303988343
gene-LOC106793297,1.55036294903436,2.33978499918959,2.76633852234805,2.30109566647131,1.55036294903436,2.73866932628577,3.16047977183782,1.55036294903436,1.55036294903436,2.24313850179021
gene-LOC106793424,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106788563,3.13990663968015,3.73384167866449,3.22564362518951,3.30074193922847,2.36278714605673,3.36150764634174,2.71686545532134,1.55036294903436,2.44344762885824,3.49752353702523
gene-LOC106789066,1.55036294903436,1.55036294903436,3.019757251372,2.30109566647131,2.9237417511242,1.55036294903436,2.71686545532134,1.55036294903436,2.44344762885824,2.52111845597083
gene-LOC106793085,3.70720934804381,2.33978499918959,2.42252340761974,2.30109566647131,2.6850709394235,5.17388519095831,4.62727986962827,4.43892066285901,1.55036294903436,2.24313850179021
gene-LOC106793508,1.55036294903436,2.65367086676609,2.42252340761974,2.30109566647131,2.6850709394235,1.55036294903436,2.38612241165812,1.55036294903436,3.05317637653584,2.24313850179021
gene-LOC106793065,2.37469004298843,3.23951918448358,1.55036294903436,2.30109566647131,1.55036294903436,2.40215135198713,2.38612241165812,1.55036294903436,2.44344762885824,2.72881094319821
gene-LOC106794044,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.4435942176797,1.55036294903436,1.55036294903436
gene-LOC106793361,2.70129639917341,3.62713324686978,2.42252340761974,3.16281035434708,2.9237417511242,1.55036294903436,2.38612241165812,2.79490606166717,2.44344762885824,1.55036294903436
gene-LOC106793683,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106783599,2.94294464255601,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,3.9841953466114,2.71686545532134,2.4435942176797,1.55036294903436,1.55036294903436
gene-LOC106793758,2.37469004298843,3.07677847833739,3.40090729355101,2.60072608131789,2.6850709394235,2.40215135198713,1.55036294903436,2.79490606166717,1.55036294903436,2.24313850179021
gene-LOC106793617,5.64094167989761,6.13889136975759,6.37491746197558,5.88872961321422,5.65842433354446,5.04102630271052,5.67729949230099,5.06259958766565,5.85425794817668,4.63158657117505
gene-LOC106793905,4.26043439189167,3.38261306558923,4.38508371378059,3.90886985302055,3.68002917372681,4.54580870985709,4.36472895529634,3.97679398336036,4.51493847392416,3.39950751718147
gene-LOC106793976,3.30804768718225,3.07677847833739,1.55036294903436,2.30109566647131,2.36278714605673,2.73866932628577,1.55036294903436,2.79490606166717,2.44344762885824,1.55036294903436
gene-LOC106783662,8.48605836524856,8.97703682083865,9.63241368758726,9.35841657880611,9.71467970557201,8.00568970527618,8.36309346488218,7.57943618483209,10.3469832546078,9.19695414704163
gene-LOC106793830,6.21953207909068,6.67203143020869,7.27391129466464,7.15869484449642,7.0921118693523,6.81996327510427,6.27627862972477,6.32069557512807,7.26785689579553,7.1508655425612
gene-LOC106783736,2.94294464255601,4.16728359719454,4.38508371378059,4.06180664862867,3.43081585461389,2.40215135198713,1.55036294903436,3.73635869377601,3.59705936401288,3.17624323726476
