	SRR1519108	SRR1519109	SRR1519110	SRR1519111	SRR1519112	SRR1519113	SRR1519114	SRR1519115	SRR1519116	SRR1519117
gene-LOC106784153	0.982515410352175	2.69715318187236	5.51703793962487	0.811157726306241	2.86081794626697	0	0	0	3.47606587623023	4.81913495640864
gene-LOC106784085	0.982515410352175	11.6876637881135	30.8954124618993	10.5450504419811	13.3504837492459	2.10198467515107	5.05360193302372	5.79540550177759	20.8563952573814	23.4072269311277
gene-LOC106783879	1.96503082070435	6.29335742436883	2.20681517584995	4.86694635783744	3.81442392835596	0	1.01072038660474	2.31816220071104	0	6.19603065823968
gene-LOC106784012	5.89509246211305	0	0	0	0	4.20396935030214	3.03216115981423	2.31816220071104	0	0
gene-LOC106783940	0	0	0	0	0	0	0	4.63632440142207	0	0
gene-LOC106783811	0	0.899051060624119	5.51703793962487	0.811157726306241	1.90721196417798	0	1.01072038660474	0	0	0.68844785091552
gene-LOC106792039	0	0	2.20681517584995	0	0	0	0	0	1.15868862541008	2.06534355274656
gene-LOC106783577	0	1.79810212124824	2.20681517584995	0.811157726306241	0.953605982088991	0	3.03216115981423	0	2.31737725082015	0
gene-LOC106792109	41.2656472347914	15.28386803061	17.6545214067996	12.9785236208998	21.9329375880468	9.45893103817981	13.1393650258617	16.2271354049772	13.9042635049209	21.3418833783811
gene-LOC106792180	0	0	0	0	0	0	1.01072038660474	3.47724330106655	0	0
gene-LOC106790239	0	0	0	0.811157726306241	0	0	0	0	0	0
gene-LOC106793447	0	0	2.20681517584995	0.811157726306241	5.72163589253394	2.10198467515107	8.08576309283795	2.31816220071104	0	2.06534355274656
gene-LOC106793296	20.6328236173957	27.8705828793477	5.51703793962487	13.7896813472061	17.1649076776018	2.10198467515107	17.1822465722806	8.11356770248862	3.47606587623023	14.4574048692259
gene-LOC106793534	3.9300616414087	3.59620424249647	6.62044552754985	5.67810408414368	5.72163589253394	2.10198467515107	0	2.31816220071104	6.95213175246045	4.13068710549312
gene-LOC106785363	0	6.29335742436883	6.62044552754985	2.43347317891872	1.90721196417798	4.20396935030214	0	0	6.95213175246045	2.75379140366208
gene-LOC106789119	2.94754623105653	1.79810212124824	0	0.811157726306241	0	3.1529770127266	0	0	1.15868862541008	0.68844785091552
gene-LOC106790448	4.91257705176088	0	0	0	3.81442392835596	0	0	0	0	0
gene-LOC106790650	1.96503082070435	0	3.31022276377492	0	0	1.05099233757553	0	0	0	0
gene-LOC106790958	0	0	0	0	0	0	0	0	0	0.68844785091552
gene-LOC106793585	0	0	2.20681517584995	0	0	0	0	1.15908110035552	1.15868862541008	0
gene-LOC106793045	11.7901849242261	3.59620424249647	3.31022276377492	9.73389271567489	13.3504837492459	4.20396935030214	13.1393650258617	10.4317299031997	15.062952130331	10.3267177637328
