	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-LOC107064227	84.4489609949463	0.157631724129307	0.18370610279217	0.858064711696806	0.390856731633783	0.659895748187809
gene-LOC107064169	351.131155689818	0.44185342896173	0.142988522587083	3.09013213765203	0.00200067465724256	0.0282225415918446
gene-LOC107064158	2274.29206105115	0.136349160563572	0.0826303845895328	1.65010923331518	0.0989205966071042	0.320265588406694
gene-LOC107072482	291.525760986374	0.37427340686289	0.280460980745177	1.33449368203896	0.182042116062423	0.447205032118262
gene-LOC107071655	1279.55656561988	-0.00813108560018756	0.0844780823156813	-0.0962508307161019	0.92332136110425	0.968498939339819
gene-LOC107072269	137.967629893455	0.0757058489036014	0.0845394457132518	0.895509170481044	0.370514965797834	0.643095996369257
gene-LOC107072336	478.832798675405	-0.0205388726173278	0.0826731978644199	-0.248434476322188	0.803798261272784	0.917620201561101
gene-LOC107072717	1137.63227893325	-0.00445716579161959	0.0725477109103754	-0.0614377178230464	0.951010614601541	0.981035122034997
gene-LOC107072883	479.852496078979	0.0637483257022412	0.0787199686724585	0.809811370320637	0.418048596630963	0.681208924134315
gene-LOC107072648	155.847375838414	-0.353878715637125	0.088958083613322	-3.97803888374378	6.94860103920658e-05	0.00248979839256688
gene-LOC107072822	142.190835213127	0.139858193377128	0.0884389066569224	1.58141024876839	0.113784265617387	0.343710517939322
gene-LOC107074074	1845.57325497906	0.283665041343033	0.107251295124431	2.6448635516609	0.00817238642849058	0.0705357148191376
gene-LOC107074082	34.7254311220034	-0.0653016208262551	0.156903328689271	-0.416190155886224	0.677270862567543	0.848670638098377
gene-LOC107074032	632.353612622776	-0.0979486738534432	0.101549835696461	-0.964537984544046	0.334776274170327	0.607345569335258
gene-LOC107074088	2165.04888945763	-0.0780405372458358	0.0585960819017372	-1.33183883142061	0.182913154764048	0.448592630240294
gene-LOC107074105	1129.58587894326	-0.371828144624772	0.145232836339888	-2.56022091143758	0.010460564525266	0.0821559613858896
gene-LOC107074112	501.387221019989	0.143644885813139	0.0829870428518508	1.73093149095064	0.0834639842137492	0.288947208849291
gene-LOC107074125	1719.02466600132	0.119145051195966	0.0908933488460547	1.31082254871873	0.189917722584623	0.457470439960517
gene-LOC107074116	91.3122640049346	0.0482218566635657	0.185955103012531	0.259319888953604	0.795388434981904	0.913854081054907
gene-LOC107074132	75.5256168735807	-0.40110542322864	0.244057358633824	-1.64348834009322	0.100281935834051	0.322514463930485
gene-LOC107064581	1412.43798689418	-0.235841530579375	0.169096021534888	-1.39471957080147	0.163100420847631	0.42037168289186
gene-LOC107064597	107.653913517588	-0.516673345782354	0.214878131002554	-2.40449478675061	0.0161948372053237	0.108461584354345
gene-LOC107074670	241.493205639488	-0.211041782440312	0.215095079664294	-0.981155788266713	0.326515922739327	0.598481303787791
gene-LOC107074348	641.316486737874	0.487795224462274	0.233867376754362	2.08577712390651	0.0369988165280118	0.178085987994146
gene-LOC107074685	220.876288858939	-0.253837572052533	0.101412226482802	-2.5030273060377	0.0123136043405466	0.0903733637186878
gene-LOC107074693	1422.66740077586	-0.104690302725829	0.0819816165545337	-1.27699729678042	0.201603201624868	0.4704923248238
gene-LOC107065609	1.51813309069198	-0.041746789145763	0.883535520033428	-0.0472497010014759	0.962314216057025	0.985748774129598
gene-LOC107063673	954.011782215703	-0.0792227069197988	0.064248899942512	-1.23305935184392	0.217553621408179	0.487822511383448
gene-LOC107063696	26.2386586072303	0.0319685865200785	0.151795594817405	0.210602860765054	0.833197179812908	0.929637700520965
gene-LOC107063613	97.2469796154733	-0.260285013571851	0.140003973365623	-1.85912590417782	0.0630092942956549	0.244779123205172
gene-LOC107065295	13.5735403898823	0.126925149430819	0.257093687122622	0.49369220555883	0.621523570755644	0.816344670554519
gene-LOC107065289	23.4762263776974	-0.197703330921501	0.205926669945883	-0.960066663407208	0.337021665068891	0.61015991436883
gene-LOC107063717	2.84214752042918	1.68684012074247	0.57877194536156	2.91451604429218	0.0035624049683488	0.0422666053846973
gene-LOC107063734	11.5494757691213	-0.512915132675787	0.403214589325674	-1.27206491593861	0.203350055371261	0.472469787077784
gene-LOC107063725	580.564187408313	-0.613249248373314	0.318007248763103	-1.92841279800559	0.0538038012203874	0.222756936427576
gene-LOC107063753	41.5118391486333	-1.36693117742388	0.387065126499938	-3.53152760049566	0.000413166741318807	0.00931550945151429
gene-LOC107063742	40.377285282127	0.0274700444539706	0.135957000380602	0.202049503718604	0.83987802380011	0.931959870664618
gene-LOC107063735	137.634797171463	0.0713192040886582	0.0821146078825071	0.868532480733569	0.385102899033259	0.655093518464185
gene-LOC107064754	271.621022780853	-0.0267169137323501	0.121493853947797	-0.219903417862024	0.825946374397716	0.926306388064126
gene-LOC107064846	277.882039006904	0.0266099184302158	0.138468442769278	0.192173161610218	0.847606567999013	0.935350726030865
gene-LOC107064988	25.6597037874963	-0.519606797499971	0.257705773820767	-2.01627922338036	0.0437707862247251	0.197042600255298
gene-LOC107064999	885.230871817273	-0.153948200069093	0.214874236595562	-0.716457228694458	0.473709068593979	0.717405992312099
gene-LOC107070209	8.2101324411688	-0.167332006259682	0.306770906648048	-0.545462436735106	0.585435508556047	0.795862758432974
gene-LOC107074068	1.01274937616691	0.209161183974798	0.740636929642458	0.282407176314811	0.777631312955518	0.905500271887252
gene-LOC107065217	12.0043513541408	0.0181310304358757	0.255640297512728	0.0709239920790383	0.943458248537435	0.977206319850785
gene-LOC107065223	226.651807837298	0.33113340605641	0.108216280334793	3.05992226892265	0.00221394443659374	0.0304010279925557
gene-LOC107064600	518.967974349517	-0.0198407868798215	0.084195719584676	-0.235650778658262	0.813703667180746	0.922214116207218
gene-LOC107065208	196.097768415308	-0.237837544173789	0.100899031609191	-2.35718361594387	0.0184141392150391	0.117694375030712
gene-LOC107064039	179.309270224259	0.0517340808068568	0.0989730789391492	0.522708612901333	0.601177043650936	0.804745421199153
gene-LOC107064056	115.36054974766	-0.0257469999152249	0.108159760363062	-0.238046014791448	0.811845405147027	0.921465315867605
gene-LOC107064048	117.754440582548	-0.0965474414216862	0.105267930839574	-0.917159106782699	0.359059271937292	0.631901566389393
gene-LOC107064060	95.3810570406492	0.00466858301328283	0.111379959953494	0.0419158259280408	0.966565800219385	0.987209598107376
gene-LOC107065285	174.818226430695	-0.0522641932940483	0.0764243082436501	-0.683868712653881	0.494058072335465	0.732891832421804
gene-LOC107064316	117.510360768958	-0.314694753051124	0.104091211638053	-3.0232595826186	0.00250067638756537	0.0329767015073985
gene-LOC107064137	585.960750141867	-0.231058048907909	0.112893289087964	-2.04669427894757	0.0406881113376474	0.188836842937306
gene-LOC107065301	221.905017595475	0.138115559281378	0.0703844218379015	1.96230295958762	0.0497272228539396	0.211425132086147
gene-LOC107073937	81.9691548096806	-0.0335225619848044	0.119482905314134	-0.280563666381142	0.779045087094751	0.905977250230832
gene-LOC107073946	156.315040939274	0.0704048234667446	0.0990889299940966	0.710521583702025	0.477380751294566	0.719791152632017
gene-LOC107073961	512.802101723595	-0.142544291400313	0.12072690103693	-1.18071689222529	0.23771520865152	0.511166953014644
gene-LOC107073955	1949.86182561164	-0.229967710946392	0.173849086712084	-1.3228007997951	0.185901631198415	0.452094414811136
gene-LOC107073967	124.404502909272	0.00411176346714419	0.102864549026087	0.0399725999489037	0.968114970901373	0.988171831990448
gene-LOC107073978	125.171871245518	0.137531608689975	0.14789537752734	0.929924998261356	0.352409918827055	0.626414958436198
gene-LOC107074002	283.656900952385	0.10210186137005	0.0577117790891561	1.76916849526191	0.076865760049888	0.276446576022612
gene-LOC107073993	152.370216378359	0.160010794323611	0.0705553845353956	2.26787502296636	0.0233368250916234	0.13751411551775
gene-LOC107074019	144.389394357539	0.0760480536943037	0.11703834623207	0.649770405534536	0.515840538009809	0.7494300348806
gene-LOC107074025	80.3536921394057	0.121890723592175	0.117835862682044	1.03441109368438	0.300944020361018	0.573454689401673
gene-LOC107073986	535.455530572579	-0.134094806571589	0.142138614602812	-0.943408706679038	0.345471891448431	0.618941392052897
gene-LOC107064696	326.064861836261	-0.0414754384905037	0.110403092056136	-0.37567279790873	0.707160163149032	0.865667580282812
gene-LOC107063614	56.8396157486753	-0.135892076826485	0.163060124891773	-0.833386316346068	0.404626889505806	0.670409366047142
gene-LOC107064702	597.879188850622	0.0225516444474959	0.0846862933691159	0.266296274760801	0.790011041867207	0.910767794123152
gene-LOC107064635	40.3881000404674	0.0844531751143241	0.188087817547288	0.449009277770428	0.653424963875448	0.836140460534571
gene-LOC107064296	107.697070408694	-0.243644789611508	0.122100291175933	-1.99544806375967	0.0459940332656968	0.202678468742669
gene-LOC107064325	246.903599729174	0.179187787819103	0.0668817727716394	2.6791722227657	0.00738044225330401	0.0667281637415042
gene-LOC107065728	2.5331875992105	1.71112906909938	1.01578564100052	1.68453756386433	0.0920778262118332	0.306840852985202
gene-LOC107065050	79.5860988519128	0.285973261695757	0.187286039531467	1.5269331468121	0.12677763614854	0.365181192249419
gene-LOC107064068	322.693753796752	-0.13920017186958	0.284260410111706	-0.489692433128055	0.624351557160437	0.818555415257597
gene-LOC107064075	1358.8351465287	0.203111196576261	0.0524047009382238	3.87582016383787	0.000106266149979067	0.00328036433106596
gene-LOC107064201	83.3811347342128	-0.157850096135453	0.202985168686233	-0.777643495616432	0.43677921161401	0.694176279868025
gene-LOC107065449	9.51549446040401	-1.57130351039855	0.299562956774589	-5.24531980628335	1.56011472229439e-07	2.02472449690937e-05
gene-LOC107069159	191.763629793117	0.342569864083102	0.144691721375129	2.36758441206842	0.0179046351594708	0.115549501132255
gene-LOC107069605	9.22233306691153	0.289201659107076	0.294304733974175	0.982660574982302	0.325774520541362	0.597733173168254
gene-LOC107069818	383.178390777224	0.169035455935338	0.0950997047706999	1.77745510717314	0.075493390833793	0.273770816676365
gene-LOC107069649	809.251276139757	0.404891899004935	0.146104230066043	2.77125377425357	0.0055840887394524	0.0556943508577811
gene-LOC107065170	1168.48861588132	-0.101779691582908	0.0901214518034875	-1.12936142889532	0.258745396976554	0.532144705609805
gene-Trnaq-cug	0.991618368806309	-0.494949166871121	1.00066415081673	-0.494620664153051	0.620867912884712	0.816216964659557
