	SRR2917198	SRR2917152	SRR2916699	SRR2916026	SRR2916025	SRR2915407
Caust.v2_010917	0	0	0	0	0	0
Caust.v2_010918	1152.56783316033	1167.61811027867	1143.4375974388	1067.68681161365	1165.8127079274	1012.82748716012
Caust.v2_010919	0	0	0	0	0	0
Caust.v2_010920	0	0	0	0	0	0
Caust.v2_010921	1.58537528632783	0.744179802599535	1.2761580328558	0	1.14971667448462	0
Caust.v2_010922	0	0	0	0	0	0
Caust.v2_010923	0	0	0	0	0	0
Caust.v2_010924	23.7806292949175	18.6044950649884	24.2470026242603	11.8631867957073	21.8446168152078	8.92359019524336
Caust.v2_010925	217.989101870077	261.207110712437	219.499181651198	224.659099943706	219.595884826562	234.987875141409
Caust.v2_010926	399.514572154614	392.182755969955	375.190461659606	375.173282414242	415.047719488948	358.430872842275
Caust.v2_010927	266.343048103076	244.090975252648	232.260761979756	258.765761981365	252.937668386616	246.885995401733
Caust.v2_010928	945.676358294551	880.36470647525	931.595363984736	929.777265113556	812.849688860626	1011.34022212758
Caust.v2_010929	184.696220857192	186.044950649884	234.813078045468	137.909546500097	125.319117518824	153.188298351678
Caust.v2_010930	1618.66816734072	1317.94243040378	1447.16320925848	1497.72733295804	1373.91142600912	1387.61827536034
Caust.v2_010931	252.074670526125	360.183024458175	298.620979688258	252.092719408779	225.344468198985	248.373260434274
Caust.v2_010932	19.8171910790979	20.0928546701874	11.4854222957022	20.019127717756	10.3474500703616	7.4363251627028
Caust.v2_010933	0	0	0	0	0	0
Caust.v2_010934	0	0	0	0	0	0
Caust.v2_010935	0	0	0	0	0	0
Caust.v2_010936	0	0	0	0	0	0
Caust.v2_010937	0	0	0	0	0	0
Caust.v2_010938	0	0	0	0.741449174731704	0	0
Caust.v2_010939	0	0	0	0	0	0
Caust.v2_010940	0	0	0	0	0	0
Caust.v2_010941	349.575250635287	404.833812614147	376.466619692462	442.645157314827	405.849986093071	513.106436226493
Caust.v2_010942	42.8051327308514	36.4648103273772	51.0463213142321	76.3692649973655	58.6355503987156	50.5670111063791
Caust.v2_010943	7276.07987660158	6481.80608064195	7209.01672760243	6875.45819728709	6372.87952666825	8350.99315771525
Caust.v2_010944	0	0.744179802599535	0	0	0	0
Caust.v2_010945	1.58537528632783	1.48835960519907	0	0.741449174731704	0	0
Caust.v2_010946	3.17075057265566	3.72089901299768	3.82847409856741	2.22434752419511	1.14971667448462	1.48726503254056
Caust.v2_010947	2.37806292949175	1.48835960519907	0	1.48289834946341	0	0
Caust.v2_010948	191.037722002504	261.951290515036	200.356811158361	288.423728970633	228.793618222439	282.580356182707
Caust.v2_010949	210.062225438438	228.463199398057	171.005176402678	322.530391008291	260.985685108009	240.936935271571
Caust.v2_010950	86.4029531048668	83.3481378911479	108.473432792743	74.8863666479021	89.6779006098003	46.1052160087574
Caust.v2_010063	82.4395148890472	108.650251179532	107.197274759887	138.650995674829	109.223084076039	102.621287245299
Caust.v2_010064	0	0	0	0	0	0
Caust.v2_010065	446.283143101285	433.112645112929	401.989780349578	513.824278089071	462.186103142817	446.179509762168
Caust.v2_010066	2600.80815722081	3097.27633841927	2845.83241326844	2301.45823836721	2009.70474699911	2967.09373991842
Caust.v2_010067	1838.24264449712	1992.91351136156	1875.95230829803	1694.21136426194	1655.59201125785	1408.43998581591
Caust.v2_010068	220.367164799569	233.672458016254	185.042914764091	104.54433363717	106.92365072707	202.268044425516
Caust.v2_010069	817.260960101997	365.392283076372	427.512941006694	876.392924532874	1192.25619144055	734.708926075037
Caust.v2_010070	267.928423389404	285.020864395622	274.373977063998	258.024312806633	298.926335366001	306.376596703356
Caust.v2_010071	42.8051327308514	46.8833275637707	39.5608990185299	30.3994161639998	22.9943334896924	34.2070957484329
Caust.v2_010072	288.538302111665	405.577992416747	370.085829528183	325.496187707218	323.070385530178	397.09976368833
Caust.v2_010073	7.13418878847524	10.4185172363935	10.2092642628464	12.604635970439	9.19773339587696	14.8726503254056
