	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-LOC108630137	486.493808565642	0.797126871113914	0.517337600002154	1.54082531621633	0.123359306222269	0.427320337953716
gene-LOC108630204	293.223365047136	-0.319356370035682	0.27457277858065	-1.16310280897667	0.244787792584021	0.57865145943547
gene-LOC108630428	641.660405856771	0.0268945928515298	0.238545470256208	0.112744093705254	0.910233442369196	0.973575537946811
gene-LOC108625126	201.97196968982	-0.703203051706485	0.975802862930033	-0.720640488382033	0.471130736187674	0.769253892820144
gene-LOC108625517	55.4486615998462	-0.0417860941102667	0.936624162034755	-0.0446135128731776	0.964415371669635	0.990213864682748
gene-LOC108625314	691.611521932898	0.347977795778036	0.221640027513787	1.57001332151698	0.116412012124453	0.413298930229503
gene-LOC108625655	690.039894629622	-0.693621322502498	0.438225003044042	-1.58279723357726	0.113467687473361	0.407361026406128
gene-LOC108625598	198.819410268481	-0.288984035136395	0.400819526631357	-0.720982926069319	0.470920019695165	0.769253892820144
gene-LOC108625203	98.3013486065559	0.118173548816554	0.349725807485434	0.337903426876712	0.73543596502992	0.909642584524206
gene-LOC108625396	454.727054430307	0.868677888470616	0.359082969915967	2.41915646591067	0.0155565471105195	0.13815954426825
gene-LOC108625064	535.744712142475	0.117759729266737	0.348913369885857	0.337504204282172	0.735736843325791	0.909642584524206
gene-LOC108630323	2126.73624389114	0.708928648289979	0.497330794085063	1.42546702661795	0.15402224499248	0.471507463096484
gene-LOC113463976	9.19906578023483	1.70281429055874	0.947479862933078	1.79720367384632	0.072303291522823	0.325188774622347
gene-LOC108629901	1120.69780941728	0.593851598438698	0.285430759284298	2.0805452079788	0.0374755535673885	0.229535681492657
gene-LOC108623485	751.548011177807	0.404076000779053	0.211515486872098	1.91038494038687	0.0560836684105785	0.285905705494971
gene-LOC108623319	145.570487598672	0.179612699438851	0.559302816730322	0.321136768966881	0.748106747176578	0.91487295995595
gene-LOC108623244	96487.7000950463	-0.500668875081573	0.420204492670518	-1.19148862949961	0.233461817768957	0.565833031615603
gene-LOC108623171	6148.45361782003	0.262449191488335	0.396032892932906	0.662695438110484	0.507525632064244	0.79263835380595
gene-LOC108629049	876.320538878982	-0.534909455365861	0.693997317136785	-0.770765883609939	0.440845712541498	0.747744981539502
gene-LOC108623909	551.592635784653	-0.536428270932155	0.238912059013978	-2.24529591828084	0.0247491419033397	0.182873659445768
gene-LOC108623975	226.829517157503	-0.187430624249736	0.285945824049545	-0.655475997499656	0.512161335249366	0.795520942159621
gene-LOC113464111	88.1849330826221	0.0167328115286234	0.525975568065377	0.0318129064248543	0.974621254008103	0.991970519506431
gene-LOC108623775	2100.4569949381	-0.357169672491259	0.284721051846034	-1.25445473798124	0.20967676742782	0.540967890936303
gene-LOC108628026	971.739312392462	0.00230604539689272	0.438775661406923	0.00525563653530473	0.995806628055986	0.998979224583985
gene-LOC108621989	50.8731502566166	0.232624794382393	0.660668675546493	0.352105076254705	0.724759461570733	0.905615069432868
gene-LOC108621903	109.684304907647	-0.431714418258465	0.402773148573431	-1.07185501264804	0.283785159247752	0.61965553792331
gene-LOC108632655	1234.32674780433	0.116715325742885	0.445932224197828	0.261733329437764	0.793527042822903	0.932670923266546
gene-LOC108621901	41.7755961382185	-0.208882133387733	0.72190624501534	-0.289348007210125	0.772315078209477	0.921950557467781
gene-LOC108628565	479.704222167213	0.328282024182152	0.416053997747025	0.789037062400151	0.430090345032306	0.739877735443317
