	SRR13281988	SRR13281982	SRR13281995	SRR13282007	SRR13281993	SRR13282006
gene-LOC108630137	237.683117459894	853.443047444665	759.725352546893	337.504464154112	395.712308956376	334.894560831911
gene-LOC108630204	329.099701098315	226.23014114803	231.005920205315	302.7007473621	349.038549438444	321.265131030612
gene-LOC108630428	585.066135285894	696.301152994536	659.663964650473	612.270649354203	742.721564502736	553.938968352782
gene-LOC108625126	232.459312680556	200.491382574302	29.0301557477268	39.383153212013	211.046564776734	499.421249147588
gene-LOC108625517	67.9094621313984	69.0882466979014	27.7948299712278	96.626108462032	5.07323473020994	66.2000876063079
gene-LOC108625314	671.258914144977	766.744071196318	882.022604420295	572.429552500189	634.154341276243	623.059648059369
gene-LOC108625655	820.137350356119	402.337436652485	363.18577829071	702.943490470233	1080.59899753472	771.036314473469
gene-LOC108625598	248.130727018571	139.531164899683	151.327407621129	152.49523278605	265.837499863001	235.594429422449
gene-LOC108625203	109.699900366105	107.019048806553	91.414107460927	99.831713956033	66.9666984387713	114.876622610946
gene-LOC108625396	820.137350356119	441.622910265017	503.395253923348	314.607282054104	269.896087647169	378.703442336085
gene-LOC108625064	349.994920215669	659.725022389764	659.663964650473	483.58848595216	489.059827992239	572.436051654545
gene-LOC108630323	3902.18217016574	1938.53492205288	2077.20029318309	1064.26102400835	2545.74918761935	1232.48986631744
gene-LOC113463976	5.22380477933834	23.0294155659671	14.2062464297387	7.78504191400258	2.02929389208398	2.92059210027829
gene-LOC108629901	1016.03002958131	1446.78916614429	1579.36400525399	1006.56012511633	888.830724732782	786.612805674953
gene-LOC108623485	869.763495759834	864.280419475708	833.844899136834	577.466932562191	625.022518761865	738.909801370408
gene-LOC108623319	52.2380477933834	211.328754605345	198.269787128092	146.541965440049	150.167748014214	114.876622610946
gene-LOC108623244	126578.013608147	60891.129427921	52269.1042552262	105866.953213953	118914.592782229	114406.407282801
gene-LOC108623171	10290.8954152965	4691.22741793789	5139.57289312414	5179.80053466371	5869.73258285291	5719.49286304499
gene-LOC108629049	511.932868375157	866.989762483469	767.754970094137	1449.39162693048	217.134446452986	1444.71955893766
gene-LOC108623909	360.442529774345	493.100427412473	492.894984823106	674.093041024223	650.388692412915	638.636139260853
gene-LOC108623975	174.997460107834	224.87546964415	234.094234646563	251.411059458083	276.998616269463	198.600262818924
gene-LOC113464111	101.864193197098	83.989633240586	80.2961754724358	56.3270679660186	150.167748014214	56.4647806053803
gene-LOC108623775	1985.04581614857	1701.46740887381	1840.63540698353	2911.14773219496	2394.56679265909	1769.87881276864
gene-LOC108628026	608.573256792917	1198.88428093417	1108.70488440786	1317.96180167644	978.119655984477	618.191994558905
gene-LOC108621989	107.087997976436	31.1574445892497	29.0301557477268	54.9532370400182	30.4394083812597	52.5706578050092
gene-LOC108621903	104.476095586767	93.472333767749	84.0021528019329	169.439147540056	80.1571087373171	126.558991012059
gene-LOC108632655	2000.71723048658	858.861733460186	996.290238746454	1343.60664562844	852.303434675271	1354.18120382903
gene-LOC108621901	33.9547310656992	41.994816620293	40.7657506244674	91.1307847580302	23.3368797589657	19.4706140018553
gene-LOC108628565	297.756872422285	722.039911568264	579.985452066287	397.037137614131	513.411354697246	367.994604635065
gene-LOC108629258	1864.89830622379	944.206038204653	827.668270254339	2057.54078350668	868.537785811942	1369.75769503052
gene-LOC108629202	258.578336577248	331.894518450703	368.127081396706	309.569901992102	300.335496028429	323.212192430797
gene-LOC108627083	524.992380323503	1324.86873079505	1335.38716439543	479.924936816159	627.051812653949	504.288902648052
