LFC.threshold	Linear.Change	Total.DEGs	Up.DEGs	Down.DEGs	Species
0.584962501	1.5	31	22	9	Pdominula
1	2	14	10	4	Pdominula
1.321928095	2.5	11	9	2	Pdominula
1.584962501	3	11	9	2	Pdominula
2	4	7	6	1	Pdominula
0.584962501	1.5	1	0	1	Lflavolineata
1	2	0	0	0	Lflavolineata
1.321928095	2.5	0	0	0	Lflavolineata
1.584962501	3	0	0	0	Lflavolineata
2	4	0	0	0	Lflavolineata
0.584962501	1.5	33	20	13	Ccalcarata
1	2	16	8	8	Ccalcarata
1.321928095	2.5	4	1	3	Ccalcarata
1.584962501	3	0	0	0	Ccalcarata
2	4	0	0	0	Ccalcarata
0.584962501	1.5	0	0	0	Mgenalis
1	2	0	0	0	Mgenalis
1.321928095	2.5	0	0	0	Mgenalis
1.584962501	3	0	0	0	Mgenalis
2	4	0	0	0	Mgenalis
0.584962501	1.5	0	0	0	Caustralensis
1	2	0	0	0	Caustralensis
1.321928095	2.5	0	0	0	Caustralensis
1.584962501	3	0	0	0	Caustralensis
2	4	0	0	0	Caustralensis
0.584962501	1.5	0	0	0	Pcanadensis
1	2	0	0	0	Pcanadensis
1.321928095	2.5	0	0	0	Pcanadensis
1.584962501	3	0	0	0	Pcanadensis
2	4	0	0	0	Pcanadensis
