	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Lflavo2a009221	6.79281223261754	-0.212581370359873	0.413397784916892	-0.514229582537822	0.607091487408507	NA
Lflavo2a009208	544.19978292988	-0.0519724335030678	0.0810574275740783	-0.641180395905979	0.521405485028522	0.775122159067919
Lflavo2a009247	188.918834154026	-0.0258240110437032	0.130904856259144	-0.197273132423605	0.843613803413421	0.938378469640579
Lflavo2a009191	139.731251500963	-0.030210322248283	0.0914376919173003	-0.330392441178484	0.741103452241102	0.892368212444253
Lflavo2a009199	561.38120034725	0.0890073535797457	0.0943658029958539	0.943216194362871	0.345570331681122	0.652178719409256
Lflavo2a009214	939.193986119303	-0.0566127968318354	0.0660200524151653	-0.85750911671241	0.391163578566374	0.688298185210232
Lflavo2a009203	774.794165627835	0.0357925748283197	0.135765882697052	0.263634531130235	0.792061547573568	0.91581925973193
Lflavo2a009201	0	NA	NA	NA	NA	NA
Lflavo2a009194	22.9520530789731	0.370784603467626	0.244805696077734	1.51460774568697	0.129871769485718	NA
Lflavo2a009198	6772.18140609308	0.0216210828380139	0.0481935763996252	0.448629972150853	0.65369860880239	0.845099562495746
Lflavo2a009212	378.118801482914	-0.0333820118042261	0.0946530365844022	-0.352677663695019	0.724330106496905	0.882257176215682
Lflavo2a009192	46.0142764707934	0.107251555039134	0.175081820571539	0.612579619568848	0.540154337481857	0.787337296431027
Lflavo2a009234	2098.8491436488	0.0361846352744441	0.130786983332205	0.276668475352271	0.782034680309384	0.911310371074966
Lflavo2a009207	277.579130101053	0.0899623093969566	0.1110418282381	0.810165960200654	0.417844798554842	0.708143592209457
Lflavo2a009240	568.725760971849	-0.131691608359917	0.106268755505917	-1.23923167946184	0.21525971175935	0.526032115788697
Lflavo2a009219	1720.54323447865	0.053077074879644	0.178648029675294	0.297104171683928	0.766386979556689	0.905028471829671
Lflavo2a009204	80937.6140443171	-0.155534914527468	0.185899410667675	-0.836661686924395	0.402782760676483	0.697976049318421
Lflavo2a009242	433.222458508049	-0.0341702499513391	0.364632223187395	-0.093711547631867	0.925338296964434	0.970639362999387
Lflavo2a009231	76.2951500906905	-0.209208058068257	0.137071317149046	-1.52627159656438	0.126942239263409	0.418695650806215
Lflavo2a009256	47.2307815863612	-0.0546444015170547	0.154565287770168	-0.353536051369494	0.723686606368513	0.882180302858622
Lflavo2a009239	264.918623956232	-0.474168973212726	0.262961604910748	-1.80318709787942	0.0713588360519815	0.317538010698472
Lflavo2a009216	637.087243028533	0.180862130741097	0.101825513826593	1.77619659301795	0.0757005196294682	0.327489152878619
Lflavo2a009226	1889.60252306524	-0.158040194879947	0.108527377866025	-1.45622420800624	0.145330649532972	0.445846780538008
Lflavo2a009218	853.666424645612	-0.110920069893743	0.110305379727322	-1.00557262182444	0.31462119932987	0.624499436159774
Lflavo2a009227	291.490384552248	0.0139751537357402	0.0957766988550408	0.145913921682472	0.883989341304289	0.954173965780534
Lflavo2a009223	43.490150053238	0.0451993422900132	0.140433748769146	0.321855271159319	0.747562339953018	0.895350827263706
Lflavo2a009202	4312.38822289112	-0.141811313676376	0.0532822255582471	-2.66151258117683	0.0077790433727385	0.105271127715802
Lflavo2a009252	60684.7730458303	-0.107714976891445	0.0910781262229459	-1.18266571084011	0.236941658756515	0.550677583079604
Lflavo2a009195	599.372294077518	-0.175451526323969	0.0650556671040642	-2.69694454202297	0.00699789236464681	0.0988870649377924
Lflavo2a009224	2737.96646799881	-0.259720206346595	0.131560211564461	-1.97415467228356	0.0483641582912422	0.262535801423123
Lflavo2a009205	10420.2151062696	0.137103188233368	0.074278423583451	1.84580099602321	0.064921105938624	0.303582815574956
Lflavo2a009236	423.865974269476	-0.0634370340330649	0.125873775017149	-0.503973397353198	0.614280071271988	0.82551353895272
Lflavo2a009210	111.38018777101	-0.0486266812971895	0.11987657884393	-0.405639548326597	0.685007465792039	0.863277054665408
Lflavo2a009249	234.098831767948	-0.0460554781225695	0.111944805793475	-0.411412372339421	0.680770183260117	0.861212989099665
Lflavo2a009232	2696.45671450965	-0.0426473876461569	0.0960758115285028	-0.443893077431927	0.657119889735504	0.847150588500902
Lflavo2a009251	222.624688631984	-0.0655823801589442	0.118433380300361	-0.553749120329246	0.579750553424916	0.809508058239704
Lflavo2a009228	164.753619210195	0.372130297384973	0.202282375160342	1.83965754352053	0.0658185304382416	0.305665833906675
Lflavo2a009253	712.029205862545	-0.0225385311049526	0.0799718142525284	-0.281830934006103	0.778073150072726	0.909400345072512
Lflavo2a009255	1694.7882976552	-0.190240420608544	0.0924893327370286	-2.05689039999291	0.039696769629371	0.237364028619948
Lflavo2a009206	599.855270328325	0.0548024034858621	0.0862174706112625	0.635629914648682	0.525017666778798	0.776884533468401
Lflavo2a009211	18.3083127023842	0.438468373078144	0.245523094499942	1.78585388869904	0.0741229187026205	NA
Lflavo2a009229	0.532381527460172	-0.576701465489375	1.52592670119471	-0.377935234397465	0.705478707029239	NA
Lflavo2a009238	581.687348024561	-0.312287365638501	0.113843902061482	-2.74311895484615	0.00608586346593344	0.090218935534082
Lflavo2a009190	99.5985027040248	-0.0457827975709322	0.116067755947001	-0.394448890627622	0.693249654033069	0.867478494547427
Lflavo2a009213	4179.35316287408	0.600605565655921	0.379383872955461	1.5831077925825	0.11339689779244	0.397772343388243
Lflavo2a009250	335.143715331413	0.113624159863816	0.0806042746724296	1.40965426865482	0.158641794308642	0.466183529515744
Lflavo2a009243	1100.69741249611	0.0155306368580281	0.076611462381623	0.202719493600915	0.839354285832198	0.936414692290942
Lflavo2a009230	1031.72795056587	-0.0530791275783945	0.0923762305347175	-0.574597245104582	0.565563715659146	0.800964209273467
Lflavo2a009248	17.5269205678611	0.0635179132158877	0.231443260910557	0.274442699113347	0.783744433012481	NA
