	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117217331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218713	0.77808016171395	3.16416955736628	0	0	0	0	0	1.13301080778746	0	2.01835401869715	0	0	0.956573836320691	0	0	0
gene-LOC117221120	0	0	0.97043413671595	3.67659173521116	0.877226527816596	0.927631182565673	0	1.13301080778746	0	0	0	0	1.91314767264138	0.969688197214609	0	0
gene-LOC117220716	21.0081643662767	44.2983738031279	46.5808385623656	16.5446628084502	42.1068733351966	20.4078860164448	47.402225833692	36.2563458491986	52.1572138095053	50.4588504674288	37.5174456036066	23.1168292467767	32.5235104349035	31.0300223108675	32.340766278268	31.9509801507144
gene-LOC117221797	44.3505692176952	42.7162890244447	24.2608534178987	40.4425090873228	24.5623427788647	41.7434032154553	29.7641883141787	37.389356656986	34.7714758730035	24.2202482243658	48.8863685137904	26.6732645155116	29.6537889259414	15.5150111554337	29.4871692537149	40.7650436405667
gene-LOC117222501	6.2246412937116	13.4477206188067	4.85217068357975	3.67659173521116	0	2.78289354769702	7.71664141478707	13.5961296934495	5.21572138095053	15.1376551402286	4.54756916407353	1.77821763436744	5.73944301792415	1.93937639442922	2.85359702455306	6.61054761738919
gene-LOC117224661	0.77808016171395	0.791042389341569	0	0.91914793380279	4.38613263908298	5.56578709539404	1.10237734496958	0	3.47714758730035	6.05506205609145	3.41067687305514	3.55643526873488	0.956573836320691	0	0.951199008184352	5.50878968115765
gene-LOC117225180	24.8985651748464	26.1043988482718	40.7582337420699	27.5744380140837	15.7900775006987	36.1776161200612	28.6618109692091	24.926237771324	13.9085903492014	6.05506205609145	14.779599783239	4.4455440859186	30.6103627622621	17.454387549863	49.4623484255863	36.3580118956405
gene-LOC117225892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10175793623153
gene-LOC117226313	0	0	0	0	0	0	0	0	0	0	0	0	1.91314767264138	2.90906459164383	0.951199008184352	0
gene-LOC117226949	0	0	0.97043413671595	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117227604	2.33424048514185	4.74625433604942	0	2.75744380140837	2.63167958344979	0.927631182565673	6.61426406981749	0	3.47714758730035	1.00917700934858	1.13689229101838	1.77821763436744	0.956573836320691	0.969688197214609	0	1.10175793623153
gene-LOC117229484	3.1123206468558	1.58208477868314	0.97043413671595	6.43403553661953	2.63167958344979	2.78289354769702	2.20475468993916	3.39903242336237	8.69286896825088	0	3.41067687305514	0	1.91314767264138	0.969688197214609	0.951199008184352	3.30527380869459
gene-LOC117229422	79.3641764948229	115.492188843869	85.3982040310036	117.650935526757	97.3721445876422	106.677585995052	109.135357151989	90.6408646229964	111.268722793611	90.8259308413718	96.6358447365624	110.249493330781	75.5693330693346	110.544454482465	88.4615077611447	91.4459087072171
