	SRR1519108	SRR1519109	SRR1519110	SRR1519111	SRR1519112	SRR1519113	SRR1519114	SRR1519115	SRR1519116	SRR1519117
gene-LOC106784153	2.78857127048867	8.86501583180904	9.9919374256595	10.5229268120647	9.10838390304087	0	7.51247537325641	8.97277028207639	10.347725665504	11.5753957940893
gene-LOC106784085	11.1542850819547	12.0886579524669	19.983874851319	13.3290406286153	4.55419195152044	13.1732857871431	3.75623768662821	8.97277028207639	16.7155568442757	15.4338610587857
gene-LOC106783879	648.342820388616	1193.55349517356	1770.87875605535	1214.34575411226	1194.10912968866	850.408782481124	851.413875635727	660.994077446294	1688.27124127184	1333.48559547909
gene-LOC106784012	20.914284528665	4.83546318098675	0	2.10458536241294	0.910838390304087	1.46369842079367	7.51247537325641	2.9909234273588	0.79597889734646	16.9772471646643
gene-LOC106783940	607.908536966531	441.638970530123	468.083837863587	474.934763451186	628.47848930982	617.68073357493	573.45228682524	611.643840894874	577.084700576184	601.148888239705
gene-LOC106783811	342.994266270107	306.246001462494	378.925011603856	357.779511610199	348.851103486465	301.521874683497	354.338421771927	343.956194146262	460.871781563601	341.088329399165
gene-LOC106792039	71.1085673974611	9.67092636197349	26.1327594209556	1.40305690827529	0.910838390304087	0	5.00831691550427	2.9909234273588	4.77587338407876	0
gene-LOC106783577	0	2.41773159049337	4.61166342722746	0	0	1.46369842079367	1.25207922887607	0	0	0
gene-LOC106792109	54851.1968905122	4912.02468135237	13193.9690652978	310.075576728839	2.73251517091226	1394.90459501637	702.416447399475	608.652917467515	6.36783117877168	6.1735444235143
gene-LOC106792180	860.274236945755	693.083055941434	672.534249804005	649.615348531459	755.995863952393	646.954701990803	667.358228990945	665.480462587333	745.036247916287	722.304697551173
gene-LOC106790239	1.39428563524434	16.1182106032892	12.2977691392732	11.2244552662023	8.19754551273679	2.92739684158735	3.75623768662821	2.9909234273588	7.9597889734646	10.80370274115
gene-LOC106793447	291.405697766066	217.595843144404	292.840627628944	258.863999576791	466.349255835693	127.34176260905	190.316042789162	110.664166812276	260.285099432292	493.883553881144
