	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-LOC107064227	156.753978182252	0.105421584009699	0.206443232234469	0.51065652706874	0.609591586621594	0.791731634618763
gene-LOC107064169	669.242231359057	0.428529740757999	0.156087817395047	2.74544002158362	0.00604298124462586	0.0486848410233086
gene-LOC107064158	4536.48286528872	0.131562384471572	0.082129370254493	1.60189204013012	0.109179484989264	0.30778189292542
gene-LOC107072482	300.005301304904	0.614433037488341	0.367569962295977	1.67160840252116	0.0946015667872444	0.282167720975518
gene-LOC107071655	2288.6832248733	-0.0663927439717195	0.0840251693155776	-0.79015305190716	0.429438390260418	0.661393295390271
gene-LOC107072269	267.921524384971	0.0218819593798655	0.0647512901569636	0.33793858511269	0.735409469600473	0.870470026443878
gene-LOC107072336	965.826500228434	-0.0246191411026869	0.0811269968333082	-0.303464223546594	0.761536108219031	0.885387492895946
gene-LOC107072717	2278.26950185479	-0.0034293711547327	0.0738547002363552	-0.0464340271337881	0.962964316021589	0.984144558221548
gene-LOC107072883	964.941735777061	0.102351170949269	0.0712522648951984	1.43646200018782	0.150870921801426	0.370316385230096
gene-LOC107072648	308.978740375098	-0.248029095966955	0.0621098587232178	-3.99339333667229	0.0000651343859135699	0.00180802904482681
gene-LOC107072822	279.804884817448	0.113667048949815	0.073861553624278	1.5389203634684	0.123823739152383	0.332176386813367
gene-LOC107074074	3668.73679785241	0.263011488933023	0.109325095357357	2.40577415526877	0.016138237999607	0.0947113396495331
gene-LOC107074082	69.372211827959	-0.128219090419812	0.119490843875385	-1.07304531679037	0.283250784101403	0.526774015801027
gene-LOC107074032	1247.94306392161	-0.112534693908119	0.091574189541851	-1.22889096230209	0.219112690429591	0.458467526405487
gene-LOC107074088	4346.33335302902	-0.0741395195739542	0.0551934040544213	-1.34326774809635	0.179185291438587	0.406744522005986
gene-LOC107074105	2261.29600071199	-0.38187098065764	0.145587238313936	-2.62297015233022	0.00871669085732449	0.0628578105210707
gene-LOC107074112	993.532027598853	0.134938565613807	0.0800096110310669	1.68652945408536	0.0916938668672612	0.276895268496869
gene-LOC107074125	3487.67365993035	0.110757245170326	0.0875945464851319	1.26443083062398	0.206075432789654	0.442768023768202
gene-LOC107074116	179.72949241861	0.0171370811019475	0.172379776965484	0.0994146842722674	0.920809024157453	0.965879924544382
gene-LOC107074132	150.18840172879	-0.431089656352938	0.236444303189264	-1.82321862078389	0.0682702859187637	0.232136349224889
gene-LOC107064581	2842.85807260364	-0.252810125815857	0.169245566907906	-1.49374740168776	0.135241653943643	0.349788856654336
gene-LOC107064597	218.571324376097	-0.549475625266077	0.213909462969833	-2.56872986186482	0.0102071992189379	0.07023831372433
gene-LOC107074670	482.098069758038	-0.225198083682635	0.219451805085716	-1.02618469506175	0.304804534119715	0.551828910069014
gene-LOC107074348	1270.71419346736	0.438533371562609	0.231854068527154	1.89141978119418	0.0585683300498382	0.210960479690806
gene-LOC107074685	449.853741001807	-0.269532984511435	0.0905378460541357	-2.97702006683782	0.00291064958467693	0.0293453887843796
gene-LOC107074693	2866.31329600877	-0.108625802243761	0.0811869533600103	-1.33797116098294	0.180905837969021	0.409134131332605
gene-LOC107065609	2.13594209979418	0.0822059302817167	0.655510965158479	0.125407406818652	0.900201024615733	0.958436774286661
gene-LOC107063673	1896.34692162927	-0.0843852933562775	0.0603281838526457	-1.39877065688555	0.16188176820748	0.38479325107503
gene-LOC107063696	50.0140386918695	0.0597327848911942	0.128389259644491	0.465247521923516	0.641754210745145	0.813353694947224
gene-LOC107063613	193.146905108812	-0.239888835251359	0.154265757580212	-1.55503618569809	0.11993745150869	0.325158609014989
gene-LOC107065295	28.1466916115721	0.0305569565488048	0.199278159048296	0.153338211747526	0.878131568357361	0.947747128967392
gene-LOC107065289	45.2808351645465	-0.341515845383366	0.163490301180663	-2.08890584283637	0.0367161997907037	0.158220172243246
gene-LOC107063717	5.25250940952125	1.69727709002005	0.490479410412809	3.46044513589581	0.000539283113689467	0.00874334920786763
gene-LOC107063734	23.8724931292551	-0.691605128593704	0.410843394740632	-1.68337896494678	0.0923017526856959	0.277416487555558
gene-LOC107063725	1166.43014631353	-0.599984856576484	0.319471756042302	-1.87805289584673	0.0603739292807255	0.215215537766215
gene-LOC107063753	85.0309845835715	-1.22388127428674	0.362064473636559	-3.38028545577567	0.000724105822408738	0.0107929134227088
gene-LOC107063742	43.249179343478	0.0274068263719582	0.175424236519438	0.156231698171999	0.875850391977431	0.946635779229719
gene-LOC107063735	229.137496795696	0.113497128759884	0.078445671193969	1.44682462438551	0.14794604822532	0.36675931741684
gene-LOC107064754	530.23936984227	-0.0247516940642837	0.120917759362908	-0.20469858352235	0.837807627160904	0.925916418501838
gene-LOC107064846	549.566629434288	0.0881197933136221	0.133618638011592	0.659487288786595	0.509582905943471	0.72121739052018
gene-LOC107064988	30.3951998652728	-0.685355783642151	0.301525987385158	-2.27295759674175	0.0230287353620521	0.117924338674773
gene-LOC107064999	1783.96546435997	-0.133936988502753	0.213772490832865	-0.626539869470245	0.530960894561088	0.735374626263075
gene-LOC107070209	16.3940590541022	0.12906756348292	0.229471635626807	0.562455412540938	0.57380577410091	0.767105313505459
gene-LOC107074068	1.98606310778453	0.0461928191562178	0.49221500433313	0.0938468326840247	0.925230828717328	0.967766561518297
gene-LOC107065217	25.3910538742112	-0.0656838844987733	0.217702460494146	-0.301714019904426	0.762870079730084	0.886269436033852
gene-LOC107065223	442.101305173877	0.312916525136133	0.0950822185075298	3.29100992854255	0.000998283898437575	0.0137938518984238
gene-LOC107064600	1041.52984410126	-0.0304284788920705	0.0869319476366952	-0.350026425489013	0.726318865921146	0.864838576848017
