SRR13281988	SRR13281982	SRR13281995	SRR13282007	SRR13281993	SRR13282006
gene-LOC108630428	9.3717493249066	9.43884453372131	9.37417955889648	9.31181851585618	9.58425806753277	9.18401700951002
gene-LOC108625396	9.84343368861731	8.81121673849222	9.00071173922079	8.40295405274161	8.20234940303217	8.66330384336016
gene-LOC108630323	12.0623975794332	10.8824376674418	10.9915619114768	10.0852755842415	11.3278303814204	10.3034661434494
gene-LOC108629901	10.1448726131813	10.4668155226964	10.6018508819928	10.0067541564818	9.83564438314267	9.67165146858463
gene-LOC108623319	6.32497009057424	7.83026074875794	7.75783400663513	7.41304233201038	7.44680061954709	7.12456003245302
gene-LOC108629049	9.18677808865828	9.7449514097281	9.58548450835278	10.5220277790006	7.91692464372601	10.5284803961202
gene-LOC108621903	7.10768113718379	6.82838871287418	6.71481026398405	7.59525235868454	6.69830708428397	7.24195469939657
gene-LOC108629202	8.25957868600829	8.42485043830242	8.57438614866485	8.38135310027596	8.34443366970378	8.44955652836443
gene-LOC108627004	7.87749189005186	7.0450776135214	7.11158109451692	7.42465556261768	7.39528381482739	6.99657133592179
gene-LOC108631138	8.08877972897783	8.33453034141201	8.14764215738934	8.72939124020766	8.62613531384008	8.40438496800071
gene-LOC108632360	8.4943196775737	8.38039911739777	8.4365964751098	8.28521960049466	8.46546758669862	8.56599766957814
gene-LOC108629411	5.82204106723893	9.02829160159281	9.05202428319875	7.66209622247901	7.88623608318527	7.74346406244242
gene-LOC108624081	5.56977643174597	6.87770408388823	6.63773191361105	5.99640708974896	5.93507791558538	5.79802208042824
gene-LOC108632874	6.52049063291322	6.90964783531389	6.73137758910934	6.58080715812867	6.48213646688409	6.47569525338151
gene-LOC108622330	7.65027649128607	9.10194461140393	8.94750424868639	8.1453686978018	8.37566007991426	7.99722322022196
gene-LOC108632423	3.65740642801066	4.4499638906709	4.35290984005086	3.93145062546139	4.0651214217305	4.05784694544294
gene-LOC108627519	10.9822885832447	9.48151190648255	9.4177295958803	9.19072303129027	9.25823068719704	9.37262996304022
gene-LOC108621902	5.82204106723893	6.30731922818182	6.77993724821143	6.47156563465564	6.35996310318527	6.59949186561243
gene-LOC108624944	7.92908369485273	7.95692290016285	8.14764215738934	8.17992155383675	8.41912526224812	8.35774902773187
gene-LOC108624749	8.92466854687591	8.13485403989264	8.35451885276609	8.27673339562741	8.38883807292385	8.66330384336016
gene-LOC108624517	4.33628761425474	5.8483866154466	5.80403715634843	5.47540780576931	5.80383666543913	5.05103382682653
gene-LOC108624675	8.25957868600829	8.25672514774597	8.15675716453885	9.23842568341994	8.75379187025291	8.44144829649775
gene-LOC108629412	8.63537146258117	7.88705615223189	8.18672963478876	8.41460110553997	8.16196271789364	8.35774902773187
gene-LOC108624050	6.09687116602575	8.29914255071453	8.37287775302812	7.50340602721794	7.82281608385893	7.28814627487455
gene-LOC108624145	8.07358599514072	8.76876095697252	9.10627816126542	8.87130876318435	9.41872299151417	9.48132099623461
gene-LOC108624386	8.41222494458142	7.33014384967837	7.75783400663513	8.03138671436418	9.30989754464688	8.85244262696375
gene-LOC113464890	7.65027649128607	7.00135955133175	6.72311839626346	7.68155544693133	7.7833724300666	8.11416067859253
gene-LOC108625800	9.96345955725578	8.67070432831967	9.26479838250414	10.1015595110404	9.57084583978764	10.124087798244
gene-LOC108626424	8.85539122531837	8.82371322908342	9.02907686285227	9.47351355650523	9.14898553645155	8.96129580536229
gene-LOC108626192	11.2585170267275	10.8131548986664	10.8360201812316	10.9234646927651	11.022706393523	10.8698499057825
gene-LOC108628488	6.94901453020104	9.15892892292985	8.98716774631626	8.70431676094949	8.72292289526447	8.69433076530187
gene-LOC108629783	7.16648806874786	8.60463836330488	8.56984797662751	8.36543705776218	8.33084057337122	8.4535935750471
gene-LOC108628781	12.1705573303622	10.5815553541678	10.6989837324145	10.6611674403125	11.5999685893679	10.9004494855942
gene-LOC108631034	9.1510965405024	7.97199751191913	7.44134120336927	8.23572547756173	8.43615020748786	7.75005838990864
gene-LOC108631195	6.09687116602575	7.56756781072196	7.57463319430478	7.44760233689903	7.1371926370397	7.18446923032754
gene-LOC108632052	3.65740642801066	3.65740642801066	3.65740642801066	4.04438521422725	3.65740642801066	4.05784694544294
gene-LOC108632140	9.90040435826383	9.21374566914284	9.37677806800982	9.09271956808658	9.06672162770257	9.04923189000306
gene-LOC108632327	6.42618606154672	5.91513073353053	5.66685654897146	6.02824203952579	6.03143564764516	6.3923063048238
gene-LOC108632371	7.22295705851284	8.41936855224845	8.32518721255467	8.32896870310853	8.38445880779499	8.26887688623471
gene-LOC108632395	3.65740642801066	3.65740642801066	3.65740642801066	3.65740642801066	3.65740642801066	3.65740642801066
gene-LOC108632500	6.21569214630765	7.41005460456465	7.78555864216119	7.32486056990809	7.15800179714554	7.41004161554915
gene-LOC108632476	8.47133802678469	8.35190298952331	8.39870486506372	8.11711546293135	8.0335094652706	8.34910490108472
gene-LOC108632561	5.47310994377631	5.88218164965889	5.36084956988663	6.24119856082896	6.46533028566599	6.40939153396942
gene-LOC108632732	7.85987389524496	10.5593259318722	10.6439744971351	8.79765897735562	9.14640386578328	9.70247949437226
gene-LOC108632725	9.7173906687525	9.48413715341453	9.3492572760946	9.28248494470435	9.41443828485473	9.43515602623687
gene-LOC108632862	6.80785963221362	7.52723279949392	5.73727019020892	10.2938546428032	5.21668797387738	9.18158714067258
gene-LOC108633116	10.6196049014522	9.56323586286131	9.44398540320367	9.48275402170664	9.92869941541055	10.0027470406001
gene-LOC108633094	9.02271286328584	9.8258183371432	9.89283392193282	9.55111069102667	10.1197339750793	9.5145173239578
gene-LOC108621993	10.4420886832949	10.7293566632493	10.5675844149911	10.1746409277788	10.4675753587695	11.2108648679368
gene-LOC108632914	11.0419279210242	10.9860618385722	10.914099182137	10.2084468398502	10.176489578054	9.99723254528493
gene-LOC108633038	9.89610101507245	9.25122185560388	9.16909664240792	8.82553912274195	8.72984007435512	8.93844689267333
gene-LOC108633055	11.7661207181809	10.3479292914581	10.3031643036539	10.5872915020963	11.0907243593205	10.7405158636308
gene-LOC108632927	9.62158906797432	9.60483826414769	9.58098490602833	9.47814119187648	9.42937937623753	9.34249639041867
