SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117229605	5.79935758656719	5.80427278703939	5.87170585732969	5.63272264211676	5.79923809343267	5.84978798829357	5.90512154932835	5.91608295107982	6.50528402201901	5.88866953263837	6.05151743105305	5.75752651404219	5.68943837205691	5.98677894838602	6.0372306055432	5.82772741295978
gene-LOC117217749	5.11003696311135	4.87531671728104	4.87531671728104	4.87531671728104	5.22963325582503	5.23699829707176	5.35992730083639	5.27598617104802	4.87531671728104	5.14199541163208	5.36653204386544	4.87531671728104	4.87531671728104	5.13630048288631	5.13542300724383	5.27000385787148
gene-LOC117217631	7.94228570077191	8.04466634501303	7.9569126529834	7.67520570545264	6.8490078796408	7.31271023612833	7.01018416946109	7.80379079966394	8.09846568942566	7.14057298726059	7.28776882678653	6.96533890622305	7.36457544834904	6.84247873492374	7.46158428766569	7.90496219355537
gene-LOC117217835	8.63790513675359	8.59658022160452	8.68651519827944	8.63566292450987	8.75828628098315	8.6558180575572	8.92464450136722	8.66645507844749	8.42666169857688	8.39114685727219	8.36035392384834	8.45007705440387	8.56930837523955	8.59913751476226	8.50162573389467	8.8322480833981
gene-LOC117218657	10.0370300974928	9.51912925403073	9.92702187298281	9.75224375821242	9.8590793537828	10.0012794980322	10.0279797973818	9.99341962773215	9.59269088270252	10.2257751965209	9.6034874008685	9.94699250552804	9.8143751207294	10.0492067087161	9.69138065430474	9.80476480652333
gene-LOC117218407	7.02162742896432	7.16204286236921	7.64420350174815	7.13827111847699	7.05732201312223	7.29517516524041	6.85672643934353	6.97621561720804	6.87355066315586	7.57719565554144	6.96703385207055	7.56325744660971	7.10713294908201	7.47659498846606	7.48553282369903	6.96277962051262
gene-LOC117220439	8.57708605857681	8.56977250202864	8.25933520651657	8.12461582527692	8.3430165816566	8.19534814177555	8.27082670147936	8.57407308383519	8.65617363748849	8.21517855038887	8.37045345995059	8.34107891748799	8.41451863326365	8.17388799848292	8.31775322534327	8.21845699597348
gene-LOC117221673	7.35057250265331	7.43786863458278	7.35886762903091	7.40512301848666	7.00567320407074	7.18485888241382	7.30373737024008	7.18027410400289	7.24684149350648	7.40318759020014	7.2767636751792	7.49344213943711	7.02015754060657	7.35942901307135	7.22459184709285	7.16308379818942
gene-LOC117221000	8.04929470347905	8.24715678602977	7.97396236867427	8.17652807077906	7.93999527024328	7.96556752837148	7.83775534864092	8.22141427020066	7.68224154760988	8.03672616410985	8.0687787771683	8.00290777395742	7.98851055532472	7.94761765065588	8.00675427929484	7.96446598659321
gene-LOC117222476	9.10942520177033	9.22418340427347	9.51645839814546	9.17429233920484	8.47969082649199	9.54208895700816	8.49394478482752	9.60705039342375	9.56979307086086	9.97621007301059	9.53599618424794	10.1241863795341	9.6411832674323	10.042629601896	9.40166660498511	9.39926896474095
gene-LOC117221889	6.94661987822048	6.38977620468169	6.88786055727901	6.54915383661261	6.47672505161677	6.68934354194971	6.45783002541114	6.59214889245972	6.44208955982033	6.78428853467868	6.65133849670408	6.77027946949848	6.78659888621825	7.25968404711524	6.56303545480202	6.60554475880064
gene-LOC117224285	7.76993572810249	7.84368258437061	7.74093924203925	7.641661681077	7.49383295793669	7.6089543539761	7.71847423107153	7.70292429699227	7.84626754831389	7.68205034350171	7.88259731252986	7.82874906111496	7.53557510286672	7.53160842330713	7.70452004583871	7.73266330327309
gene-LOC117220941	8.23035585834572	8.49888132260983	8.39979844469785	8.49475782307546	8.46878986929499	8.30186923199218	8.31732725753145	8.39887651348727	8.25561638114134	8.39114685727219	8.27686069306905	8.46447620874851	8.38561014670532	8.24499357972799	8.20898892278031	8.26629185714178
gene-LOC117225226	8.30752078232579	8.57577348213449	8.29127213351371	8.3670003132757	8.58770256434439	8.29758714846565	8.07992258899891	8.73007513642815	8.52568211824129	8.27314224392666	8.20520286328791	8.34107891748799	8.33464138710627	8.62767972247788	8.343688612269	8.28188440794122
gene-LOC117224923	8.40761847664966	8.40752462397704	8.16883201262227	8.27927806441645	8.33502387865577	8.11472699915605	8.11554148715606	8.17046437994688	8.49110311760893	8.39114685727219	8.43440641982245	8.39849996234778	8.32160801062386	8.45914423608532	8.38588824251448	8.44296408939743
gene-LOC117224854	7.88555647130243	8.20113982561792	7.61527539369001	8.6221827142362	7.46425773489455	9.02927725907929	9.83535497336934	7.83341159318599	8.37444025222072	6.69623449023215	7.55543355968335	6.58304400297688	7.70124117838562	6.72010993105436	7.35264595532593	10.1121537254169
gene-LOC117225533	9.88837265547965	9.76113470512719	9.89498040339107	9.99932156398156	9.75586515513033	9.89982347848488	10.0093678846485	9.80214327780797	9.59916672237307	9.78202824396266	9.94294460320856	9.52174774766823	9.76902523980937	9.74166569392527	9.74389445986899	9.93601783420193
