F03BL	F14GR	F38BL	F42OR	F45OR	F47RD	F48SL	F51RD	F65ORWH	F67YLBL	F69OR	F71BL	W01RDYL	W08RDOR	W09RDOR	W13YLSL	W28ORYL	W40GROR	W46ORYL	W49RDYL	W54ORYL	W56YLBL	W58BLWH	W70RDYL
gene-LOC107072336	10.0575326961523	9.86949248969786	10.3550400903557	9.95552015731062	9.82839234647278	10.0362664974495	10.0291119450158	9.85518381398794	9.75901308840258	9.83583356861608	10.0826219489797	10.0713469056209	9.86505613951932	9.80520315116583	9.92037624140536	9.82243281510742	9.9102503554899	9.85742239020223	9.78618865375424	10.2628280355103	10.2175207358658	10.3746978082103	9.90282215698307	10.1341970716907
gene-LOC107072717	11.5878776600653	10.9539614797386	11.2959732582418	11.2372651952196	11.1622382381916	10.8760164024808	11.1563139411941	11.3241358419979	11.2971655273131	10.9129468377802	11.1999115179965	11.1796816616667	11.0301668349562	10.9514625109064	11.0069801234413	11.0153699719346	11.177822769292	11.0707710266592	11.2123364319165	11.2388931456722	11.4006416226757	11.5061435165395	11.2876831273256	11.2298912810356
gene-LOC107072648	8.30266010362099	8.3704701358282	8.5626351838988	8.33683282371803	8.39256174937855	8.36703816749889	8.51062680657753	8.34913972666367	8.37441739996419	8.33515800483407	8.40130048474609	8.28701379621446	8.73122118601458	8.46551000494432	8.39913491411411	8.56304595694679	8.53446311444651	8.7529619767261	8.74539020605696	8.62113425744486	8.39351734713383	8.48640292484211	8.69790839489929	8.65485547986565
gene-LOC107074132	7.92620382420522	6.88242810238178	8.1506012449785	7.30090825094606	7.72025999097436	6.41465529941215	7.33217026995756	6.80608513358463	7.3392532494516	7.83418205709507	7.20206060596827	7.76920324038679	7.54380748322471	7.23650642019952	7.3628767193227	7.8305667888342	8.03948973623635	7.07376987781876	8.11526285540807	8.25428030489356	7.37673693118052	7.99585507509639	8.31669209341478	7.73511819483097
gene-LOC107074693	11.853880816151	11.2458307676452	11.7273674822558	11.3133390655898	11.222790037915	11.7161289273073	11.4477888739115	11.4411653839728	11.2493364024588	11.3009059152367	11.4528440854797	11.4452875041008	11.8183857354234	11.4980622231129	11.573779925023	11.5123190541023	11.4936740731855	11.2551205188099	11.258435554705	11.5469843816078	11.7586549386045	11.7844429546942	11.4568823151148	11.6513484468764
gene-LOC107063673	10.6779877946922	10.8758074764727	10.9302783786629	10.8704157873163	10.8548849960117	11.0535730296096	10.8413371176502	10.9299683158425	10.7702483740451	10.9490913293306	10.8592482491744	11.0490327444391	11.1498733245074	11.0011952238244	11.0432415325831	10.998000394805	11.101997923695	11.0759537663866	10.9826180506278	10.8741631464397	10.9474123237973	10.7816316399518	10.6902944222164	10.8706406153479
gene-LOC107063696	6.34736189871041	6.68511324916655	6.71598354287123	6.57071211870518	6.41948599254334	6.91999153601375	6.46199715296927	6.69758659702159	6.75343740966882	6.4204055582591	6.45424884449805	6.5809698059081	6.67667620927829	6.57357560690425	6.46666166560892	6.74282219280945	6.50738313560375	6.64422066218352	6.40318137225502	6.78694356594178	6.58402275702116	6.34264757713101	6.42042287895879	6.48150289139329
gene-LOC107065289	6.07089577400564	6.39450340144316	6.03991363509525	6.23029073539815	6.46227511737782	6.49023312356711	6.69215397118982	6.3001809650341	6.42132065631942	6.68476717834124	6.39146027525155	6.45803925945018	6.55983234951468	7.01461984169637	6.64118621302363	6.73201186917559	6.47585912914336	6.81253574604322	6.51425087131911	6.43432994756895	6.4219269644588	6.43669255471286	6.27286858086498	6.51375634303113
gene-LOC107063742	6.75929368518741	6.41366361002058	6.13793660591541	6.53308238241424	6.39750234513929	6.22446302465513	6.30774695414505	6.61398370145138	6.62723132820784	6.4204055582591	6.66017657683955	6.47410171331234	6.52881692580059	5.96264292439724	6.36112872198702	6.35441452681134	6.52284409319729	6.3198546078959	6.19097278551568	6.69778977392322	6.53761391908559	6.71817049782811	6.85431952656908	6.05141109608469
gene-LOC107064754	8.88447841262596	9.20650937131418	9.06826652480119	9.20781624332917	9.43831097051331	9.19098882701088	9.41879340244471	8.90441999208702	9.22459610014199	9.1440524692263	9.16888486822977	9.16774849254812	9.17415482994927	9.15434891076669	9.33980558915574	8.97299684787365	9.0010416425724	8.62391115354531	9.13718216410985	9.43634625286692	9.66115601054004	9.58724800681346	8.54370302099322	9.26493794073948
gene-LOC107064988	5.41506653726172	6.0340522701282	6.0900521951822	5.77399871476926	6.06519052985456	5.00918651207727	5.94521684460493	5.71780900840996	6.66459462177912	5.81480521436855	6.32514948847659	6.47410171331234	6.18524468382659	6.39042072561343	6.52304912303573	6.29377052841119	6.26687589829988	6.39579506966266	6.19097278551568	6.31408629164954	6.43914860086887	6.10788092820512	6.75240749870133	6.22726147594438
gene-LOC107064039	8.10740927296043	8.7783961568227	8.3210574971783	8.65326402099733	8.96706204402639	8.89089256255977	8.65143775942122	8.70737548818007	8.82362192223302	8.85295759736348	8.6775387412115	8.65926168805311	8.77764111163955	8.70753220641181	8.78002272129603	8.78633640166079	8.47344611708959	8.70003613118904	8.72795526292996	8.56787098169425	8.46423921433082	8.3323135441951	8.81332362526266	8.78491882270929
gene-LOC107064060	7.80998682738831	8.18518471356477	7.96257003027126	7.85300332550322	8.04528860001062	7.96716873369249	7.57731109645878	7.9225813056112	7.82730720481979	7.94802397695126	7.65449155295396	7.91209103383763	7.88449194216497	7.97217974714189	7.97428311932887	8.04897767702942	7.89828672409383	8.09676905527752	8.13667109587279	8.02048264394475	7.83877139789298	7.75621068002404	7.82455017395493	7.78504159051275
gene-LOC107073937	7.189030568099	7.9720142664851	7.75889963833231	7.40305515483882	7.66217850495989	7.83334131342834	7.78557290813189	7.88944153694756	7.79587958916565	7.97892925600421	7.88134972549521	7.65648313659406	7.9071333517167	7.79943409295674	7.87254677988855	7.96387432030323	7.63262781171417	7.80639154400112	7.94953571163892	7.79386210823062	7.48841633110248	7.52056274062344	7.95637004607994	7.64321866786377
gene-LOC107073967	8.12689880936784	8.26893318247466	8.59981442362667	7.97571903203488	8.25477673219582	8.37618033069589	8.02993774522084	8.46545785417553	8.29852479234204	8.22391799649531	8.1933055343466	8.03185638889433	8.2001895938632	8.10976747375888	8.26480879811085	8.52809807913125	8.28557252618929	8.3112898927616	8.25874958147894	8.05007713226407	8.012364620384	8.08224465514633	8.21559339874753	8.05224104374816
