Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata
Total Genes	3718	3718	3718	3718	3718	3718
Num Genes with >1 read count	3210	2996	3348	3405	3392	3609
Prop. Genes without Zero Expression	0.8634	0.8058	0.9005	0.9158	0.9123	0.9707
Num Genes with Zero Expression	508	722	370	313	326	109
Prop. Genes with Zero Expression	0.1366	0.1942	0.0995	0.0842	0.0877	0.0293
Prop. Genes with Low Expression	0.2066	0.2407	0.1716	0.1466	0.1326	0.0621
Num Reads: R Phenotype	6531822	7489627	22953972	17637863	28069621	55044239
Num Reads: NR Phenotype	8012318	12497281	20004531	20770781	33143027	61194282
Total Reads Mapped	14544140	19986908	42958503	38408644	61212648	116238521
N Samples	6	6	16	10	24	19
Mean CPM per Sample	2.42	3.33	2.68	3.84	2.55	6.12
