	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8
OG0000108	1757.44139659426	1545.72896381715	1039.93860229198	1246.28953980769	2590.6862158018	2205.90103799973	1198.44280773494	1730.44670517381	1242.34872824992	1618.60955999584	1755.86241732403	1807.78553748488	2016.17817643122	2059.15853718486	1817.64326117052	1892.8857424538	2265.01643439226	1463.1569201785	1701.89216967264
OG0000109	2245188.63492987	1868963.12823311	2025584.80023747	3707487.32887578	947845.972388085	1397700.65223199	2552414.75601756	1478241.46597681	2000656.2581745	1412464.32702546	1612266.23907667	2288564.14564174	1196665.66549236	1437956.8394972	1343202.69496554	1412302.1071822	1148546.51721213	2025060.23643811	1743661.56848883
OG0000155	732.17970916091	544.103886437994	631.572468221226	631.313334303334	596.802539895435	598.744567457069	536.848915732566	583.131067315262	548.585022723386	519.967837926125	501.529647590237	523.649416507037	591.86858099928	577.677986530373	555.638739798447	635.066684968235	550.566997457278	530.533997774648	500.9782637425
OG0000161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000187	7609.62670467953	8711.13056377613	7055.09566408571	7432.22666576329	8596.86337529741	8636.10256376894	7868.95765487672	7214.40493750687	7584.99118186304	8030.1484647462	8179.10419193814	6969.31744168598	7400.37042092977	7721.59594388103	6998.5508686973	8043.88481168215	7099.68288081398	7383.59721714942	6891.81189298716
OG0000200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000224	220.599338484636	119.39298010616	120.480691728949	94.5219594797968	746.684456307531	356.095453277099	132.541537286671	432.611676293453	228.477927034469	91.2040360878485	227.875539675888	133.628378071298	222.454007484423	306.238932618511	206.023352958975	489.933716796824	565.748072754814	182.695166150969	141.600296370867
OG0000262	558.85165749441	606.078868477833	750.784942142502	806.354000006662	549.56702684435	623.167043234923	656.024919847472	524.186410691337	628.314299344789	667.781275723672	603.259799231258	584.488352864701	599.921214754372	572.706575286566	528.882460193386	553.264466544349	529.313492040729	603.13338694381	545.788484113027
OG0000263	3180.83236634037	3144.3189417271	3178.1538260289	3304.76776847882	3282.86815705038	3542.83463138742	2826.81026582833	3349.31959602376	2767.91488688632	2734.02443812769	3008.16058402501	3060.41578070607	3652.87598715372	3209.5430990018	3154.56536543677	3090.89242517781	3587.79412865083	2699.73992251039	3279.21192671522
OG0000273	1237.45724159477	1028.96698122026	849.705931141007	833.193568747839	1428.87426979531	1291.23992902913	943.383883040422	1288.36178049437	978.17112511632	1194.0390471731	1241.10785002046	1132.03878008368	1034.76343752935	1248.81850444432	1235.24824176701	1353.69477585334	1093.03742142254	1290.83309533741	1303.97741278236
OG0000274	1588.31523708938	1409.93084140633	1516.78849797708	1738.73727931972	1700.47846983905	1557.52369718767	1512.53283727142	1579.927314152	1317.31804805811	1220.24710352018	1799.60638252967	1643.73769123475	1289.42798003414	1578.9202110331	1450.19035459434	1485.63383782735	1551.5058954081	1557.2967874528	1344.30661111583
OG0000301	681.757003221565	722.737658199882	590.989498375686	742.172422582109	693.998691750552	653.104271607777	1016.89431548513	565.237153697285	872.262086022217	843.899414376069	773.149152471764	567.105799619654	666.355443233883	697.986138630502	791.985876309825	608.678872573433	563.723929381809	580.795113353299	577.155638372397
OG0000317	1403.43198197844	862.181367789519	2105.24156073742	855.365386403594	2126.50646254979	1427.53310030554	653.797330985511	2316.73552195107	1511.28628819675	789.386657174137	864.706288948684	1922.94495273331	972.355525927388	974.396603786171	1241.49137367486	1632.52599349175	1622.35091346327	1030.75176710503	1378.36237859743
OG0000320	640.788554645847	555.040647974436	663.277913413055	337.245015921744	970.1447680492	906.782890977746	432.152239220406	815.751944348968	568.814839179563	440.295346630993	623.605829559462	521.476597351406	736.81598859094	777.528718531414	561.881871706295	849.687559112625	812.693564261387	550.478884909033	573.570820742754
OG0000326	631.334297282219	1099.14453441243	970.186622869956	721.167542697709	1419.79051728549	1591.40003455695	901.059694663166	874.696600972894	468.855746101983	1234.92361507455	1398.78958506405	1180.92721108537	1518.92804205427	1594.82872701328	1452.86598255485	1517.29921270112	1543.40932191608	1487.88858022514	1609.58311570935
OG0000328	210.094608080605	281.621609563384	276.471482072746	235.721429813814	302.488958577138	268.647233556396	248.376158108635	251.567373805682	216.578035001424	285.143653056262	326.553786767679	263.997527409149	313.046137229211	189.907909513427	296.994703616184	290.265936342822	334.995728232278	282.419601822895	339.6614704086
OG0000329	14455.5595089861	5864.83837391707	8101.37535541605	9544.38403191677	5668.26156613016	9854.0750654645	7844.45417739515	9115.37011362847	10474.2849674864	7367.60880029194	11839.3550479821	11673.4709136268	7381.24541576142	7346.75153609798	5769.54575883813	7074.57250304642	9688.562254887	13771.5456685503	8244.18434376968
