	F03BL	F14GR	F38BL	F42OR	F45OR	F47RD	F48SL	F51RD	F65ORWH	F67YLBL	F69OR	F71BL	W01RDYL	W08RDOR	W09RDOR	W13YLSL	W28ORYL	W40GROR	W46ORYL	W49RDYL	W54ORYL	W56YLBL	W58BLWH	W70RDYL
OG0000108	865.791123453737	1680.99922440823	1601.49249094014	1687.14902316564	1881.44439142894	2083.93028861782	1266.49181742672	1691.73113112177	1762.5577570495	1893.3070480389	1938.15446711277	1899.63012497969	2494.27530724904	2225.32526010326	1748.08471997754	1646.41768857819	2363.74626341654	1835.01579917504	1542.5202131423	1524.54358291633	1410.08804645587	1280.30159351814	1337.06355479332	1567.44732529918
OG0000109	3.62255700189848	2.03757481746452	0	0	0	0	0	0	2.40130484611649	0	2.2576056693218	0	0	0	0	1.50839916498231	0	2.92821670081123	0	0	0	0	0	1.85168024252709
OG0000155	656.890336344258	493.093105826413	918.358913103375	527.58485754348	520.1987314233	666.899834527339	583.757791445488	504.81689344017	504.274017684463	532.409625710797	546.340571975876	601.068924744523	499.787500817004	520.043162614464	535.885620528664	527.185508161316	449.46377975618	591.499773563868	467.151582111352	447.410826182261	537.531909171794	510.649965506598	427.346787746014	464.771740874299
OG0000161	3827.83523200606	5552.39137759081	3620.50995197851	4710.09800479243	4824.51884698706	4644.06709414931	4998.29984405488	3447.23998539765	3396.64570483177	4871.34891953346	4367.33816730302	4325.53349141486	6207.24886742313	7801.69170259571	6142.50821964407	4367.56978220626	6058.73564960489	4905.73904609241	4596.89423359901	5065.95880354403	5360.38764979651	4801.74375565164	3392.17975938306	5804.09172020115
OG0000187	1294.46036867839	1129.83523628408	1276.09744382134	1121.39845252327	1282.21319967602	1222.12291951298	1066.51942520144	1311.22674891419	1056.57413229125	987.812372889859	1126.54522899158	1255.30586532102	1089.08918088481	1170.61924757192	1190.40856969846	1092.83519502968	1092.97316723842	1026.82798975114	1035.5023034547	1002.27070904609	1341.03012756922	1196.14647920266	844.605990373559	1020.27581363242
OG0000200	161.807546084799	111.047827551816	60.7665449438733	117.86470221716	75.4936934491863	124.319400433216	216.131777455596	59.4538097199343	93.650888998543	154.013757063473	97.0770437808374	92.8187395032772	134.27126887621	135.754239236708	163.832501456805	148.577317750757	210.29128651243	76.133634221092	208.531559629575	190.237674124741	297.695623308685	201.808866368208	132.972712925262	170.354582312492
OG0000224	3038.11780559219	6011.86449892906	5498.39221185692	4550.70002655589	7031.52979141562	5692.35356390397	4362.02405061083	6063.20761307476	3812.07144320992	5511.30263422823	5046.87747376888	7016.37578419919	2609.89778878133	4138.41576996209	5031.19120237303	3443.6752936546	2479.27109034182	2187.37787550599	1941.18348890472	2166.59573308733	2203.3208985323	1219.84063760216	1070.20107575021	2472.91896389492
OG0000262	247.541395129729	224.133229921097	267.568818865765	235.729404434321	261.868749151865	246.531692384514	269.659741031047	274.568503070242	240.130484611649	261.557846047449	260.753454806668	218.078980192166	278.799370791575	231.826470081147	234.046430652579	316.763824646284	222.024276747029	252.802708503369	242.264606040241	294.163810915109	293.029547708235	331.718217593086	239.350883265471	286.084597470435
OG0000263	724.511400379696	756.959044688068	2452.22412015437	720.658464984924	745.500222810715	764.880378936569	841.297993553791	618.319621087317	539.092937953152	333.2539053701	926.747127256599	941.704687193444	838.262991109117	701.744990515904	763.475597921861	679.533823824529	818.601703290874	679.346274588205	735.993739869088	655.263099762997	1114.25885338737	852.989702382221	456.69248990883	700.860971796502
OG0000273	850.09337644551	928.115329355088	901.69711852199	1037.20937951101	1040.3974628466	962.948576236948	1061.46961731697	831.272357720536	816.443647679606	1054.19761300342	980.929663320322	919.175866925658	1029.41306138428	1079.7683336212	1019.31255832485	869.592118612299	888.097106988114	979.000450304554	845.370587321855	841.977853996539	794.166067196523	887.305380064265	784.08047966275	948.060284173868
OG0000274	1232.87689964612	708.05724906892	640.008933037891	753.21157321633	678.263652082534	612.115013997447	798.879607324188	725.336478583199	748.006459565286	736.87616526058	669.380080953914	659.643857440766	668.559026279462	690.258093349721	724.736878365572	621.46045597271	777.0849686146	604.188712600717	771.771213334947	856.950263534134	740.972805351397	843.185223044495	808.840915862627	754.559698829788
OG0000301	152.147394079736	92.7096541946355	209.742590612724	111.12957637618	149.807797938229	114.837412264581	144.424505496029	89.7212037591736	166.890686805096	62.4021257067518	118.524297639394	138.77753284956	48.4868470941869	99.2050209806709	83.1268357145367	131.984926935952	59.5674888833491	81.9900676227144	80.7548686800805	170.861614723147	172.644797216635	251.648303001652	128.387446962322	168.502902069965
OG0000317	1094.01221457334	268.959875905316	738.019489398977	523.094773649493	471.835584057415	315.012718046879	747.371566902527	261.596762767711	274.949404880338	403.62225989048	572.303037173076	410.0245288737	307.704991174648	590.008808990306	1133.91460367887	285.087442181656	373.650612086463	686.178780223431	271.908798340524	524.034333815837	530.999403331165	930.608497139224	385.162340886965	669.382407673542
OG0000320	730.54899538286	947.472290121001	623.347138456506	798.1124121562	1189.02567182468	1268.47930611519	913.005265513358	678.854409165796	545.096200068443	1035.60974577163	783.389167254665	823.653668990246	978.128896188502	852.118917055026	774.774391125779	563.387088120891	643.509387482241	722.29345286677	672.616501158139	496.731704659046	696.178479587081	697.752112868216	390.664660042493	804.555065378019
OG0000326	420.216612220224	723.339060199904	528.276898786253	591.568553032795	896.487609709088	903.949538743218	741.311797441156	544.813092706307	506.675322530579	706.33895480834	626.485573236799	730.834929486969	919.38521605516	774.843427027977	755.405031347634	589.784073508081	638.094161220119	883.345371411387	703.282906986017	579.52032210222	711.10992150852	581.732440705116	442.93669202001	676.78912864365
OG0000328	399.688789209466	406.496176084171	305.792935846588	399.617466564849	296.076828996028	410.88615397419	351.466628759567	318.888615770557	294.15984364927	416.899307913193	233.662186774806	266.741231970583	290.921082565122	239.136313732354	292.961566644435	263.215654289412	328.523726568774	264.515575306614	286.219787726868	324.989359963099	243.569146343469	301.487739635095	302.627553554044	301.823879531915
OG0000329	88738.1563185051	50561.4003079733	164897.860549709	96138.3087751305	128118.69572807	53187.6323005975	88414.056364569	79833.4947135693	45192.5572039123	51440.5948591998	99431.72649394	88247.1912945381	65441.39210791	72735.0328562704	86580.2311516484	36950.500144989	89137.3318876699	45034.0207140095	38259.4079108614	61272.384207677	107499.849328518	83261.2726158646	33219.3348483081	112083.130920286
OG0000335	74.8661780392352	84.5593549247775	204.84206279467	80.8215100917671	200.530123224401	68.481025662365	74.7371566902527	283.216329938596	51.6280541915045	73.0237641249223	68.8569729143149	55.8714742641086	70.8653919068886	95.0279674656953	112.987932039176	88.995550733956	43.3218100969812	61.4925507170358	64.3994522385452	59.0089081775817	137.182622653218	62.9120757504129	72.447202214453	51.8470467907584
OG0000355	144.902280075939	193.569607659129	168.578156941068	203.176296202915	205.248479064975	203.335968505176	178.763199110469	206.466866481954	244.933094303882	215.088177967953	191.896481892353	209.968604895763	178.095919134417	181.701827901439	162.21838814196	193.829292700226	194.045607726062	197.166591187956	197.287210826019	164.696504913549	182.910163537625	125.007111556015	192.581170443483	197.203945829135
