




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	Ceratina_australensis_DEG_in_Dmel_uniq.txt (Drosophila melanogaster)
Reference List:	Ceratina_australensis_in_Dmel_uniq.txt (Drosophila melanogaster)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1268
PANTHER GO-Slim Biological Process	Ceratina_australensis_in_Dmel_uniq.txt - REFLIST (7985)	Ceratina_australensis_DEG_in_Dmel_uniq.txt (801)	Ceratina_australensis_DEG_in_Dmel_uniq.txt (expected)	Ceratina_australensis_DEG_in_Dmel_uniq.txt (over/under)	Ceratina_australensis_DEG_in_Dmel_uniq.txt (fold Enrichment)	Ceratina_australensis_DEG_in_Dmel_uniq.txt (P-value)
pattern specification process (GO:0007389)	25	19	2.51	+	7.58	2.78E-06
anterior/posterior pattern specification (GO:0009952)	19	14	1.91	+	7.35	4.89E-04
developmental process (GO:0032502)	277	87	27.79	+	3.13	9.69E-15
cell differentiation (GO:0030154)	173	54	17.35	+	3.11	2.85E-08
cellular developmental process (GO:0048869)	174	54	17.45	+	3.09	3.42E-08
anatomical structure development (GO:0048856)	241	73	24.18	+	3.02	2.49E-11
regulation of transcription by RNA polymerase II (GO:0006357)	509	135	51.06	+	2.64	1.26E-18
multicellular organism development (GO:0007275)	170	45	17.05	+	2.64	1.19E-04
transcription by RNA polymerase II (GO:0006366)	531	139	53.27	+	2.61	8.88E-19
nuclear division (GO:0000280)	120	30	12.04	+	2.49	4.64E-02
organelle fission (GO:0048285)	124	31	12.44	+	2.49	3.32E-02
regulation of transcription, DNA-templated (GO:0006355)	628	157	63.00	+	2.49	4.87E-20
regulation of nucleic acid-templated transcription (GO:1903506)	628	157	63.00	+	2.49	4.87E-20
regulation of RNA biosynthetic process (GO:2001141)	628	157	63.00	+	2.49	4.87E-20
nucleic acid-templated transcription (GO:0097659)	663	162	66.51	+	2.44	6.95E-20
transcription, DNA-templated (GO:0006351)	663	162	66.51	+	2.44	6.95E-20
RNA biosynthetic process (GO:0032774)	671	163	67.31	+	2.42	7.29E-20
regulation of RNA metabolic process (GO:0051252)	668	160	67.01	+	2.39	7.33E-19
regulation of nucleobase-containing compound metabolic process (GO:0019219)	682	163	68.41	+	2.38	4.31E-19
regulation of macromolecule biosynthetic process (GO:0010556)	681	161	68.31	+	2.36	1.65E-18
regulation of cellular macromolecule biosynthetic process (GO:2000112)	681	161	68.31	+	2.36	1.65E-18
regulation of biosynthetic process (GO:0009889)	686	162	68.81	+	2.35	1.94E-18
regulation of cellular biosynthetic process (GO:0031326)	686	162	68.81	+	2.35	1.94E-18
organic cyclic compound biosynthetic process (GO:1901362)	811	184	81.35	+	2.26	6.36E-20
aromatic compound biosynthetic process (GO:0019438)	807	183	80.95	+	2.26	9.35E-20
heterocycle biosynthetic process (GO:0018130)	808	183	81.05	+	2.26	9.96E-20
nucleobase-containing compound biosynthetic process (GO:0034654)	791	179	79.35	+	2.26	4.39E-19
regulation of nitrogen compound metabolic process (GO:0051171)	805	179	80.75	+	2.22	1.76E-18
regulation of primary metabolic process (GO:0080090)	812	180	81.45	+	2.21	2.24E-18
regulation of cellular metabolic process (GO:0031323)	844	184	84.66	+	2.17	3.25E-18
regulation of gene expression (GO:0010468)	771	167	77.34	+	2.16	8.65E-16
regulation of macromolecule metabolic process (GO:0060255)	875	183	87.77	+	2.08	1.98E-16
regulation of cellular process (GO:0050794)	1311	273	131.51	+	2.08	2.35E-27
multicellular organismal process (GO:0032501)	293	61	29.39	+	2.08	1.31E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	963	199	96.60	+	2.06	1.04E-17
regulation of metabolic process (GO:0019222)	922	189	92.49	+	2.04	2.68E-16
signal transduction (GO:0007165)	374	76	37.52	+	2.03	9.91E-05
macromolecule biosynthetic process (GO:0009059)	923	186	92.59	+	2.01	3.20E-15
cellular macromolecule biosynthetic process (GO:0034645)	923	186	92.59	+	2.01	3.20E-15
cellular response to stimulus (GO:0051716)	524	104	52.56	+	1.98	7.80E-07
regulation of biological process (GO:0050789)	1391	276	139.54	+	1.98	1.13E-24
signaling (GO:0023052)	414	79	41.53	+	1.90	5.59E-04
cell communication (GO:0007154)	420	80	42.13	+	1.90	4.54E-04
biological regulation (GO:0065007)	1533	288	153.78	+	1.87	1.24E-22
cellular biosynthetic process (GO:0044249)	1122	210	112.55	+	1.87	1.83E-14
organic substance biosynthetic process (GO:1901576)	1134	212	113.76	+	1.86	1.57E-14
biosynthetic process (GO:0009058)	1137	212	114.06	+	1.86	1.73E-14
response to stimulus (GO:0050896)	607	109	60.89	+	1.79	4.08E-05
nucleic acid metabolic process (GO:0090304)	1117	199	112.05	+	1.78	1.63E-11
RNA metabolic process (GO:0016070)	1018	179	102.12	+	1.75	1.75E-09
cellular aromatic compound metabolic process (GO:0006725)	1258	220	126.19	+	1.74	2.26E-12
organic cyclic compound metabolic process (GO:1901360)	1264	221	126.80	+	1.74	1.78E-12
heterocycle metabolic process (GO:0046483)	1257	219	126.09	+	1.74	4.81E-12
nucleobase-containing compound metabolic process (GO:0006139)	1236	215	123.99	+	1.73	1.05E-11
cellular macromolecule metabolic process (GO:0044260)	1525	261	152.98	+	1.71	1.43E-14
gene expression (GO:0010467)	1163	197	116.66	+	1.69	1.94E-09
cellular nitrogen compound metabolic process (GO:0034641)	1418	239	142.24	+	1.68	3.90E-12
cellular metabolic process (GO:0044237)	2250	332	225.70	+	1.47	3.39E-11
macromolecule metabolic process (GO:0043170)	1895	279	190.09	+	1.47	2.80E-08
nitrogen compound metabolic process (GO:0006807)	2086	307	209.25	+	1.47	1.04E-09
metabolic process (GO:0008152)	2407	341	241.45	+	1.41	2.02E-09
primary metabolic process (GO:0044238)	2192	310	219.89	+	1.41	7.10E-08
organic substance metabolic process (GO:0071704)	2316	327	232.33	+	1.41	1.54E-08
cellular process (GO:0009987)	3480	481	349.09	+	1.38	7.95E-16
biological_process (GO:0008150)	3836	497	384.80	+	1.29	5.07E-11
Unclassified (UNCLASSIFIED)	4149	304	416.20	-	.73	0.00E00
