Orthogroup	Apis_mellifera-longest-isoforms	Liostenogaster_flavolineata-longest-isoforms	Polistes_canadensis-longest-isoforms	Polistes_dominula-longest-isoforms	Total
OG0000000	5	29	6	8	48
OG0000001	12	12	10	10	44
OG0000002	0	42	0	1	43
OG0000003	18	1	4	15	38
OG0000004	1	30	0	6	37
OG0000005	0	3	13	21	37
OG0000006	0	17	8	11	36
OG0000007	7	13	8	6	34
OG0000008	25	1	3	3	32
OG0000009	8	11	6	7	32
OG0000010	25	1	2	3	31
OG0000011	0	31	0	0	31
OG0000012	5	12	5	8	30
OG0000013	18	1	2	7	28
OG0000014	11	1	14	2	28
OG0000015	0	0	3	25	28
OG0000016	18	1	3	5	27
OG0000017	8	6	7	6	27
OG0000018	9	1	14	3	27
OG0000019	22	1	1	2	26
OG0000020	7	2	3	14	26
OG0000021	19	1	4	2	26
OG0000022	7	6	5	7	25
OG0000023	5	8	6	6	25
OG0000024	0	19	2	4	25
OG0000025	18	1	2	3	24
OG0000026	6	1	15	2	24
OG0000027	18	1	2	2	23
OG0000028	14	1	2	6	23
OG0000029	9	1	4	9	23
OG0000030	1	14	4	4	23
OG0000031	0	19	1	3	23
OG0000032	0	2	13	8	23
OG0000033	8	1	9	4	22
OG0000034	8	1	1	12	22
OG0000035	6	1	2	13	22
OG0000036	8	1	8	4	21
OG0000037	12	3	3	2	20
OG0000038	4	8	4	4	20
OG0000039	4	1	6	9	20
OG0000040	6	1	4	9	20
OG0000041	7	1	11	1	20
OG0000042	8	2	5	5	20
OG0000043	4	7	4	4	19
OG0000044	6	5	5	3	19
OG0000045	0	19	0	0	19
OG0000046	4	6	5	3	18
OG0000047	4	1	3	10	18
OG0000048	1	1	3	13	18
OG0000049	9	1	2	6	18
OG0000050	8	5	2	3	18
OG0000051	18	0	0	0	18
OG0000052	14	1	2	1	18
OG0000053	18	0	0	0	18
OG0000054	0	15	1	2	18
OG0000055	0	1	2	15	18
OG0000056	9	1	3	4	17
OG0000057	12	1	2	2	17
OG0000058	6	1	8	2	17
OG0000059	1	10	2	4	17
OG0000060	9	1	1	6	17
OG0000061	12	1	3	1	17
OG0000062	7	1	1	8	17
OG0000063	5	1	4	7	17
OG0000064	8	1	6	2	17
OG0000065	8	1	5	3	17
OG0000066	0	1	16	0	17
OG0000067	7	0	2	7	16
OG0000068	11	1	2	2	16
OG0000069	7	1	2	6	16
OG0000070	5	1	4	6	16
OG0000071	3	1	9	3	16
OG0000072	0	2	3	11	16
OG0000073	8	1	1	5	15
OG0000074	7	1	4	3	15
OG0000075	2	4	4	5	15
OG0000076	4	3	4	4	15
OG0000077	7	1	5	2	15
OG0000078	6	4	3	2	15
OG0000079	11	1	3	0	15
OG0000080	8	1	3	3	15
OG0000081	1	1	4	9	15
OG0000082	11	1	2	1	15
OG0000083	5	1	6	3	15
OG0000084	9	1	3	2	15
OG0000085	11	0	2	2	15
OG0000086	7	1	5	2	15
OG0000087	12	1	1	1	15
OG0000088	4	4	3	4	15
OG0000089	0	15	0	0	15
OG0000090	0	15	0	0	15
OG0000091	0	1	12	2	15
OG0000092	0	0	0	15	15
OG0000093	1	6	4	3	14
