Orthogroup	Ceratina_australensis-longest-isoforms	Ceratina_calcarata-longest-isoforms	Liostenogaster_flavolineata-longest-isoforms	Megalopta_genalis-longest-isoforms	Polistes_canadensis-longest-isoforms	Polistes_dominula-longest-isoforms	Total
OG0000000	8	18	5	16	22	27	96
OG0000001	8	7	29	0	16	16	76
OG0000002	1	5	1	34	4	27	72
OG0000003	15	9	11	9	10	9	63
OG0000004	7	5	12	12	9	9	54
OG0000005	2	0	42	1	0	1	46
OG0000006	2	0	44	0	0	0	46
OG0000007	0	7	3	1	13	21	45
OG0000008	1	11	1	5	16	2	36
OG0000009	3	21	1	2	2	6	35
OG0000010	1	24	2	0	4	4	35
OG0000011	4	9	6	2	5	8	34
OG0000012	7	4	7	7	4	4	33
OG0000013	1	13	1	1	14	3	33
OG0000014	2	16	3	3	3	5	32
OG0000015	1	0	23	1	2	4	31
OG0000016	1	10	1	3	14	2	31
OG0000017	4	1	5	15	1	4	30
OG0000018	4	3	12	5	2	4	30
OG0000019	2	5	5	9	4	5	30
OG0000020	1	8	6	4	6	5	30
OG0000021	5	4	1	9	2	8	29
OG0000022	5	6	2	11	1	4	29
OG0000023	2	2	1	10	4	10	29
OG0000024	1	11	0	9	2	6	29
OG0000025	2	8	4	7	4	3	28
OG0000026	1	16	1	2	2	6	28
OG0000027	0	0	0	0	3	25	28
OG0000028	12	3	1	0	6	5	27
OG0000029	2	6	2	0	3	14	27
OG0000030	1	1	18	4	0	3	27
OG0000031	2	15	2	3	3	1	26
OG0000032	1	0	16	0	5	4	26
OG0000033	2	2	3	5	5	9	26
OG0000034	4	8	2	3	7	2	26
OG0000035	2	11	2	7	2	2	26
OG0000036	1	7	1	10	4	2	25
OG0000037	5	2	4	3	4	6	24
OG0000038	4	8	1	5	3	3	24
OG0000039	4	3	5	6	5	1	24
OG0000040	1	6	1	11	3	2	24
OG0000041	3	4	6	2	5	4	24
OG0000042	3	4	2	3	11	1	24
OG0000043	1	10	1	7	1	4	24
OG0000044	1	10	1	10	1	1	24
OG0000045	2	5	2	2	3	10	24
OG0000046	1	11	1	9	1	1	24
OG0000047	1	13	1	4	3	2	24
OG0000048	2	4	2	2	9	4	23
OG0000049	1	16	1	0	2	3	23
OG0000050	7	1	9	3	2	1	23
OG0000051	2	14	1	0	4	2	23
OG0000052	1	10	1	1	8	2	23
OG0000053	1	5	1	9	1	6	23
OG0000054	5	6	0	6	2	4	23
OG0000055	8	2	3	2	2	6	23
OG0000056	3	8	1	3	5	3	23
OG0000057	5	5	4	2	2	5	23
OG0000058	1	8	5	4	2	3	23
OG0000059	2	12	1	2	3	3	23
OG0000060	1	8	1	1	8	4	23
OG0000061	0	5	1	2	6	9	23
OG0000062	5	3	4	5	4	1	22
OG0000063	1	6	1	5	7	2	22
OG0000064	1	7	1	6	1	6	22
OG0000065	2	14	2	0	2	2	22
OG0000066	0	12	1	2	2	5	22
OG0000067	1	3	1	3	1	12	21
OG0000068	1	11	1	3	2	3	21
OG0000069	2	3	5	1	4	6	21
OG0000070	4	7	1	3	3	3	21
OG0000071	7	2	0	5	3	4	21
OG0000072	1	6	1	2	1	10	21
OG0000073	0	15	1	1	1	3	21
OG0000074	7	13	0	0	0	0	20
OG0000075	1	4	1	2	9	3	20
OG0000076	2	3	0	2	0	13	20
OG0000077	3	3	1	3	4	6	20
OG0000078	6	7	0	3	2	2	20
OG0000079	3	3	4	2	4	4	20
OG0000080	2	1	1	2	4	10	20
OG0000081	1	5	1	0	4	9	20
OG0000082	1	3	1	9	1	5	20
OG0000083	3	1	7	3	3	3	20
OG0000084	6	2	4	4	2	2	20
OG0000085	1	8	1	5	2	3	20
OG0000086	1	8	4	4	1	2	20
OG0000087	1	7	1	5	2	4	20
OG0000088	0	10	1	3	4	2	20
OG0000089	3	3	2	4	2	5	19
OG0000090	18	0	1	0	0	0	19
OG0000091	1	5	1	1	1	10	19
OG0000092	4	2	4	4	2	3	19
OG0000093	2	13	0	1	1	2	19
OG0000094	6	2	6	3	1	1	19
