Geneid	gene_name	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam
Caust.v2_010917	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010918	NA	1014	1454	1440	681	1569	1268	2052	1798	1617	896	1536	1055
Caust.v2_010919	NA	0	0	0	0	0	0	1	1	1	0	0	0
Caust.v2_010920	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010921	NA	1	2	0	0	1	1	2	0	2	1	0	1
Caust.v2_010922	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010923	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010924	NA	19	30	16	6	25	12	55	32	33	19	15	12
Caust.v2_010925	NA	191	275	303	158	351	267	426	411	314	172	338	269
Caust.v2_010926	NA	361	504	506	241	527	467	636	666	606	294	549	415
Caust.v2_010927	NA	220	336	349	166	328	303	465	371	291	182	446	221
Caust.v2_010928	NA	707	1193	1254	680	1183	1344	1783	1484	1382	730	1521	831
Caust.v2_010929	NA	109	233	186	103	250	252	235	248	244	184	184	110
Caust.v2_010930	NA	1195	2042	2020	933	1771	1798	3014	2614	2372	1134	2130	1281
Caust.v2_010931	NA	196	318	340	167	484	303	419	352	275	234	354	259
Caust.v2_010932	NA	9	25	27	5	27	13	28	24	28	9	22	12
Caust.v2_010933	NA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_010934	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010935	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010936	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010937	NA	0	0	0	0	0	0	1	0	1	0	0	0
Caust.v2_010938	NA	0	0	1	0	0	0	2	0	0	0	0	0
Caust.v2_010939	NA	0	0	0	0	0	2	0	0	0	0	0	0
Caust.v2_010940	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010941	NA	353	441	597	345	544	426	645	621	430	295	562	455
Caust.v2_010942	NA	51	54	103	34	49	72	107	108	74	40	60	76
Caust.v2_010943	NA	5543	9179	9273	5615	8710	11329	9606	10639	9310	5649	11750	6351
Caust.v2_010944	NA	0	0	0	0	1	0	0	0	0	0	0	0
Caust.v2_010945	NA	0	2	1	0	2	2	9	3	2	0	2	2
Caust.v2_010946	NA	1	4	3	1	5	5	11	2	1	3	4	2
Caust.v2_010947	NA	0	3	2	0	2	1	5	5	2	0	4	0
Caust.v2_010948	NA	199	241	389	190	352	323	483	371	190	157	244	283
Caust.v2_010949	NA	227	265	435	162	307	201	511	451	267	134	294	280
Caust.v2_010950	NA	78	109	101	31	112	87	230	160	209	85	98	58
Caust.v2_010063	NA	95	104	187	69	146	116	236	195	128	84	196	116
Caust.v2_010064	NA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_010065	NA	402	563	693	300	582	564	823	764	586	315	660	432
Caust.v2_010066	NA	1748	3281	3104	1995	4162	3771	3158	3107	3284	2230	3903	1942
Caust.v2_010067	NA	1440	2319	2285	947	2678	2393	3449	2965	2806	1470	2617	1635
Caust.v2_010068	NA	93	278	141	136	314	287	169	95	202	145	240	93
Caust.v2_010069	NA	1037	1031	1182	494	491	1268	1464	987	1083	335	1787	1159
Caust.v2_010070	NA	260	338	348	206	383	282	452	389	360	215	335	283
Caust.v2_010071	NA	20	54	41	23	63	35	44	56	45	31	30	30
Caust.v2_010072	NA	281	364	439	267	545	642	449	492	384	290	776	314
Caust.v2_010073	NA	8	9	17	10	14	8	12	20	14	8	9	9
Caust.v2_010074	NA	1	3	7	2	3	4	9	6	11	2	2	1
