Geneid	gene_name	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam
Caust.v2_010917	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010918	NA	7	1	1	1	0	1	2	4	1	4	12	5
Caust.v2_010919	NA	90	83	45	35	68	56	82	39	73	67	129	110
Caust.v2_010920	NA	12	12	18	8	16	6	19	6	9	9	32	15
Caust.v2_010921	NA	0	1	0	0	0	0	0	0	0	0	0	0
Caust.v2_010922	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010923	NA	1	6	4	2	3	7	15	4	11	4	13	5
Caust.v2_010924	NA	1	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_010925	NA	42	39	28	31	40	30	41	22	33	31	68	42
Caust.v2_010926	NA	321	336	255	156	291	188	297	163	264	257	405	389
Caust.v2_010927	NA	2395	1982	1333	1160	1966	1156	2005	1167	1889	2186	2439	2196
Caust.v2_010928	NA	4	3	0	4	2	1	6	2	0	1	10	5
Caust.v2_010929	NA	272	313	217	143	277	189	229	137	265	251	335	335
Caust.v2_010930	NA	315	442	193	159	295	177	343	276	337	378	355	385
Caust.v2_010931	NA	18	18	17	6	21	12	25	14	24	16	31	36
Caust.v2_010932	NA	0	0	0	0	0	0	2	0	0	0	0	0
Caust.v2_010933	NA	3	3	3	2	9	2	10	1	6	2	6	4
Caust.v2_010934	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010935	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010936	NA	0	0	1	0	0	0	4	1	2	0	0	1
Caust.v2_010937	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010938	NA	0	0	0	0	0	0	0	0	0	2	0	0
Caust.v2_010939	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_010940	NA	0	0	0	0	1	0	0	0	2	0	0	1
Caust.v2_010941	NA	4	2	1	1	0	3	4	0	2	7	7	5
Caust.v2_010942	NA	30	39	22	21	38	25	43	26	32	26	57	41
Caust.v2_010943	NA	48	4	8	4	6	4	7	20	4	21	37	16
Caust.v2_010944	NA	0	2	0	0	0	1	0	0	0	0	0	1
Caust.v2_010945	NA	0	0	0	0	0	0	0	0	0	0	0	0
