Geneid	gene_name	MPW_ATGTCA_L004_R1_001Aligned.sortedByCoord.out.bam	MPQ_CCGTCC_L004_R1_001Aligned.sortedByCoord.out.bam
Metap3a000901	NA	30	23
Metap3a000898	NA	77	49
Metap3a000899	NA	18	24
Metap3a000903	NA	0	2
Metap3a000891	NA	1	1
Metap3a000884	NA	2	0
Metap3a000889	NA	187	255
Metap3a000894	NA	2956	2484
Metap3a000904	NA	4	7
Metap3a000895	NA	26	27
Metap3a000900	NA	83	56
Metap3a000897	NA	112	115
Metap3a000890	NA	144	195
Metap3a000885	NA	62	54
Metap3a000902	NA	41	51
Metap3a000905	NA	6	3
Metap3a000893	NA	89	44
Metap3a000887	NA	14	27
Metap3a000886	NA	21	28
Metap3a000892	NA	41	49
Metap3a000896	NA	24	13
Metap3a000888	NA	11	2
Metap3a006066	NA	1	0
Metap3a006037	NA	0	2
Metap3a006033	NA	0	2
Metap3a006046	NA	5	25
Metap3a006032	NA	12	6
Metap3a006031	NA	0	2
Metap3a006060	NA	11	17
Metap3a006026	NA	18	46
Metap3a006055	NA	54	70
Metap3a006054	NA	39	35
Metap3a006053	NA	4	1
Metap3a006064	NA	201	209
Metap3a006028	NA	6	7
Metap3a006043	NA	31	32
Metap3a006029	NA	8	7
Metap3a006065	NA	6	5
Metap3a006056	NA	25	25
Metap3a006036	NA	0	0
Metap3a006042	NA	0	0
Metap3a006050	NA	137	117
Metap3a006045	NA	28	4
Metap3a006027	NA	14	4
Metap3a006047	NA	0	0
Metap3a006058	NA	337	403
Metap3a006067	NA	1	1
Metap3a006034	NA	9	5
Metap3a006051	NA	36	34
Metap3a006030	NA	41	29
Metap3a006035	NA	4	6
Metap3a006063	NA	12	6
Metap3a006044	NA	7	9
Metap3a006061	NA	0	0
Metap3a006062	NA	30	35
Metap3a006025	NA	96	53
Metap3a006039	NA	26	13
Metap3a006059	NA	3	4
Metap3a006049	NA	2	3
Metap3a006024	NA	1	1
Metap3a006048	NA	1	1
Metap3a006038	NA	3	1
Metap3a006041	NA	2	5
Metap3a006040	NA	6	12
Metap3a006057	NA	0	0
Metap3a006052	NA	0	0
Metap3a009750	NA	4	7
Metap3a001274	NA	13	13
Metap3a001268	NA	4	3
Metap3a001261	NA	15	15
Metap3a001280	NA	0	2
Metap3a001271	NA	42	32
Metap3a001265	NA	1	1
Metap3a001250	NA	0	1
Metap3a001286	NA	123	130
Metap3a001287	NA	2	1
Metap3a001267	NA	1	0
Metap3a001272	NA	1	1
Metap3a001255	NA	21	21
Metap3a001269	NA	50	33
Metap3a001260	NA	1	1
Metap3a001249	NA	1	0
Metap3a001273	NA	2	9
Metap3a001275	NA	24	34
Metap3a001253	NA	24	8
Metap3a001279	NA	94	97
Metap3a001256	NA	5	4
Metap3a001270	NA	2	4
Metap3a001263	NA	0	0
Metap3a001277	NA	6	5
Metap3a001284	NA	0	0
Metap3a001262	NA	0	2
Metap3a001264	NA	0	0
Metap3a001257	NA	1	1
Metap3a001259	NA	0	1
Metap3a001276	NA	8	16
Metap3a001258	NA	1	0
Metap3a001266	NA	4	4
Metap3a001281	NA	3	7
Metap3a001252	NA	0	0
Metap3a001289	NA	8	3
Metap3a001282	NA	2	0
Metap3a001285	NA	18	16
Metap3a001288	NA	7	4
Metap3a001278	NA	149	179
Metap3a001251	NA	7	8
Metap3a001283	NA	5	8
Metap3a001254	NA	1	1
Metap3a010789	NA	1	2
Metap3a010113	NA	17	11
Metap3a010111	NA	0	0
Metap3a010112	NA	15	12
Metap3a010110	NA	6	4
Metap3a002035	NA	0	2
Metap3a002034	NA	2	0
Metap3a002036	NA	3	4
Metap3a002032	NA	93	104
Metap3a002033	NA	1	2
Metap3a002031	NA	1	1
Metap3a002030	NA	0	0
Metap3a001978	NA	24	33
Metap3a001977	NA	8	8
Metap3a001969	NA	1	4
Metap3a001975	NA	158	210
Metap3a001982	NA	4	6
Metap3a001984	NA	1	1
Metap3a001970	NA	9	14
Metap3a001979	NA	1	6
Metap3a001983	NA	1	6
Metap3a001974	NA	0	1
Metap3a001980	NA	16	5
Metap3a001965	NA	14	9
Metap3a001967	NA	48	26
Metap3a001981	NA	117	281
Metap3a001973	NA	58	32
Metap3a001985	NA	121	67
Metap3a001972	NA	7	25
Metap3a001966	NA	2	1
Metap3a001968	NA	5	5
Metap3a001976	NA	20	15
Metap3a001971	NA	6	12
Metap3a009158	NA	4	6
Metap3a009161	NA	12	12
Metap3a009155	NA	6	8
Metap3a009163	NA	40	42
Metap3a009154	NA	4	10
Metap3a009159	NA	13	9
Metap3a009162	NA	18	18
Metap3a009160	NA	0	0
Metap3a009156	NA	6	2
Metap3a009157	NA	6	4
Metap3a002739	NA	51	42
Metap3a002740	NA	4	10
Metap3a002738	NA	0	1
Metap3a011991	NA	0	0
Metap3a011990	NA	0	0
Metap3a011998	NA	0	1
Metap3a012012	NA	0	0
Metap3a012009	NA	0	0
Metap3a012010	NA	1	0
Metap3a012014	NA	0	3
Metap3a012016	NA	0	1
Metap3a011994	NA	0	5
Metap3a012017	NA	0	3
Metap3a011995	NA	1	2
Metap3a011996	NA	0	0
Metap3a012015	NA	0	2
Metap3a011992	NA	0	0
Metap3a011999	NA	6	10
Metap3a012003	NA	2	0
Metap3a012011	NA	1	0
Metap3a012008	NA	21	19
Metap3a012001	NA	0	1
Metap3a012019	NA	0	0
Metap3a011993	NA	8	12
Metap3a012005	NA	23	23
Metap3a012021	NA	0	0
Metap3a012004	NA	0	0
Metap3a012006	NA	3	9
Metap3a012020	NA	3	8
Metap3a012018	NA	0	1
Metap3a011997	NA	0	0
Metap3a012000	NA	1	0
Metap3a012007	NA	0	0
Metap3a012013	NA	1	0
