Geneid	gene_name	SRR1519110_1Aligned.sortedByCoord.out.bam	SRR1519115_1Aligned.sortedByCoord.out.bam	SRR1519117_1Aligned.sortedByCoord.out.bam	SRR1519112_1Aligned.sortedByCoord.out.bam	SRR1519109_1Aligned.sortedByCoord.out.bam	SRR1519111_1Aligned.sortedByCoord.out.bam	SRR1519116_1Aligned.sortedByCoord.out.bam	SRR1519108_1Aligned.sortedByCoord.out.bam	SRR1519113_1Aligned.sortedByCoord.out.bam	SRR1519114_1Aligned.sortedByCoord.out.bam
gene-LOC106784153	LOC106784153	13	6	15	10	11	15	13	2	0	6
gene-LOC106784085	LOC106784085	26	6	20	5	15	19	21	8	9	3
gene-LOC106783879	LOC106783879	2304	442	1728	1311	1481	1731	2121	465	581	680
gene-LOC106784012	LOC106784012	0	2	22	1	6	3	1	15	1	6
gene-LOC106783940	LOC106783940	609	409	779	690	548	677	725	436	422	458
gene-LOC106783811	LOC106783811	493	230	442	383	380	510	579	246	206	283
gene-LOC106792039	LOC106792039	34	2	0	1	12	2	6	51	0	4
gene-LOC106783577	LOC106783577	6	0	0	0	3	0	0	0	1	1
gene-LOC106792109	LOC106792109	17166	407	8	3	6095	442	8	39340	953	561
gene-LOC106792180	LOC106792180	875	445	936	830	860	926	936	617	442	533
gene-LOC106790239	LOC106790239	16	2	14	9	20	16	10	1	2	3
gene-LOC106793447	LOC106793447	381	74	640	512	270	369	327	209	87	152
gene-LOC106793296	LOC106793296	10029	2598	10489	11237	7547	11004	7977	3623	2362	3929
gene-LOC106793534	LOC106793534	112	66	15	32	97	122	124	41	66	61
gene-LOC106785363	LOC106785363	2773	2161	3980	3020	3090	3496	2410	2023	1387	1942
gene-LOC106789119	LOC106789119	753	371	777	751	672	905	559	408	354	471
gene-LOC106790448	LOC106790448	275	233	287	184	210	270	249	121	120	118
gene-LOC106790650	LOC106790650	1358	858	1250	1211	1275	1797	1098	703	819	884
gene-LOC106790958	LOC106790958	343	268	100	535	598	720	325	342	318	424
gene-LOC106793585	LOC106793585	55	10	62	66	53	61	28	22	10	18
gene-LOC106793045	LOC106793045	1044	378	780	656	864	998	973	368	352	408
gene-LOC106793239	LOC106793239	1032	252	338	358	581	614	789	308	272	378
gene-LOC106792958	LOC106792958	833	578	460	530	695	908	749	359	415	455
gene-LOC106792893	LOC106792893	499	274	433	410	534	550	629	271	296	394
gene-LOC106793354	LOC106793354	680	394	1295	517	663	801	757	314	361	350
gene-LOC106793152	LOC106793152	556	349	538	513	605	632	747	407	376	433
gene-LOC106793188	LOC106793188	119	42	117	106	114	141	108	51	22	66
gene-LOC106793282	LOC106793282	877	274	623	655	770	834	850	283	324	476
gene-LOC106793092	LOC106793092	1417	694	1316	1337	1138	1704	1202	716	632	949
gene-LOC106785249	LOC106785249	5217	1672	3787	3813	3713	5323	3683	1946	1465	2080
gene-LOC106785316	LOC106785316	1476	427	1877	1296	1126	1639	1260	532	352	578
gene-LOC106793297	LOC106793297	272	224	451	362	347	398	280	266	233	303
gene-LOC106793424	LOC106793424	375	273	399	332	325	412	385	234	179	232
gene-LOC106788563	LOC106788563	5959	1850	4750	4572	6252	7321	5987	2368	2608	3251
gene-LOC106789066	LOC106789066	208	132	202	175	222	214	243	106	126	142
gene-LOC106793085	LOC106793085	1047	767	807	842	1061	1089	951	802	788	904
gene-LOC106793508	LOC106793508	370	134	359	330	350	385	419	155	142	148
gene-LOC106793065	LOC106793065	2145	904	2907	1834	2150	2259	2158	1157	977	1180
gene-LOC106794044	LOC106794044	0	27	6	4	3	6	1	23	34	5
gene-LOC106793361	LOC106793361	1532	783	1729	1327	1255	1701	1401	652	765	733
gene-LOC106793683	LOC106793683	0	24	0	0	0	0	0	30	41	34
gene-LOC106783599	LOC106783599	4	116	59	100	69	42	1	160	116	149
gene-LOC106793758	LOC106793758	1684	650	1757	1298	1504	1805	1956	572	637	766
gene-LOC106793617	LOC106793617	12	8	7	8	8	9	6	5	7	20
gene-LOC106793905	LOC106793905	161	46	68	89	136	122	108	90	64	73
gene-LOC106793976	LOC106793976	137	124	162	143	176	175	136	124	125	152
gene-LOC106783662	LOC106783662	59	30	88	81	51	86	58	26	53	25
gene-LOC106793830	LOC106793830	1781	837	2761	2709	1776	2311	2941	1614	1298	1348
gene-LOC106783736	LOC106783736	5	2	5	1	5	10	6	1	2	8
gene-LOC106783776	LOC106783776	2	7	2	3	4	5	4	3	1	5
gene-LOC106793385	LOC106793385	14	3	8	14	7	10	8	6	6	5
gene-LOC106793548	LOC106793548	13082	7335	8478	10156	12724	11552	11546	6911	7336	7419
gene-LOC106793472	LOC106793472	562	231	505	420	470	591	622	251	192	265
gene-LOC106793491	LOC106793491	1	31	4	9	0	5	0	37	23	50
gene-LOC106793486	LOC106793486	243	109	268	194	203	225	250	136	115	131
gene-LOC106793272	LOC106793272	218	228	452	362	400	417	234	275	236	370
gene-LOC106793258	LOC106793258	212	121	185	206	278	238	190	154	122	143
gene-LOC106787496	LOC106787496	2318	690	1144	1307	1966	1956	3217	1052	961	1035
gene-LOC106787961	LOC106787961	5	7	0	3	3	0	0	12	14	13
gene-LOC106787891	LOC106787891	234	173	215	209	245	230	169	157	142	190
gene-LOC106787688	LOC106787688	328	210	217	295	322	306	245	170	220	307
gene-LOC106793396	LOC106793396	405	423	801	508	492	717	476	363	349	336
gene-LOC106788839	LOC106788839	407	267	482	401	372	461	468	247	211	238
gene-LOC106793500	LOC106793500	2228	657	1858	1552	2027	2015	2633	721	678	916
gene-LOC106792840	LOC106792840	30	30	27	18	23	28	17	23	13	26
gene-LOC106792406	LOC106792406	332	227	418	364	381	394	322	269	274	273
gene-LOC106792589	LOC106792589	144	99	214	171	139	139	110	136	108	149
gene-LOC106792721	LOC106792721	62	133	88	105	79	108	41	129	125	178
gene-LOC106792988	LOC106792988	637	525	804	795	664	846	727	522	413	463
gene-LOC106793028	LOC106793028	0	277	55	67	44	13	2	427	331	452
gene-LOC106793018	LOC106793018	25	37	46	39	25	43	11	31	43	31
gene-LOC106793253	LOC106793253	297	190	239	240	306	394	320	153	140	226
gene-LOC106793468	LOC106793468	571	330	895	682	654	724	682	366	364	412
gene-LOC106793323	LOC106793323	955	486	1066	1061	1165	1021	1105	518	557	705
gene-LOC106793332	LOC106793332	9	0	4	2	3	3	8	4	3	1
gene-LOC106790725	LOC106790725	1123	769	916	1023	1378	1332	1024	707	797	916
gene-LOC106790959	LOC106790959	929	297	975	744	946	990	892	376	395	434
gene-LOC106790839	LOC106790839	236	92	294	271	200	344	302	102	101	137
gene-LOC106791151	LOC106791151	1328	224	1213	633	851	897	1217	442	306	459
gene-LOC106791081	LOC106791081	385	147	519	376	420	455	529	237	192	190
gene-LOC106791219	LOC106791219	223	131	205	174	218	262	189	121	87	125
gene-LOC106791448	LOC106791448	344	151	65	137	258	163	208	334	257	277
gene-LOC106783578	LOC106783578	8	0	1	0	7	2	0	0	1	0
gene-LOC106792973	LOC106792973	39	3	0	3	0	0	9	10	1	22
gene-LOC106793476	LOC106793476	191	89	146	121	160	174	209	121	88	159
gene-LOC106784213	LOC106784213	2	0	0	0	1	1	1	4	0	1
gene-LOC106793566	LOC106793566	40	0	4	5	53	14	18	8	6	7
gene-LOC106793125	LOC106793125	1105	433	828	830	857	1074	863	422	386	420
gene-LOC106793579	LOC106793579	33	11	69	38	23	41	31	18	14	26
