Geneid	gene_name	SRR6780155_1Aligned.sortedByCoord.out.bam
gene-LOC107064227	LOC107064227	68
gene-LOC107064169	LOC107064169	123
gene-LOC107064158	LOC107064158	523
gene-LOC107072482	LOC107072482	1155
gene-LOC107071655	LOC107071655	814
gene-LOC107072269	LOC107072269	157
gene-LOC107072336	LOC107072336	464
gene-LOC107072717	LOC107072717	753
gene-LOC107072883	LOC107072883	311
gene-LOC107072648	LOC107072648	208
gene-LOC107072822	LOC107072822	70
gene-LOC107074074	LOC107074074	1045
gene-LOC107074082	LOC107074082	12
gene-LOC107074032	LOC107074032	578
gene-LOC107074088	LOC107074088	1856
gene-LOC107074105	LOC107074105	2041
gene-LOC107074112	LOC107074112	467
gene-LOC107074125	LOC107074125	1231
gene-LOC107074116	LOC107074116	177
gene-LOC107074132	LOC107074132	197
gene-LOC107064581	LOC107064581	2627
gene-LOC107064597	LOC107064597	479
gene-LOC107074670	LOC107074670	742
gene-LOC107074348	LOC107074348	1719
gene-LOC107074685	LOC107074685	78
gene-LOC107074693	LOC107074693	613
gene-LOC107065609	LOC107065609	2
gene-LOC107063673	LOC107063673	415
gene-LOC107063696	LOC107063696	11
gene-LOC107063613	LOC107063613	54
gene-LOC107065295	LOC107065295	6
gene-LOC107065289	LOC107065289	26
gene-LOC107063717	LOC107063717	7
gene-LOC107063734	LOC107063734	85
gene-LOC107063725	LOC107063725	2703
gene-LOC107063753	LOC107063753	350
gene-LOC107063742	LOC107063742	28
gene-LOC107063735	LOC107063735	114
gene-LOC107064754	LOC107064754	310
gene-LOC107064846	LOC107064846	139
gene-LOC107064988	LOC107064988	55
gene-LOC107064999	LOC107064999	307
gene-LOC107070209	LOC107070209	7
gene-LOC107074068	LOC107074068	2
gene-LOC107065217	LOC107065217	19
gene-LOC107065223	LOC107065223	87
gene-LOC107064600	LOC107064600	293
gene-LOC107065208	LOC107065208	189
gene-LOC107064039	LOC107064039	165
gene-LOC107064056	LOC107064056	93
gene-LOC107064048	LOC107064048	149
gene-LOC107064060	LOC107064060	59
gene-LOC107065285	LOC107065285	189
gene-LOC107064316	LOC107064316	37
gene-LOC107064137	LOC107064137	728
gene-LOC107065301	LOC107065301	144
gene-LOC107073937	LOC107073937	56
gene-LOC107073946	LOC107073946	87
gene-LOC107073961	LOC107073961	587
gene-LOC107073955	LOC107073955	3385
gene-LOC107073967	LOC107073967	91
gene-LOC107073978	LOC107073978	91
gene-LOC107074002	LOC107074002	230
gene-LOC107073993	LOC107073993	108
gene-LOC107074019	LOC107074019	85
gene-LOC107074025	LOC107074025	45
gene-LOC107073986	LOC107073986	224
gene-LOC107064696	LOC107064696	301
gene-LOC107063614	LOC107063614	54
gene-LOC107064702	LOC107064702	331
gene-LOC107064635	LOC107064635	55
gene-LOC107064296	LOC107064296	225
gene-LOC107064325	LOC107064325	179
gene-LOC107065728	LOC107065728	2
gene-LOC107065050	LOC107065050	34
gene-LOC107064068	LOC107064068	654
gene-LOC107064075	LOC107064075	551
gene-LOC107064201	LOC107064201	76
gene-LOC107065449	LOC107065449	6
gene-LOC107069159	LOC107069159	381
gene-LOC107069605	LOC107069605	8
gene-LOC107069818	LOC107069818	567
gene-LOC107069649	LOC107069649	759
gene-LOC107065170	LOC107065170	1010
gene-Trnaq-cug	Trnaq-cug	2
gene-LOC107073109	LOC107073109	103
gene-LOC107072948	LOC107072948	217
gene-LOC107073176	LOC107073176	1
gene-LOC107073803	LOC107073803	17
gene-LOC107073655	LOC107073655	609
gene-LOC107073220	LOC107073220	619
gene-LOC107073721	LOC107073721	90
gene-LOC107064825	LOC107064825	62
gene-LOC107064841	LOC107064841	220
gene-LOC107065410	LOC107065410	11
gene-LOC107065463	LOC107065463	11
gene-LOC107064907	LOC107064907	3
gene-LOC107065373	LOC107065373	9
gene-LOC107065381	LOC107065381	0
gene-LOC107065385	LOC107065385	125
gene-LOC107074525	LOC107074525	563
gene-LOC107074556	LOC107074556	400
gene-LOC107065005	LOC107065005	76
gene-LOC107065023	LOC107065023	92
gene-LOC107074269	LOC107074269	357
gene-LOC107074276	LOC107074276	329
gene-LOC107074283	LOC107074283	809
gene-LOC107063760	LOC107063760	272
gene-LOC107063787	LOC107063787	26
gene-LOC107063777	LOC107063777	251
gene-LOC107063771	LOC107063771	227
gene-LOC107063797	LOC107063797	3
gene-LOC107063802	LOC107063802	0
gene-LOC107064270	LOC107064270	26
gene-LOC107065554	LOC107065554	0
gene-LOC107064275	LOC107064275	125
gene-LOC107065146	LOC107065146	324
gene-LOC107063811	LOC107063811	213
gene-LOC107063818	LOC107063818	118
gene-LOC107063836	LOC107063836	38
gene-LOC107064665	LOC107064665	53
gene-LOC107064659	LOC107064659	404
gene-LOC107064654	LOC107064654	161
gene-LOC107073823	LOC107073823	1357
gene-LOC107073831	LOC107073831	772
gene-LOC107073856	LOC107073856	30
gene-LOC107073851	LOC107073851	154
gene-LOC107066223	LOC107066223	0
gene-LOC107066885	LOC107066885	6
gene-LOC107063629	LOC107063629	192
gene-LOC107063640	LOC107063640	214
gene-LOC107064670	LOC107064670	18
gene-LOC107064676	LOC107064676	213
gene-LOC107065538	LOC107065538	1
gene-LOC107063699	LOC107063699	30
gene-LOC107063708	LOC107063708	61
gene-LOC107063714	LOC107063714	90
gene-LOC107065307	LOC107065307	129
gene-LOC107065035	LOC107065035	166
gene-LOC107064488	LOC107064488	111
gene-LOC107064494	LOC107064494	186
gene-LOC107064503	LOC107064503	54
gene-LOC107064498	LOC107064498	60
gene-LOC107064691	LOC107064691	139
gene-LOC107064911	LOC107064911	360
gene-LOC107064622	LOC107064622	38
gene-LOC107064642	LOC107064642	114
gene-LOC107064649	LOC107064649	95
gene-LOC107074287	LOC107074287	494
gene-LOC107074301	LOC107074301	161
gene-LOC107074316	LOC107074316	115
gene-LOC107074305	LOC107074305	68
gene-LOC107074323	LOC107074323	311
gene-LOC107074337	LOC107074337	33
gene-LOC107064541	LOC107064541	289
gene-LOC107074513	LOC107074513	59
gene-LOC107074505	LOC107074505	564
gene-LOC107074444	LOC107074444	242
gene-LOC107074465	LOC107074465	380
gene-LOC107065357	LOC107065357	552
gene-LOC107067559	LOC107067559	191
gene-LOC107063891	LOC107063891	231
gene-LOC107063919	LOC107063919	273
gene-LOC107064025	LOC107064025	0
gene-LOC107064032	LOC107064032	0
gene-LOC107064012	LOC107064012	416
gene-LOC107063990	LOC107063990	249
gene-LOC107064005	LOC107064005	273
gene-LOC107063664	LOC107063664	194
gene-LOC107068229	LOC107068229	336
gene-LOC107065367	LOC107065367	105
gene-LOC107065150	LOC107065150	1465
gene-LOC107064766	LOC107064766	1
gene-LOC107068875	LOC107068875	4
gene-LOC107065276	LOC107065276	66
gene-LOC107065267	LOC107065267	214
gene-LOC107069540	LOC107069540	1
gene-LOC107065115	LOC107065115	1070
gene-LOC107065366	LOC107065366	2
gene-LOC107064519	LOC107064519	13
gene-LOC107063925	LOC107063925	213
gene-LOC107063977	LOC107063977	2714
gene-LOC107063969	LOC107063969	52
gene-LOC107063988	LOC107063988	12
gene-LOC107063933	LOC107063933	156
gene-LOC107064113	LOC107064113	151
gene-LOC107064102	LOC107064102	469
gene-LOC107064089	LOC107064089	299
gene-LOC107064975	LOC107064975	35
gene-LOC107064969	LOC107064969	78
gene-LOC107065030	LOC107065030	109
gene-LOC107064278	LOC107064278	49
gene-LOC107065436	LOC107065436	4
gene-LOC107065445	LOC107065445	6
gene-LOC107065185	LOC107065185	208
gene-LOC107064123	LOC107064123	271
gene-LOC107064130	LOC107064130	1
