Geneid	gene_name	VvulW3_1Aligned.sortedByCoord.out.bam	MH1Q_1Aligned.sortedByCoord.out.bam	VvulW1_1Aligned.sortedByCoord.out.bam	MH2Q_1Aligned.sortedByCoord.out.bam	VvulW2_1Aligned.sortedByCoord.out.bam	MH5Q_1Aligned.sortedByCoord.out.bam	RHSQ_1Aligned.sortedByCoord.out.bam	VvulW4_1Aligned.sortedByCoord.out.bam	VvulW5_1Aligned.sortedByCoord.out.bam	VHQ_1Aligned.sortedByCoord.out.bam
Vvulg1g00010	NA	149	112	174	150	175	127	178	188	163	180
Vvulg1g00011	NA	1	0	4	2	2	2	1	2	1	4
Vvulg1g00021	NA	210	181	235	324	226	274	237	215	192	284
Vvulg1g00020	NA	4213	2629	4502	3493	4633	2651	2989	4985	4207	3764
Vvulg1g00030	NA	0	0	2	4	1	2	0	2	1	1
Vvulg1g00031	NA	4	3	0	5	0	2	0	1	0	0
Vvulg1g00040	NA	210	252	199	225	179	230	225	191	153	248
Vvulg1g00050	NA	272	482	298	519	303	470	433	295	212	562
Vvulg1g00060	NA	31	47	21	62	31	43	37	13	28	79
Vvulg1g00070	NA	1	13	6	12	7	9	6	4	4	19
Vvulg1g00071	NA	5	3	5	5	1	4	3	1	4	6
Vvulg1g00080	NA	47	63	62	70	40	28	83	33	28	69
Vvulg1g00090	NA	105	95	131	106	117	150	133	104	103	133
Vvulg1g00110	NA	891	1251	966	1026	1083	1142	1017	1066	994	886
Vvulg1g00150	NA	536	505	567	649	577	543	477	652	551	499
Vvulg1g00160	NA	273	546	274	525	259	536	548	266	222	438
Arg_16	NA	3	8	8	10	2	5	2	3	6	13
Vvulg1g00180	NA	931	1595	890	1727	991	1153	1318	810	657	1733
Vvulg1g00181	NA	8	3	4	4	12	2	1	8	14	7
Vvulg1g00190	NA	732	703	813	934	784	829	766	820	750	726
Vvulg1g00200	NA	163	371	197	346	193	272	270	146	117	347
Vvulg1g00210	NA	0	4	10	12	7	11	1	4	3	6
Vvulg1g00211	NA	371	377	342	504	364	453	415	335	357	473
Vvulg1g00220	NA	315	440	381	492	303	582	507	319	337	510
Vvulg1g00230	NA	559	532	540	623	528	570	561	589	550	686
Vvulg1g00240	NA	813	888	904	1182	862	1034	848	905	760	905
Vvulg1g00250	NA	328	304	339	475	330	365	316	316	350	408
Vvulg1g00260	NA	272	789	331	757	281	808	738	280	239	824
Vvulg1g00261	NA	10	20	4	31	5	17	28	12	4	41
Vvulg1g00270	NA	227	280	222	304	209	311	219	221	214	283
Vvulg1g00280	NA	61	56	71	67	36	41	58	64	70	62
Vvulg1g00281	NA	37	30	55	46	56	38	30	69	66	41
Vvulg1g00291	NA	35	16	54	50	45	40	20	73	69	22
Vvulg1g00290	NA	3	16	15	5	12	6	8	6	10	10
Vvulg1g00292	NA	4	2	1	1	0	3	0	1	1	0
Vvulg1g00300	NA	2	0	0	1	0	1	0	0	4	0
Vvulg1g00310	NA	0	0	0	2	0	1	0	1	1	1
Vvulg1g00330	NA	2	0	0	4	1	2	1	0	0	1
Vvulg1g00340	NA	0	1	0	0	0	0	0	1	0	0
Vvulg1g00360	NA	1	3	1	4	0	9	9	8	2	5
Vvulg1g00370	NA	1027	1451	880	931	934	1123	1255	1114	1118	670
Vvulg1g00380	NA	101	210	132	217	131	187	181	125	129	207
Vvulg1g00390	NA	761	1188	833	564	810	629	685	904	851	641
Vvulg1g00400	NA	2	1	1	1	4	2	0	7	2	1
Vvulg1g00401	NA	1	0	0	0	0	0	0	0	0	1
Vvulg1g00410	NA	1	1	0	0	0	0	0	0	0	0
Vvulg1g00420	NA	106	187	85	68	75	60	104	105	109	91
Vvulg1g00421	NA	0	0	5	2	1	1	0	0	0	1
Vvulg1g00430	NA	0	0	1	0	0	1	0	1	0	0
Vvulg1g00440	NA	0	0	1	0	0	1	0	1	0	0
Vvulg1g00450	NA	1	1	2	0	1	3	0	1	1	0
Vvulg1g00460	NA	4	6	2	6	3	6	1	0	2	2
Vvulg1g00480	NA	663	642	802	866	811	828	543	924	922	707
Vvulg1g00490	NA	3030	1859	2809	2820	2469	2317	1853	3426	3256	2534
Vvulg1g00500	NA	1613	1040	1687	1744	1691	1816	1596	1740	1674	1392
Vvulg1g00510	NA	847	723	864	1452	716	1718	1048	724	708	1308
Vvulg1g00520	NA	468	420	449	585	400	510	417	396	345	534
Vvulg1g00530	NA	108	268	133	295	89	246	237	90	82	237
Vvulg1g00540	NA	175	406	218	494	202	396	306	196	166	395
Gln_1	NA	0	0	1	0	0	0	0	0	0	0
Vvulg1g00550	NA	489	709	530	860	531	749	617	521	430	784
Vvulg1g00560	NA	94	126	120	161	96	138	128	92	73	127
Vvulg1g00561	NA	309	431	269	536	282	555	428	294	264	482
Vvulg1g00570	NA	407	647	409	834	431	919	703	394	386	796
Vvulg1g00580	NA	549	551	604	754	637	617	711	606	575	749
Vvulg1g00581	NA	254	254	250	419	276	355	252	284	233	316
Vvulg1g00590	NA	47	106	67	106	68	79	58	57	33	84
Vvulg1g00600	NA	265	490	302	600	334	464	383	272	245	499
Vvulg1g00610	NA	82	83	63	178	81	110	98	83	83	106
Vvulg1g00620	NA	401	257	378	414	345	280	356	382	346	357
Vvulg1g00621	NA	75	67	66	114	93	84	78	48	70	112
Vvulg1g00630	NA	1119	720	1029	1354	1192	725	790	1242	1168	878
Vvulg1g00640	NA	8772	5394	9265	5996	10559	5005	4828	12082	12167	5015
Vvulg1g00650	NA	478	415	569	874	583	527	324	571	572	447
Vvulg1g00660	NA	1803	1446	1931	1698	1801	1518	1157	1871	1677	1219
Vvulg1g00670	NA	206	224	213	463	205	374	278	238	193	406
Vvulg1g00680	NA	44	128	70	87	91	88	100	78	58	74
Vvulg1g00690	NA	49	140	62	130	111	138	156	113	96	156
