Species	Phenotype	SampleName
Ceratina australensis	NR	SRR2917198
Ceratina australensis	NR	SRR2917152
Ceratina australensis	NR	SRR2916699
Ceratina australensis	R	SRR2916026
Ceratina australensis	R	SRR2916025
Ceratina australensis	R	SRR2915407
Ceratina calcarata	R	SRR13281988
Ceratina calcarata	R	SRR13281982
Ceratina calcarata	R	SRR13281995
Ceratina calcarata	NR	SRR13282007
Ceratina calcarata	NR	SRR13281993
Ceratina calcarata	NR	SRR13282006
Liostenogaster flavolineata	NR	SocF10
Liostenogaster flavolineata	NR	SocF11
Liostenogaster flavolineata	NR	SocF12
Liostenogaster flavolineata	NR	SocF14
Liostenogaster flavolineata	NR	SocF4
Liostenogaster flavolineata	NR	SocF5
Liostenogaster flavolineata	NR	SocF6
Liostenogaster flavolineata	NR	SocF7
Liostenogaster flavolineata	NR	SocF8
Liostenogaster flavolineata	NR	SocF9
Liostenogaster flavolineata	R	SocR10
Liostenogaster flavolineata	R	SocR1
Liostenogaster flavolineata	R	SocR2
Liostenogaster flavolineata	R	SocR3
Liostenogaster flavolineata	R	SocR4
Liostenogaster flavolineata	R	SocR5
Liostenogaster flavolineata	R	SocR6
Liostenogaster flavolineata	R	SocR7
Liostenogaster flavolineata	R	SocR8
Megalopta genalis	R	SRR3948522
Megalopta genalis	R	SRR3948580
Megalopta genalis	R	SRR3948532
Megalopta genalis	R	SRR3948545
Megalopta genalis	R	SRR3948559
Megalopta genalis	R	SRR3948571
Megalopta genalis	R	SRR3948576
Megalopta genalis	NR	SRR3948549
Megalopta genalis	NR	SRR3948582
Megalopta genalis	NR	SRR3948523
Megalopta genalis	NR	SRR3948530
Megalopta genalis	NR	SRR3948535
Megalopta genalis	NR	SRR3948538
Megalopta genalis	NR	SRR3948546
Megalopta genalis	NR	SRR3948551
Megalopta genalis	NR	SRR3948569
Polistes canadensis	R	SRR1519108
Polistes canadensis	R	SRR1519109
Polistes canadensis	R	SRR1519110
Polistes canadensis	R	SRR1519111
Polistes canadensis	NR	SRR1519112
Polistes canadensis	NR	SRR1519113
Polistes canadensis	NR	SRR1519114
Polistes canadensis	NR	SRR1519115
Polistes canadensis	NR	SRR1519116
Polistes canadensis	NR	SRR1519117
Polistes dominula	R	F03BL
Polistes dominula	R	F14GR
Polistes dominula	R	F38BL
Polistes dominula	R	F42OR
Polistes dominula	R	F45OR
Polistes dominula	R	F47RD
Polistes dominula	R	F48SL
Polistes dominula	R	F51RD
Polistes dominula	R	F65ORWH
Polistes dominula	R	F67YLBL
Polistes dominula	R	F69OR
Polistes dominula	R	F71BL
Polistes dominula	NR	W01RDYL
Polistes dominula	NR	W08RDOR
Polistes dominula	NR	W09RDOR
Polistes dominula	NR	W13YLSL
Polistes dominula	NR	W28ORYL
Polistes dominula	NR	W40GROR
Polistes dominula	NR	W46ORYL
Polistes dominula	NR	W49RDYL
Polistes dominula	NR	W54ORYL
Polistes dominula	NR	W56YLBL
Polistes dominula	NR	W58BLWH
Polistes dominula	NR	W70RDYL
