Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	24.628742	10.897792	24.380594
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	20.458368	40.156769	89.838921
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	263.208618	136.283768	304.894745
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	72.755882	60.411766	135.153503
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	13.848367	26.912710	60.209248
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	28.583710	12.550612	28.078291
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	96.319138	44.446945	99.436928
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	245.398926	107.766151	241.094971
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	194.195618	85.267929	190.761841
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	18.403179	8.080517	18.077774
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	75.656616	33.219509	74.318848
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1083.880981	475.913361	1064.715698
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	24.576107	10.790942	24.141552
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	67.388580	29.913473	66.922569
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	262.375885	130.029984	290.903687
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	555.452637	247.659744	554.065613
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	202.203278	88.783958	198.627914
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1067.810059	468.856873	1048.928955
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	31.217731	13.707165	30.665737
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	18.005245	7.905792	17.686876
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	582.931824	263.729462	590.016846
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	31.142012	13.673918	30.591356
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	11.055490	4.864548	10.882992
