Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	12.761454	12.485236	28.010557
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	9.390291	37.833359	84.878937
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	165.771896	185.482742	416.129547
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	54.292076	90.333023	202.661652
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	9.131921	37.337761	83.767067
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	11.608598	11.148337	25.011234
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	38.331875	38.586151	86.567818
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	107.822716	103.570038	232.358826
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	79.399925	76.251862	171.070633
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	6.527873	6.269054	14.064589
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	27.875870	26.770641	60.059784
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	443.545563	425.959747	955.638428
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	17.314066	16.627594	37.303917
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	27.119755	26.443581	59.326027
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	117.181099	125.377991	281.284851
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	279.192932	271.984039	610.194763
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	85.202950	81.824806	183.573502
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	432.345825	415.204041	931.508057
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	13.960235	13.406736	30.077940
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	8.072727	7.752657	17.393045
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	262.243713	257.983124	578.783752
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	10.539448	10.121576	22.707703
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	5.498512	5.286956	11.861258
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	9.094271	25.523277	57.261333
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	15.996880	15.362632	34.465981
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	140.592896	135.018631	302.913574
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	38.580177	37.491974	84.113037
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	1.610412	1.546562	3.469703
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	3.460469	3.323267	7.455732
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	1.914002	1.838115	4.123801
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	0.604073	0.580123	1.301502
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.720582	0.692012	1.552526
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	11.959459	11.485287	25.767179
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	42.161594	40.489960	90.839012
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	0.990788	0.951505	2.134696
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	12.786660	12.294539	27.582731
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	16.288973	18.705439	41.965546
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	24.197172	23.237795	52.133869
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	12.171094	13.781989	30.919817
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	0.570744	0.594243	1.333180
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	222.227554	213.416626	478.799011
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.237165	0.227762	0.510982
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.110562	0.106178	0.238211
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	0.737502	0.708261	1.588980
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	32.492905	31.204618	70.007385
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	18.077667	17.446133	39.140305
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	14.903762	14.312854	32.110809
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	7.297740	7.008397	15.723301
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	13.732404	13.187939	29.587067
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	10.044608	9.646358	21.641548
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	16.582788	15.925309	35.728344
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	16.123833	15.484550	34.739506
