Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Vcabro1a003582	-	C2832210	+	145	377	0.690987	0.314074	0.624584
Vcabro1a012170	-	C2833028	-	3	502	101.070885	45.939655	91.358162
Vcabro1a012639	-	C2835282	-	294	443	2.306667	1.048447	2.085001
Vcabro1a001314	-	C2835622	-	74	289	6.967593	3.166974	6.298020
Vcabro1a011822	-	C2835868	+	7	509	685.214966	311.450134	619.367065
Vcabro1a002859	-	C2837040	-	304	470	6.023952	2.738061	5.445061
Vcabro1a004321	-	C2838462	+	239	437	1.894472	0.861093	1.712417
Vcabro1a006715	-	C2838846	-	128	414	44.411148	20.186157	40.143318
Vcabro1a002980	-	C2840340	+	237	452	38.199074	17.362591	34.528214
Vcabro1a008269	-	C2840622	+	5	460	31.373665	14.260242	28.358713
Vcabro1a000096	-	C2840686	+	36	523	381.384827	173.350494	344.734467
Vcabro1a004799	-	C2841086	-	71	498	26.474298	12.033339	23.930166
Vcabro1a011141	-	C2841738	-	142	337	3.714286	1.688251	3.357350
Vcabro1a004588	-	C2842214	-	40	526	31.665625	14.392947	28.622616
Vcabro1a012173	-	C2846366	-	1	432	1.201389	0.546066	1.085938
Vcabro1a004802	-	C2848368	-	202	496	5.616949	2.553067	5.077170
Vcabro1a016233	-	C2849450	+	131	377	5.910931	2.686690	5.342902
Vcabro1a003787	-	C2849826	-	189	538	23.222857	10.555463	20.991182
Vcabro1a004688	-	C2854874	+	51	558	2.903543	1.319745	2.624518
Vcabro1a005319	-	C2855154	+	14	414	7.236667	3.289276	6.541237
Vcabro1a013437	-	C2855160	-	6	567	180.397690	81.995995	163.061813
Vcabro1a006696	-	C2855830	-	2	528	155.302216	70.589371	140.377960
Vcabro1a012648	-	C2856508	+	285	474	1.915789	0.870782	1.731685
Vcabro1a012451	-	C2856828	+	263	456	3.438144	1.562736	3.107745
Vcabro1a013865	-	C2859426	+	189	508	24.771875	11.259538	22.391344
Vcabro1a015469	-	C2859654	-	143	393	42.410358	19.276741	38.334805
Vcabro1a002340	-	C2861192	+	364	578	246.879074	112.213722	223.154449
Vcabro1a013199	-	C2861418	-	5	538	8.852060	4.023519	8.001393
Vcabro1a002116	-	C2861840	+	154	472	109.343094	49.699619	98.835426
Vcabro1a001596	-	C2862504	+	104	517	0.798611	0.362992	0.721866
Vcabro1a004815	-	C2863398	+	1	595	252.680328	114.850555	228.398224
Vcabro1a013864	-	C2864508	+	281	532	9.115079	4.143068	8.239137
Vcabro1a001441	-	C2865780	+	20	581	36.579571	16.626478	33.064342
Vcabro1a007435	-	C2866830	-	17	494	13.784519	6.265465	12.459852
Vcabro1a000051	-	C2869740	+	16	621	121.829208	55.374920	110.121643
Vcabro1a000463	-	C2871358	-	21	474	1848.663086	840.271118	1671.009888
Vcabro1a000458	-	C2872078	+	9	603	0.430252	0.195562	0.388906
Vcabro1a002765	-	C2873212	+	224	572	7.214900	3.279382	6.521562
Vcabro1a013819	-	C2873314	+	1	153	6.274510	2.851947	5.671541
Vcabro1a003350	-	C2873972	+	101	581	457.706207	208.040787	413.721497
Vcabro1a009321	-	C2874460	+	76	548	0.877378	0.398794	0.793064
Vcabro1a003042	-	C2876850	+	14	620	10.651869	4.841584	9.628244
Vcabro1a010937	-	C2877118	-	34	373	1.291176	0.586877	1.167096
Vcabro1a002037	-	C2877372	-	127	496	0.000000	0.000000	0.000000
Vcabro1a008258	-	C2879244	+	5	291	0.716895	0.325850	0.648003
Vcabro1a004342	-	C2879696	-	123	455	0.174174	0.079167	0.157436
Vcabro1a002708	-	C2880440	+	236	507	1.477941	0.671767	1.335914
Vcabro1a001607	-	C2881240	+	249	579	28.217524	12.825686	25.505873
Vcabro1a011173	-	C2883212	-	283	578	0.486486	0.221122	0.439736
Vcabro1a009647	-	C2884254	-	75	501	0.358314	0.162864	0.323881
Vcabro1a004419	-	C2885026	-	37	681	49.110703	22.322243	44.391254
Vcabro1a003991	-	C2886328	+	232	471	2.025000	0.920421	1.830401
Vcabro1a008197	-	C2886494	-	62	678	38.081081	17.308958	34.421558
Vcabro1a005713	-	C2889154	-	113	345	1.545064	0.702276	1.396586
Vcabro1a012450	-	C2889772	+	1	704	556.582397	252.982880	503.095856
Vcabro1a013622	-	C2889824	-	138	674	24.890131	11.313288	22.498234
Vcabro1a015599	-	C2890274	-	34	569	160.355377	72.886185	144.945526
Vcabro1a006033	-	C2891614	-	59	492	13.235023	6.015703	11.963161
Vcabro1a007569	-	C2892632	+	358	589	6.478448	2.944643	5.855881
Vcabro1a003237	-	C2892806	+	187	596	0.691824	0.314454	0.625341
Vcabro1a014339	-	C2893042	-	120	702	4.379074	1.990417	3.958253
Vcabro1a015601	-	C2893366	-	7	718	79.102531	35.954403	71.500923
Vcabro1a002215	-	C2893424	+	23	701	16.462767	7.482806	14.880726
Vcabro1a016136	-	C2894780	-	46	722	6.283604	2.856081	5.679761
Vcabro1a002460	-	C2895268	+	268	488	61.914028	28.141727	55.964203
Vcabro1a011378	-	C2896050	-	47	226	3.288889	1.494896	2.972833
Vcabro1a015257	-	C2897004	-	169	711	187.470718	85.210899	169.455124
Vcabro1a006333	-	C2897536	-	483	697	18.683722	8.492295	16.888250
Vcabro1a011132	-	C2897760	+	217	375	1.000000	0.454529	0.903902
Vcabro1a001889	-	C2898688	+	6	744	11.769959	5.349789	10.638887
Vcabro1a003753	-	C2898748	-	119	632	2.593385	1.178769	2.344166
Vcabro1a015519	-	C2903540	+	5	771	21.661016	9.845562	19.579432
Vcabro1a007825	-	C2904276	-	318	528	2.000000	0.909058	1.807804
Vcabro1a011137	-	C2904552	-	1	683	0.000000	0.000000	0.000000
Vcabro1a016224	-	C2904910	-	6	773	70.659851	32.116959	63.869568
Vcabro1a002150	-	C2905454	+	188	548	11993.415039	5451.355957	10840.870117
Vcabro1a004232	-	C2906178	-	56	390	2.698507	1.226550	2.439185
Vcabro1a000824	-	C2908208	-	1	796	136.049698	61.838543	122.975571
Vcabro1a006463	-	C2908522	-	30	748	0.000000	0.000000	0.000000
Vcabro1a004336	-	C2909392	-	93	350	24.015503	10.915745	21.707657
Vcabro1a007878	-	C2910492	-	15	741	17.155039	15.471475	30.767437
Vcabro1a007957	-	C2914710	+	14	826	21.372694	9.714511	19.318817
Vcabro1a012662	-	C2916696	+	28	717	1.678261	0.762818	1.516983
