Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	17.850441	8.595865	19.259035
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	14.109152	29.389202	65.846519
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	329.592896	185.328979	415.229614
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	24.795383	20.008797	44.829716
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	15.373137	35.025253	78.474091
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	25.880297	12.462635	27.922537
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	86.103859	43.574745	97.629234
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	214.877975	103.489929	231.869217
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	150.538513	72.491699	162.417664
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	16.954035	8.164202	18.291893
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	76.754059	36.960854	82.810799
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	838.982422	404.011292	905.187317
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	26.743738	12.878425	28.854113
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	88.742264	43.426781	97.297714
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	221.382416	121.737961	272.753937
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	518.105103	253.113388	567.100647
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	176.048691	84.776093	189.940872
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	870.194641	419.041473	938.862549
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	16.261408	7.830667	17.544611
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	11.676923	5.623013	12.598361
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	355.713470	176.413239	395.253876
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	34.233727	16.485222	36.935146
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	7.619347	3.669090	8.220597
