P_dominula	P_canadensis	Orthogroup	D_melanogaster	L_flavolineata	A_mellifera	P_canadensis_locusID	P_dominula_locusID
XP_015171242.1	XP_014606517.1	OG0003522	FBgn0013756	Lflavo2a008967	XP_006564561.2	LOC106788092	LOC107063728
XP_015171358.1	XP_014600043.1	OG0003133	FBgn0037976	Lflavo2a011870	NP_001011576.1	LOC106784724	LOC107063782
XP_015171361.1	XP_014600075.1	OG0003606	FBgn0283525	Lflavo2a007089	XP_006568521.2	LOC106784737	LOC107063784
XP_015171429.1	XP_014600013.1	OG0003607	FBgn0001085	Lflavo2a006864	XP_006568530.1	LOC106784705	LOC107063826
XP_015171508.1	XP_014600828.1	OG0003656	FBgn0033886	Lflavo2a007929	XP_006571832.1	LOC106785143	LOC107063881
XP_015171627.1	XP_014616050.1	OG0003276	FBgn0032499	Lflavo2a008761	XP_003249446.3	LOC106793546	LOC107063950
XP_015171714.1	XP_014616116.1	OG0003213	FBgn0034982	Lflavo2a001491	XP_001121180.1	LOC106793583	LOC107063996
XP_015171754.1	XP_014616123.1	OG0003562	FBgn0039336	Lflavo2a010231	XP_006566766.1	LOC106793588	LOC107064020
XP_015171873.1	XP_014606444.1	OG0003200	FBgn0267336	Lflavo2a003259	XP_001120785.2	LOC106788040	LOC107064092
XP_015171938.1	XP_014608894.1	OG0003239	FBgn0036291	Lflavo2a004690	XP_001122056.2	LOC106789309	LOC107064118
XP_015171997.1	XP_014601723.1	OG0003508	FBgn0003391	Lflavo2a012963	XP_006563612.1	LOC106785612	LOC107064144
XP_015172000.1	XP_014608896.1	OG0003597	FBgn0004647	Lflavo2a005087	XP_006568051.2	LOC106789311	LOC107064146
XP_015172049.1	XP_014608881.1	OG0003571	FBgn0051721	Lflavo2a004660	XP_006567225.1	LOC106789301	LOC107064170
XP_015172093.1	XP_014607586.1	OG0003267	FBgn0020909	Lflavo2a013455	XP_003249097.1	LOC106788643	LOC107064192
XP_015172120.1	XP_014609703.1	OG0003510	FBgn0011653	Lflavo2a008008	XP_006563756.3	LOC106789744	LOC107064212
XP_015172128.1	XP_014598986.1	OG0003251	FBgn0263079	Lflavo2a012765	XP_001122546.4	LOC106784204	LOC107064217
XP_015172138.1	XP_014598904.1	OG0003291	FBgn0039702	Lflavo2a002781	XP_003249898.2	LOC106784159	LOC107064228
XP_015172143.1	XP_014610380.1	OG0003303	FBgn0035429	Lflavo2a005528	XP_003250708.2	LOC106790162	LOC107064232
XP_015172152.1	XP_014599426.1	OG0003188	FBgn0038359	Lflavo2a013828	XP_001120606.1	LOC106784422	LOC107064243
XP_015172582.1	XP_014609601.1	OG0003391	FBgn0025740	Lflavo2a000987	XP_006559220.1	LOC106789687	LOC107064421
XP_015172632.1	XP_014609645.1	OG0003473	FBgn0004896	Lflavo2a012601	XP_006561652.2	LOC106789701	LOC107064452
XP_015172640.1	XP_014615805.1	OG0003401	FBgn0014388	Lflavo2a006578	XP_006559482.2	LOC106793419	LOC107064460
XP_015172845.1	XP_014615869.1	OG0003400	FBgn0026259	Lflavo2a006582	XP_006559464.1	LOC106793449	LOC107064560
XP_015173150.1	XP_014607215.1	OG0003574	FBgn0243513	Lflavo2a002649	XP_006567287.1	LOC106788459	LOC107064686
XP_015173164.1	XP_014604706.1	OG0003615	FBgn0032136	Lflavo2a001478	XP_006568803.2	LOC106787114	LOC107064693
XP_015173175.1	XP_014604721.1	OG0003635	FBgn0034346	Lflavo2a006235	XP_006570065.1	LOC106787124	LOC107064698
XP_015173302.1	XP_014600649.1	OG0003325	FBgn0040011	Lflavo2a002657	XP_003251652.1	LOC106785036	LOC107064783
XP_015173308.1	XP_014600690.1	OG0003205	FBgn0037490	Lflavo2a002541	XP_001121051.2	LOC106785060	LOC107064785
XP_015173388.1	XP_014600338.1	OG0003175	FBgn0043550	Lflavo2a008171	XP_001120114.2	LOC106784879	LOC107064823
XP_015173569.1	XP_014613592.1	OG0003626	FBgn0033021	Lflavo2a013250	XP_006569305.1	LOC106792012	LOC107064898
XP_015173570.1	XP_014613252.1	OG0003534	FBgn0036053	Lflavo2a007864	XP_006565723.1	LOC106791821	LOC107064899
XP_015173574.1	XP_014602526.1	OG0003503	FBgn0035901	Lflavo2a012754	XP_006563163.3	LOC106786048	LOC107064902
XP_015173601.1	XP_014598443.1	OG0003535	FBgn0036583	Lflavo2a009369	XP_006565783.1	LOC106783936	LOC107064918
XP_015173734.1	XP_014604553.1	OG0003594	FBgn0029121	Lflavo2a005165	XP_006567973.1	LOC106787059	LOC107064996
XP_015173762.1	XP_014599857.1	OG0003457	FBgn0036207	Lflavo2a009943	XP_006561135.1	LOC106784622	LOC107065011
XP_015173779.1	XP_014599909.1	OG0003567	FBgn0036124	Lflavo2a009030	XP_006566938.1	LOC106784645	LOC107065022
XP_015173787.1	XP_014599955.1	OG0003417	FBgn0035639	Lflavo2a001973	XP_006559830.1	LOC106784672	LOC107065026
XP_015173788.1	XP_014599956.1	OG0003415	FBgn0035772	Lflavo2a001997	XP_006559826.1	LOC106784673	LOC107065027
XP_015173804.1	XP_014604544.1	OG0003450	FBgn0260482	Lflavo2a002831	XP_006560938.1	LOC106787050	LOC107065033
XP_015173866.1	XP_014599992.1	OG0003458	FBgn0027873	Lflavo2a009935	XP_006561140.1	LOC106784693	LOC107065065
XP_015173985.1	XP_014602583.1	OG0003424	FBgn0038984	Lflavo2a004480	XP_006560020.1	LOC106786078	LOC107065123
XP_015174014.1	XP_014599621.1	OG0003642	FBgn0033183	Lflavo2a006088	XP_006570761.2	LOC106784517	LOC107065133
XP_015174044.1	XP_014602587.1	OG0003386	FBgn0041711	Lflavo2a013306	XP_006559008.1	LOC106786080	LOC107065144
XP_015174058.1	XP_014601980.1	OG0003459	FBgn0000008	Lflavo2a014056	XP_006561142.2	LOC106785775	LOC107065146
XP_015174075.1	XP_014600988.1	OG0003433	FBgn0016970	Lflavo2a013509	XP_006560498.1	LOC106785224	LOC107065152
XP_015174076.1	XP_014600985.1	OG0003343	FBgn0038640	Lflavo2a002773	XP_006557362.1	LOC106785221	LOC107065153
XP_015174113.1	XP_014602588.1	OG0003144	FBgn0003449	Lflavo2a004401	NP_001161808.1	LOC106786081	LOC107065181
XP_015174220.1	XP_014611090.1	OG0003345	FBgn0001078	Lflavo2a000233	XP_006557455.1	LOC106790591	LOC107065233
