Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	25.082546	10.834705	23.005489
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	18.403400	33.193916	70.481133
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	308.845062	153.501160	325.931305
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	16.134417	12.054191	25.594841
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	15.533353	29.136461	61.865887
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	30.334431	12.812727	27.205454
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	119.142647	52.860035	112.238503
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	294.640106	124.483330	264.317322
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	187.847427	79.343430	168.471085
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	24.073839	10.168364	21.590639
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	82.433296	34.818367	73.930359
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	1018.154602	430.050476	913.132690
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	28.429672	12.008191	25.497171
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	81.451111	34.799770	73.890869
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	301.755859	145.145416	308.189423
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	654.487427	280.739777	596.098999
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	219.422256	92.680084	196.789001
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	1155.697021	488.145996	1036.487671
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	38.955021	16.453911	34.936836
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	29.674475	12.533974	26.613573
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	765.924133	331.082428	702.992188
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	77.906189	32.906197	69.870224
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	9.926076	4.193367	8.903839
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	22.005871	26.751585	56.802040
