Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	14.453025	11.426687	25.918276
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	11.436025	38.887470	88.205467
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	224.880630	209.998489	476.323425
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	23.484646	31.679485	71.856148
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	8.432103	29.549585	67.025055
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	18.314274	14.479424	32.842564
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	56.352703	46.814495	106.185722
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	139.649750	110.440498	250.503723
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	91.837616	72.607613	164.690277
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	8.759902	6.925655	15.708930
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	52.693737	41.660126	94.494461
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	602.773071	476.557617	1080.938965
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	15.759152	12.459322	28.260525
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	35.194740	28.191378	63.944340
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	142.566452	124.618599	282.662811
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	245.936111	197.091049	447.046539
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	112.104744	88.630981	201.034851
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	584.918701	462.441803	1048.921265
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	12.753586	10.083096	22.870712
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	16.509090	13.052231	29.605370
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	305.330597	248.287048	563.170471
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	22.809664	18.033518	40.904045
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	4.661113	3.687007	8.362954
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	14.152002	31.914087	72.388268
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	23.845943	18.852810	42.762383
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	200.526855	158.538269	359.600159
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	56.873428	45.426029	103.036369
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	2.585205	2.043885	4.635989
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	3.829771	3.027850	6.867840
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	3.746688	2.962164	6.718849
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	1.929711	1.525646	3.460506
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	1.176730	0.930333	2.110203
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	43.518017	34.405724	78.039856
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	107.442978	84.945351	192.675018
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	2.159352	1.707202	3.872316
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	14.381772	11.417183	25.896719
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	20.837723	19.635500	44.537697
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	26.521919	20.968460	47.561146
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	9.208581	8.628077	19.570402
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	1.839717	1.576905	3.576771
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	205.415451	162.403229	368.366791
gene-LOC107070209	LOC107070209	NW_015148970.1	+	1037304	1042751	0.970982	0.767667	1.741240
gene-LOC107074068	LOC107074068	NW_015148970.1	-	1049328	1058258	0.000000	0.000000	0.000000
gene-LOC107065217	LOC107065217	NW_015148970.1	+	1059138	1062968	0.979121	0.774102	1.755835
gene-LOC107065223	LOC107065223	NW_015148970.1	-	1063165	1064617	51.852875	40.995331	92.986565
gene-LOC107064600	LOC107064600	NW_015148970.1	+	1065171	1074149	24.509895	19.540194	44.321518
gene-LOC107065208	LOC107065208	NW_015148970.1	+	1075036	1079428	19.412243	15.362910	34.846508
gene-LOC107064039	LOC107064039	NW_015148970.1	-	1080377	1087242	9.514178	7.521992	17.061556
gene-LOC107064056	LOC107064056	NW_015148970.1	+	1087443	1092288	21.266268	16.813295	38.136307
gene-LOC107064048	LOC107064048	NW_015148970.1	-	1088294	1090964	12.598850	9.960760	22.593227
gene-LOC107064060	LOC107064060	NW_015148970.1	+	1092749	1094361	24.429375	19.314075	43.808632
gene-LOC107065285	LOC107065285	NW_015148970.1	+	1095600	1098760	22.007126	17.399025	39.464870
gene-LOC107064316	LOC107064316	NW_015148970.1	-	1099921	1101472	26.038477	20.893614	47.391376
gene-LOC107064137	LOC107064137	NW_015148970.1	+	1102219	1103415	147.282852	116.443100	264.118927
gene-LOC107065301	LOC107065301	NW_015148970.1	-	1104014	1107787	36.669788	28.991453	65.759087
gene-LOC107073937	LOC107073937	NW_015148970.1	+	1108448	1112467	6.621459	5.259152	11.928932
gene-LOC107073946	LOC107073946	NW_015148970.1	+	1112506	1113491	42.202881	33.365963	75.681450
gene-LOC107073961	LOC107073961	NW_015148970.1	-	1113567	1114402	216.479431	171.150513	388.207550
gene-LOC107073955	LOC107073955	NW_015148970.1	+	1115180	1117945	338.377686	267.524323	606.804932
