Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	22.802116	16.487698	36.639420
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	10.684360	35.257305	78.349770
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	203.280273	170.481705	378.849213
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	12.909809	15.973988	35.497841
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	10.145730	33.028126	73.396027
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	16.358700	11.828608	26.285862
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	55.401512	42.066204	93.480698
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	137.550369	99.490219	221.089951
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	99.843643	72.194695	160.433044
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	11.157701	8.067883	17.928673
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	45.830627	33.139095	73.642624
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	582.236572	421.002167	935.562683
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	18.826590	13.613084	30.251373
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	44.330276	32.577148	72.393845
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	178.885773	143.427551	318.728729
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	329.527405	241.264969	536.145752
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	100.885437	72.947990	162.107056
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	660.133911	477.327972	1060.731445
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	16.221643	11.729506	26.065634
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	12.460839	9.010152	20.022612
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	481.764313	358.970673	797.714600
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	46.414200	33.561062	74.580330
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	8.513978	6.166120	13.702522
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	6.002779	12.224195	27.164946
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	27.302458	19.741793	43.870762
gene-LOC107074693	LOC107074693	NW_015148970.1	-	570371	589983	257.551514	186.229706	413.844849
gene-LOC107065609	LOC107065609	NW_015148970.1	-	591157	592561	0.000000	0.000000	0.000000
gene-LOC107063673	LOC107063673	NW_015148970.1	-	593055	604104	61.682701	45.073040	100.162560
gene-LOC107063696	LOC107063696	NW_015148970.1	-	604703	608312	2.056473	1.486989	3.304429
gene-LOC107063613	LOC107063613	NW_015148970.1	-	608295	623014	5.519860	3.991286	8.869548
gene-LOC107065295	LOC107065295	NW_015148970.1	-	623652	628773	6.075385	4.392974	9.762190
gene-LOC107065289	LOC107065289	NW_015148970.1	-	624803	628941	2.429183	1.756487	3.903316
gene-LOC107063717	LOC107063717	NW_015148970.1	-	633913	638572	0.000000	0.000000	0.000000
gene-LOC107063734	LOC107063734	NW_015148970.1	+	638269	640419	10.927928	7.901739	17.559464
gene-LOC107063725	LOC107063725	NW_015148970.1	+	640529	642618	54.890633	39.690178	88.200623
gene-LOC107063753	LOC107063753	NW_015148970.1	+	645320	649358	7.205464	5.210109	11.578049
gene-LOC107063742	LOC107063742	NW_015148970.1	-	649847	651317	14.596500	10.579908	23.510969
gene-LOC107063735	LOC107063735	NW_015148970.1	+	650994	653549	20.357288	17.657612	39.239239
gene-LOC107064754	LOC107064754	NW_015148970.1	+	654486	921827	37.081009	26.812443	59.583359
gene-LOC107064846	LOC107064846	NW_015148970.1	-	926294	997828	20.387129	17.122204	38.049438
gene-LOC107064988	LOC107064988	NW_015148970.1	+	1002540	1026217	1.779517	1.408941	3.130988
gene-LOC107064999	LOC107064999	NW_015148970.1	-	1026280	1028338	238.095383	172.161407	382.581879
