Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Lflavo2a011143	-	C2532896	-	14	406	3.239186	0.844616	1.879461
Lflavo2a012446	-	C2532978	+	16	505	120.831856	31.506855	70.109818
Lflavo2a013879	-	C2533306	-	12	494	12.492260	3.341251	7.435033
Lflavo2a013569	-	C2533474	-	2	500	12.466934	3.250748	7.233643
Lflavo2a000748	-	C2533820	+	4	535	79.898499	20.833500	46.359207
Lflavo2a001212	-	C2533924	+	145	391	1.024292	0.267084	0.594321
Lflavo2a000186	-	C2534132	-	5	562	142.472458	37.149635	82.666267
Lflavo2a007945	-	C2534852	-	3	582	148.025864	38.597683	85.888489
Lflavo2a007773	-	C2534930	-	30	254	25.515556	6.653171	14.804796
Lflavo2a004339	-	C2534980	+	13	561	16.262295	4.240386	9.435811
Lflavo2a007481	-	C2535116	-	134	427	5.119048	1.334790	2.970206
Lflavo2a003508	-	C2535130	+	267	527	48.321430	12.599792	28.037365
Lflavo2a004988	-	C2535370	+	28	225	0.636364	0.165932	0.369235
Lflavo2a002492	-	C2535872	+	45	404	0.583333	0.152104	0.338465
Lflavo2a001247	-	C2536414	-	51	627	534.900330	139.475037	310.363220
Lflavo2a008415	-	C2536812	-	3	635	54.379532	14.179440	31.552433
Lflavo2a002493	-	C2537078	+	1	647	79.968613	20.851782	46.399891
Lflavo2a009812	-	C2539016	-	18	378	0.000000	0.000000	0.000000
Lflavo2a012382	-	C2539054	+	4	708	34.585815	9.018237	20.067598
Lflavo2a011593	-	C2539554	+	4	731	29.001886	8.715411	19.393744
Lflavo2a006731	-	C2539584	+	12	732	31.313776	8.165054	18.169075
Lflavo2a006548	-	C2541210	+	14	784	36.764370	10.638640	23.673363
Lflavo2a012920	-	C2541380	+	11	788	133.391388	34.781746	77.397186
Lflavo2a003511	-	C2541782	+	11	813	166.864029	45.634647	101.547333
Lflavo2a009905	-	C2541966	-	169	795	0.000000	0.000000	0.000000
Lflavo2a008184	-	C2542720	-	306	695	0.000000	0.000000	0.000000
Lflavo2a011054	-	C2543650	-	376	873	183.014740	47.721016	106.189957
Lflavo2a012447	-	C2543886	+	504	860	2.736695	0.713592	1.587902
