Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene-LOC107064227	LOC107064227	NW_015148970.1	-	213	1628	16.381023	14.341052	32.005966
gene-LOC107064169	LOC107064169	NW_015148970.1	+	245	20600	10.255588	39.928719	89.111832
gene-LOC107064158	LOC107064158	NW_015148970.1	-	22402	26415	138.213089	141.045883	314.782379
gene-LOC107072482	LOC107072482	NW_015148970.1	+	30077	32737	41.814938	64.104439	143.066544
gene-LOC107071655	LOC107071655	NW_015148970.1	-	32034	209450	8.226509	29.014235	64.753181
gene-LOC107072269	LOC107072269	NW_015148970.1	-	238560	241497	15.572192	13.632946	30.425638
gene-LOC107072336	LOC107072336	NW_015148970.1	+	241769	245336	48.420216	44.542660	99.409096
gene-LOC107072717	LOC107072717	NW_015148970.1	-	246971	250215	118.658638	103.889542	231.857849
gene-LOC107072883	LOC107072883	NW_015148970.1	+	250329	251652	95.472801	83.583328	186.538986
gene-LOC107072648	LOC107072648	NW_015148970.1	-	252166	256708	9.029829	7.905321	17.642879
gene-LOC107072822	LOC107072822	NW_015148970.1	+	257745	258767	39.995361	35.014637	78.144707
gene-LOC107074074	LOC107074074	NW_015148970.1	+	259122	260413	553.183228	484.293854	1080.833862
gene-LOC107074082	LOC107074082	NW_015148970.1	-	260573	261284	11.938343	10.451630	23.325663
gene-LOC107074032	LOC107074032	NW_015148970.1	+	261381	270825	35.624874	31.597687	70.518852
gene-LOC107074088	LOC107074088	NW_015148970.1	-	271082	277051	127.372856	131.777756	294.097992
gene-LOC107074105	LOC107074105	NW_015148970.1	+	277666	279053	283.183929	251.756866	561.864136
gene-LOC107074112	LOC107074112	NW_015148970.1	+	280029	282148	101.073647	88.486687	197.482162
gene-LOC107074125	LOC107074125	NW_015148970.1	-	282693	284101	519.910706	455.164886	1015.824585
gene-LOC107074116	LOC107074116	NW_015148970.1	+	284331	286903	16.021513	14.026312	31.303541
gene-LOC107074132	LOC107074132	NW_015148970.1	-	287047	290398	7.658042	6.704366	14.962622
gene-LOC107064581	LOC107064581	NW_015148970.1	+	293459	296276	292.117889	263.576019	588.241760
gene-LOC107064597	LOC107064597	NW_015148970.1	+	296364	299356	14.666667	12.840189	28.656384
gene-LOC107074670	LOC107074670	NW_015148970.1	+	302860	333006	5.133711	4.498625	10.039909
gene-LOC107074348	LOC107074348	NW_015148970.1	+	345011	402521	17.795124	45.104790	100.663635
gene-LOC107074685	LOC107074685	NW_015148970.1	+	513288	562918	11.938712	10.451954	23.326384
